,Date,Team,PTS, ,Opp,OT
0,"Sat, Aug 30, 2014",Puerto Rico,98,Group Play,Argentina,
1,"Sat, Aug 30, 2014",France,65,Group Play,Brazil,
2,"Sat, Aug 30, 2014",Ukraine,62,Group Play,Dominican Republic,
3,"Sat, Aug 30, 2014",United States,55,Group Play,Finland,
4,"Sat, Aug 30, 2014",Angola,69,Group Play,Korea,
5,"Sat, Aug 30, 2014",Mexico,87,Group Play,Lithuania,
6,"Sat, Aug 30, 2014",Croatia,78,Group Play,Philippines,OT
7,"Sat, Aug 30, 2014",Greece,64,Group Play,Senegal,
8,"Sat, Aug 30, 2014",Egypt,85,Group Play,Serbia,
9,"Sat, Aug 30, 2014",Australia,90,Group Play,Slovenia,
10,"Sat, Aug 30, 2014",Iran,90,Group Play,Spain,
11,"Sat, Aug 30, 2014",New Zealand,76,Group Play,Turkey,
12,"Sun, Aug 31, 2014",Lithuania,62,Group Play,Angola,
13,"Sun, Aug 31, 2014",Korea,89,Group Play,Australia,
14,"Sun, Aug 31, 2014",Argentina,90,Group Play,Croatia,
15,"Sun, Aug 31, 2014",Spain,54,Group Play,Egypt,
16,"Sun, Aug 31, 2014",Serbia,74,Group Play,France,
17,"Sun, Aug 31, 2014",Philippines,82,Group Play,Greece,
18,"Sun, Aug 31, 2014",Brazil,50,Group Play,Iran,
19,"Sun, Aug 31, 2014",Slovenia,68,Group Play,Mexico,
20,"Sun, Aug 31, 2014",Dominican Republic,63,Group Play,New Zealand,
21,"Sun, Aug 31, 2014",Senegal,75,Group Play,Puerto Rico,
22,"Sun, Aug 31, 2014",Finland,76,Group Play,Ukraine,
23,"Sun, Aug 31, 2014",Turkey,98,Group Play,United States,
24,"Mon, Sep 1, 2014",France,55,Group Play,Egypt,
25,"Mon, Sep 1, 2014",Puerto Rico,90,Group Play,Greece,
26,"Mon, Sep 1, 2014",Argentina,81,Group Play,Philippines,
27,"Mon, Sep 1, 2014",Croatia,77,Group Play,Senegal,
28,"Mon, Sep 1, 2014",Iran,83,Group Play,Serbia,
29,"Mon, Sep 1, 2014",Brazil,82,Group Play,Spain,
30,"Tue, Sep 2, 2014",Finland,74,Group Play,Dominican Republic,
31,"Tue, Sep 2, 2014",Australia,75,Group Play,Lithuania,
32,"Tue, Sep 2, 2014",Angola,79,Group Play,Mexico,
33,"Tue, Sep 2, 2014",United States,71,Group Play,New Zealand,
34,"Tue, Sep 2, 2014",Korea,89,Group Play,Slovenia,
35,"Tue, Sep 2, 2014",Ukraine,58,Group Play,Turkey,
36,"Wed, Sep 3, 2014",Slovenia,87,Group Play,Angola,
37,"Wed, Sep 3, 2014",Senegal,81,Group Play,Argentina,
38,"Wed, Sep 3, 2014",Mexico,70,Group Play,Australia,
39,"Wed, Sep 3, 2014",Serbia,81,Group Play,Brazil,
40,"Wed, Sep 3, 2014",Greece,65,Group Play,Croatia,
41,"Wed, Sep 3, 2014",Turkey,73,Group Play,Finland,OT
42,"Wed, Sep 3, 2014",Spain,64,Group Play,France,
43,"Wed, Sep 3, 2014",Egypt,88,Group Play,Iran,
44,"Wed, Sep 3, 2014",Lithuania,49,Group Play,Korea,
45,"Wed, Sep 3, 2014",Philippines,77,Group Play,Puerto Rico,
46,"Wed, Sep 3, 2014",New Zealand,61,Group Play,Ukraine,
47,"Wed, Sep 3, 2014",Dominican Republic,106,Group Play,United States,
48,"Thu, Sep 4, 2014",Australia,91,Group Play,Angola,
49,"Thu, Sep 4, 2014",Turkey,64,Group Play,Dominican Republic,
50,"Thu, Sep 4, 2014",Brazil,65,Group Play,Egypt,
51,"Thu, Sep 4, 2014",Iran,81,Group Play,France,
52,"Thu, Sep 4, 2014",Argentina,79,Group Play,Greece,
53,"Thu, Sep 4, 2014",Korea,87,Group Play,Mexico,
54,"Thu, Sep 4, 2014",Finland,67,Group Play,New Zealand,
55,"Thu, Sep 4, 2014",Senegal,81,Group Play,Philippines,OT
56,"Thu, Sep 4, 2014",Croatia,82,Group Play,Puerto Rico,
57,"Thu, Sep 4, 2014",Lithuania,64,Group Play,Slovenia,
58,"Thu, Sep 4, 2014",Serbia,89,Group Play,Spain,
59,"Thu, Sep 4, 2014",Ukraine,95,Group Play,United States,
60,"Sat, Sep 6, 2014",France,64,Round of 16,Croatia,
61,"Sat, Sep 6, 2014",United States,63,Round of 16,Mexico,
62,"Sat, Sep 6, 2014",Spain,56,Round of 16,Senegal,
63,"Sat, Sep 6, 2014",Dominican Republic,71,Round of 16,Slovenia,
64,"Sun, Sep 7, 2014",Brazil,65,Round of 16,Argentina,
65,"Sun, Sep 7, 2014",Turkey,64,Round of 16,Australia,
66,"Sun, Sep 7, 2014",Serbia,72,Round of 16,Greece,
67,"Sun, Sep 7, 2014",New Zealand,76,Round of 16,Lithuania,
68,"Tue, Sep 9, 2014",Lithuania,61,Quarterfinals,Turkey,
69,"Tue, Sep 9, 2014",Slovenia,119,Quarterfinals,United States,
70,"Wed, Sep 10, 2014",Serbia,56,Quarterfinals,Brazil,
71,"Wed, Sep 10, 2014",France,52,Quarterfinals,Spain,
72,"Thu, Sep 11, 2014",United States,68,Semifinals,Lithuania,
73,"Fri, Sep 12, 2014",France,90,Semifinals,Serbia,
74,"Sat, Sep 13, 2014",Lithuania,95,Semifinals,France,
75,"Sun, Sep 14, 2014",United States,92,Semifinals,Serbia,
