,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Joaquim Gomes,23,2,5,1,1,0,0,1,2,1,1,0,2,2,5,angola,2010-08-28,serbia,201008288,Group Play,20108
1,Eduardo Mingas,20,2,7,0,0,0,0,0,2,1,0,0,0,1,4,angola,2010-08-28,serbia,201008288,Group Play,20108
2,Olimpio Cipriano,19,5,7,0,1,0,0,0,0,1,0,0,2,0,10,angola,2010-08-28,serbia,201008288,Group Play,20108
3,Carlos Morais,19,3,7,1,4,1,2,0,1,0,1,0,4,3,8,angola,2010-08-28,serbia,201008288,Group Play,20108
4,Carlos Almeida,8,0,1,0,1,0,0,0,0,1,0,0,0,1,0,angola,2010-08-28,serbia,201008288,Group Play,20108
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,angola,2010-08-28,serbia,201008288,Group Play,20108
6,Felizardo Ambrosio,28,1,4,0,1,1,2,0,7,0,1,1,2,2,3,angola,2010-08-28,serbia,201008288,Group Play,20108
7,Leonel Paulo,24,1,4,0,1,0,0,0,2,0,0,1,3,1,2,angola,2010-08-28,serbia,201008288,Group Play,20108
8,Roberto Fortes,19,0,4,0,1,0,0,0,3,0,1,0,1,3,0,angola,2010-08-28,serbia,201008288,Group Play,20108
9,Miguel Lutonda,14,0,5,0,1,1,2,0,0,1,0,0,1,0,1,angola,2010-08-28,serbia,201008288,Group Play,20108
10,Divaldo Mbunga,11,3,5,0,0,1,3,3,4,0,1,1,0,3,7,angola,2010-08-28,serbia,201008288,Group Play,20108
11,Vladimir Jeronimo,8,0,2,0,0,2,2,0,0,0,0,0,0,1,2,angola,2010-08-28,serbia,201008288,Group Play,20108
12,Domingos Bonifacio,7,1,4,0,0,0,0,2,2,0,0,0,0,0,2,angola,2010-08-28,serbia,201008288,Group Play,20108
13,Totals,,18,55,2,11,6,11,6,23,5,5,3,15,17,44,angola,2010-08-28,serbia,201008288,Group Play,20108
0,Nemanja Bjelica,20,3,4,1,2,2,2,2,4,2,1,0,3,1,9,serbia,2010-08-28,angola,201008288,Group Play,20108
1,Stefan Markovic,19,3,6,1,4,0,0,1,2,4,0,0,0,0,7,serbia,2010-08-28,angola,201008288,Group Play,20108
2,Aleksandar Rasic,18,8,9,6,7,0,0,0,3,3,1,0,0,1,22,serbia,2010-08-28,angola,201008288,Group Play,20108
3,Kosta Perovic,16,3,8,0,0,3,4,5,6,1,0,3,0,1,9,serbia,2010-08-28,angola,201008288,Group Play,20108
4,Novica Velickovic,16,4,7,0,1,0,0,1,2,7,1,1,0,2,8,serbia,2010-08-28,angola,201008288,Group Play,20108
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,serbia,2010-08-28,angola,201008288,Group Play,20108
6,Milan Macvan,26,5,7,0,1,1,2,1,6,2,0,0,1,2,11,serbia,2010-08-28,angola,201008288,Group Play,20108
7,Dusko Savanovic,22,4,12,0,3,5,8,4,7,3,1,0,2,2,13,serbia,2010-08-28,angola,201008288,Group Play,20108
8,Ivan Paunic,22,2,5,1,3,0,0,4,5,1,0,0,1,1,5,serbia,2010-08-28,angola,201008288,Group Play,20108
9,Milenko Tepic,21,1,7,1,5,4,6,0,5,3,0,0,1,1,7,serbia,2010-08-28,angola,201008288,Group Play,20108
10,Marko Keselj,20,1,6,1,4,0,0,1,8,0,1,1,0,2,3,serbia,2010-08-28,angola,201008288,Group Play,20108
11,Totals,,34,71,11,30,15,22,19,48,26,5,5,8,13,94,serbia,2010-08-28,angola,201008288,Group Play,20108
