,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,David Andersen,31,7,10,2,3,6,7,1,9,4,0,0,0,2,22,australia,2010-08-28,jordan,201008284,Group Play,20104,fiba-world-cup
1,Joe Ingles,31,1,6,1,4,0,0,3,3,1,0,0,2,0,3,australia,2010-08-28,jordan,201008284,Group Play,20104,fiba-world-cup
2,Patty Mills,28,4,10,0,5,2,2,0,1,1,0,0,1,0,10,australia,2010-08-28,jordan,201008284,Group Play,20104,fiba-world-cup
3,Adam Gibson,21,1,2,0,1,0,0,0,0,0,0,0,3,1,2,australia,2010-08-28,jordan,201008284,Group Play,20104,fiba-world-cup
4,Matt Nielsen,19,4,7,0,0,1,2,1,4,0,0,2,1,4,9,australia,2010-08-28,jordan,201008284,Group Play,20104,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,australia,2010-08-28,jordan,201008284,Group Play,20104,fiba-world-cup
6,Aleks Maric,22,10,14,0,0,3,3,2,9,1,0,0,1,3,23,australia,2010-08-28,jordan,201008284,Group Play,20104,fiba-world-cup
7,Brad Newley,18,2,5,0,2,0,2,2,3,0,0,0,1,0,4,australia,2010-08-28,jordan,201008284,Group Play,20104,fiba-world-cup
8,Damian Martin,12,0,2,0,2,0,0,0,0,0,1,0,0,2,0,australia,2010-08-28,jordan,201008284,Group Play,20104,fiba-world-cup
9,Steven Markovic,11,0,1,0,1,0,0,0,1,3,2,1,2,1,0,australia,2010-08-28,jordan,201008284,Group Play,20104,fiba-world-cup
10,Mark Worthington,8,1,1,1,1,0,0,0,3,1,0,0,2,1,3,australia,2010-08-28,jordan,201008284,Group Play,20104,fiba-world-cup
11,Totals,,30,58,4,19,12,16,9,33,11,3,3,13,14,76,australia,2010-08-28,jordan,201008284,Group Play,20104,fiba-world-cup
0,Sam Daghles,33,3,13,0,0,1,3,2,6,9,0,0,3,4,7,jordan,2010-08-28,australia,201008284,Group Play,20104,fiba-world-cup
1,Zaid Abbas,31,7,13,2,5,4,6,6,10,1,1,0,0,4,20,jordan,2010-08-28,australia,201008284,Group Play,20104,fiba-world-cup
2,Rasheim Wright,31,7,17,2,6,0,0,2,3,2,1,1,0,1,16,jordan,2010-08-28,australia,201008284,Group Play,20104,fiba-world-cup
3,Enver Soobzokov,28,2,5,1,3,0,0,0,2,2,0,0,1,3,5,jordan,2010-08-28,australia,201008284,Group Play,20104,fiba-world-cup
4,Ayman Idais,21,4,7,2,3,1,1,2,5,0,1,0,1,3,11,jordan,2010-08-28,australia,201008284,Group Play,20104,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,jordan,2010-08-28,australia,201008284,Group Play,20104,fiba-world-cup
6,Zaid Alkhas,26,2,4,1,3,0,0,2,5,0,2,0,1,3,5,jordan,2010-08-28,australia,201008284,Group Play,20104,fiba-world-cup
7,Mousa Al-Awadi,21,3,7,1,3,2,2,1,2,2,0,0,2,1,9,jordan,2010-08-28,australia,201008284,Group Play,20104,fiba-world-cup
8,Fadel Alnajjar,4,0,1,0,1,0,0,0,1,0,0,0,0,1,0,jordan,2010-08-28,australia,201008284,Group Play,20104,fiba-world-cup
9,Ali Jamal Zaghab,3,1,1,0,0,0,0,1,1,0,0,0,0,0,2,jordan,2010-08-28,australia,201008284,Group Play,20104,fiba-world-cup
10,Wesam Al-Sous,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,jordan,2010-08-28,australia,201008284,Group Play,20104,fiba-world-cup
11,Totals,,29,70,9,25,8,12,16,35,16,5,1,8,20,75,jordan,2010-08-28,australia,201008284,Group Play,20104,fiba-world-cup
