,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Nicolas Batum,31,4,9,2,5,4,4,0,2,1,1,2,3,3,14,france,2010-08-28,spain,2010082810,Group Play,201010,fiba-world-cup
1,Boris Diaw,30,1,7,0,4,0,0,0,6,5,2,1,3,2,2,france,2010-08-28,spain,2010082810,Group Play,201010,fiba-world-cup
2,Ali Traore,17,3,6,0,0,1,5,0,2,0,0,0,3,5,7,france,2010-08-28,spain,2010082810,Group Play,201010,fiba-world-cup
3,Florent Pietrus,16,1,3,0,1,2,2,0,3,1,1,0,2,2,4,france,2010-08-28,spain,2010082810,Group Play,201010,fiba-world-cup
4,Nando De Colo,8,0,2,0,0,0,0,0,0,0,1,0,1,1,0,france,2010-08-28,spain,2010082810,Group Play,201010,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,france,2010-08-28,spain,2010082810,Group Play,201010,fiba-world-cup
6,Mickael Gelabale,31,6,10,2,4,2,2,3,6,1,0,0,1,2,16,france,2010-08-28,spain,2010082810,Group Play,201010,fiba-world-cup
7,Andrew Albicy,26,3,5,2,3,5,7,0,3,1,1,1,2,4,13,france,2010-08-28,spain,2010082810,Group Play,201010,fiba-world-cup
8,Ian Mahinmi,16,1,1,0,0,3,4,0,5,0,2,1,0,3,5,france,2010-08-28,spain,2010082810,Group Play,201010,fiba-world-cup
9,Alain Koffi,14,4,4,0,0,3,3,0,4,1,0,0,2,4,11,france,2010-08-28,spain,2010082810,Group Play,201010,fiba-world-cup
10,Yannick Bokolo,10,0,2,0,1,0,0,0,0,5,0,0,1,2,0,france,2010-08-28,spain,2010082810,Group Play,201010,fiba-world-cup
11,Edwin Jackson,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,france,2010-08-28,spain,2010082810,Group Play,201010,fiba-world-cup
12,Totals,,23,49,6,18,20,27,3,31,15,8,5,18,28,72,france,2010-08-28,spain,2010082810,Group Play,201010,fiba-world-cup
0,Juan Carlos Navarro,29,5,13,3,8,4,4,1,3,2,2,0,2,0,17,spain,2010-08-28,france,2010082810,Group Play,201010,fiba-world-cup
1,Ricky Rubio,29,2,4,0,2,2,2,1,3,3,3,0,2,2,6,spain,2010-08-28,france,2010082810,Group Play,201010,fiba-world-cup
2,Rudy Fernandez,28,3,10,2,7,5,6,1,4,0,1,0,2,5,13,spain,2010-08-28,france,2010082810,Group Play,201010,fiba-world-cup
3,Felipe Reyes,24,3,5,1,1,2,8,1,3,2,2,0,2,4,9,spain,2010-08-28,france,2010082810,Group Play,201010,fiba-world-cup
4,Marc Gasol,20,3,7,0,0,2,6,3,7,0,0,0,1,4,8,spain,2010-08-28,france,2010082810,Group Play,201010,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,spain,2010-08-28,france,2010082810,Group Play,201010,fiba-world-cup
6,Jorge Garbajosa,17,1,4,1,3,0,0,0,3,0,0,0,1,1,3,spain,2010-08-28,france,2010082810,Group Play,201010,fiba-world-cup
7,Fran Vazquez,14,0,2,0,0,1,4,1,5,1,0,0,0,0,1,spain,2010-08-28,france,2010082810,Group Play,201010,fiba-world-cup
8,Sergio Llull,13,1,5,0,0,1,2,0,1,0,1,0,2,1,3,spain,2010-08-28,france,2010082810,Group Play,201010,fiba-world-cup
9,Raul Lopez,12,1,1,1,1,0,0,0,1,1,0,0,1,3,3,spain,2010-08-28,france,2010082810,Group Play,201010,fiba-world-cup
10,Alex Mumbru,12,1,4,1,2,0,0,0,1,0,0,0,0,2,3,spain,2010-08-28,france,2010082810,Group Play,201010,fiba-world-cup
11,Victor Claver,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,spain,2010-08-28,france,2010082810,Group Play,201010,fiba-world-cup
12,Totals,,20,55,9,24,17,32,8,31,9,9,0,13,23,66,spain,2010-08-28,france,2010082810,Group Play,201010,fiba-world-cup
