,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Vassilis Spanoulis,33,5,11,3,7,6,6,0,1,2,0,0,2,1,19,greece,2010-08-28,china,201008282,Group Play,20102,fiba-world-cup
1,Nikos Zisis,32,8,15,4,8,1,1,1,5,1,0,0,2,2,21,greece,2010-08-28,china,201008282,Group Play,20102,fiba-world-cup
2,Kostas Tsartsaris,32,3,7,0,0,0,3,2,6,2,0,3,0,4,6,greece,2010-08-28,china,201008282,Group Play,20102,fiba-world-cup
3,Dimitris Diamantidis,31,3,13,3,13,2,2,2,5,6,1,0,1,2,11,greece,2010-08-28,china,201008282,Group Play,20102,fiba-world-cup
4,Ioannis Bourousis,29,6,12,2,5,7,7,3,8,2,0,0,1,5,21,greece,2010-08-28,china,201008282,Group Play,20102,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,greece,2010-08-28,china,201008282,Group Play,20102,fiba-world-cup
6,Stratos Perperoglou,14,2,4,0,1,2,2,0,1,0,0,0,1,1,6,greece,2010-08-28,china,201008282,Group Play,20102,fiba-world-cup
7,Kostas Kaimakoglou,10,1,2,1,2,0,0,4,6,0,1,0,1,3,3,greece,2010-08-28,china,201008282,Group Play,20102,fiba-world-cup
8,Nick Calathes,10,1,3,0,2,0,1,0,1,0,0,0,1,1,2,greece,2010-08-28,china,201008282,Group Play,20102,fiba-world-cup
9,Giorgos Printezis,7,0,1,0,1,0,0,0,2,0,0,0,1,3,0,greece,2010-08-28,china,201008282,Group Play,20102,fiba-world-cup
10,Ian Vouyoukas,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,greece,2010-08-28,china,201008282,Group Play,20102,fiba-world-cup
11,Totals,,29,68,13,39,18,22,12,36,13,2,3,10,23,89,greece,2010-08-28,china,201008282,Group Play,20102,fiba-world-cup
0,Sun Yue,39,5,13,2,4,3,4,0,1,4,2,0,4,2,15,china,2010-08-28,greece,201008282,Group Play,20102,fiba-world-cup
1,Yi Jianlian,34,9,15,0,0,8,11,4,14,1,1,1,1,1,26,china,2010-08-28,greece,201008282,Group Play,20102,fiba-world-cup
2,Wang Shipeng,34,3,6,2,4,5,10,2,5,3,1,0,1,3,13,china,2010-08-28,greece,201008282,Group Play,20102,fiba-world-cup
3,Wei Liu,34,1,5,0,1,5,6,0,3,0,0,0,0,3,7,china,2010-08-28,greece,201008282,Group Play,20102,fiba-world-cup
4,Wang Zhizhi,29,6,14,2,5,1,2,0,2,2,0,1,2,2,15,china,2010-08-28,greece,201008282,Group Play,20102,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,china,2010-08-28,greece,201008282,Group Play,20102,fiba-world-cup
6,Ding Jinhui,13,0,3,0,1,2,2,1,4,0,0,0,0,4,2,china,2010-08-28,greece,201008282,Group Play,20102,fiba-world-cup
7,Zhou Peng,10,0,1,0,1,0,0,0,2,0,1,0,2,3,0,china,2010-08-28,greece,201008282,Group Play,20102,fiba-world-cup
8,Yu Shulong,7,1,3,1,1,0,0,0,0,0,1,0,0,1,3,china,2010-08-28,greece,201008282,Group Play,20102,fiba-world-cup
9,Guo Ailun,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,china,2010-08-28,greece,201008282,Group Play,20102,fiba-world-cup
10,Totals,,25,60,7,17,24,35,7,31,10,6,2,10,20,81,china,2010-08-28,greece,201008282,Group Play,20102,fiba-world-cup
