,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Arsalan Kazemi,35,4,11,0,0,1,3,1,6,1,2,1,2,1,9,iran,2010-08-28,brazil,201008281,Group Play,20101,fiba-world-cup
1,Mahdi Kamrany,31,5,15,1,6,2,2,1,1,4,2,0,2,3,13,iran,2010-08-28,brazil,201008281,Group Play,20101,fiba-world-cup
2,Javad Davari,29,1,1,0,0,2,2,0,2,1,0,0,3,3,4,iran,2010-08-28,brazil,201008281,Group Play,20101,fiba-world-cup
3,Hamed Haddadi,25,7,13,1,3,1,2,4,9,1,0,5,3,4,16,iran,2010-08-28,brazil,201008281,Group Play,20101,fiba-world-cup
4,Oshin Sahakian,25,4,7,2,3,0,0,1,4,0,1,0,2,3,10,iran,2010-08-28,brazil,201008281,Group Play,20101,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,iran,2010-08-28,brazil,201008281,Group Play,20101,fiba-world-cup
6,Aren Davoudichegani,16,2,5,1,1,1,2,0,1,0,1,0,1,2,6,iran,2010-08-28,brazil,201008281,Group Play,20101,fiba-world-cup
7,Asghar Kardoust,15,1,3,0,0,1,2,0,3,0,0,0,0,1,3,iran,2010-08-28,brazil,201008281,Group Play,20101,fiba-world-cup
8,Iman Zandi,13,0,4,0,2,0,0,1,2,0,0,0,0,2,0,iran,2010-08-28,brazil,201008281,Group Play,20101,fiba-world-cup
9,Saman Veisi,6,1,1,0,0,0,0,0,1,0,0,1,2,0,2,iran,2010-08-28,brazil,201008281,Group Play,20101,fiba-world-cup
10,Mohammad Hassanzadeh,3,1,1,0,0,0,0,1,1,0,0,0,0,0,2,iran,2010-08-28,brazil,201008281,Group Play,20101,fiba-world-cup
11,Moosa Nabipoor,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,iran,2010-08-28,brazil,201008281,Group Play,20101,fiba-world-cup
12,Saeid Davarpanah,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,iran,2010-08-28,brazil,201008281,Group Play,20101,fiba-world-cup
13,Totals,,26,62,5,15,8,13,9,30,7,6,7,16,19,65,iran,2010-08-28,brazil,201008281,Group Play,20101,fiba-world-cup
0,Guilherme Giovannoni,31,6,10,2,4,3,4,4,7,0,0,0,1,1,17,brazil,2010-08-28,iran,201008281,Group Play,20101,fiba-world-cup
1,Tiago Splitter,23,6,10,0,0,1,1,2,4,1,1,1,2,3,13,brazil,2010-08-28,iran,201008281,Group Play,20101,fiba-world-cup
2,Alex Garcia,23,2,4,0,1,0,0,1,4,0,2,0,1,1,4,brazil,2010-08-28,iran,201008281,Group Play,20101,fiba-world-cup
3,Marcelo Huertas,22,3,5,2,3,2,2,0,1,9,0,0,3,2,10,brazil,2010-08-28,iran,201008281,Group Play,20101,fiba-world-cup
4,Leandro Barbosa,21,5,10,0,1,3,3,0,1,2,0,0,0,2,13,brazil,2010-08-28,iran,201008281,Group Play,20101,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,brazil,2010-08-28,iran,201008281,Group Play,20101,fiba-world-cup
6,Marcus Vinicius,20,2,7,0,5,2,2,2,8,0,2,0,0,2,6,brazil,2010-08-28,iran,201008281,Group Play,20101,fiba-world-cup
7,Marcelinho Machado,16,3,7,2,4,0,0,0,0,0,2,0,2,0,8,brazil,2010-08-28,iran,201008281,Group Play,20101,fiba-world-cup
8,JP Batista,16,0,4,0,0,2,4,1,5,2,0,1,2,2,2,brazil,2010-08-28,iran,201008281,Group Play,20101,fiba-world-cup
9,Murilo Becker,11,1,1,0,0,0,0,0,4,1,0,0,0,4,2,brazil,2010-08-28,iran,201008281,Group Play,20101,fiba-world-cup
10,Nezinho Dos Santos,10,0,2,0,2,0,0,0,0,1,0,0,1,2,0,brazil,2010-08-28,iran,201008281,Group Play,20101,fiba-world-cup
11,Raul Neto,8,2,4,0,1,2,2,0,0,0,0,0,1,1,6,brazil,2010-08-28,iran,201008281,Group Play,20101,fiba-world-cup
12,Totals,,30,64,6,21,15,18,10,34,16,7,2,13,20,81,brazil,2010-08-28,iran,201008281,Group Play,20101,fiba-world-cup
