,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Souleyman Diabate,29,2,6,1,2,0,0,0,2,2,1,0,4,0,5,ivory coast,2010-08-28,turkey,2010082811,Group Play,201011,fiba-world-cup
1,Herve Lamizana,27,1,6,0,1,4,4,1,6,2,0,5,2,3,6,ivory coast,2010-08-28,turkey,2010082811,Group Play,201011,fiba-world-cup
2,Kinidinnin Stephane Konate Sornan,21,2,8,0,5,0,0,1,4,0,0,1,3,3,4,ivory coast,2010-08-28,turkey,2010082811,Group Play,201011,fiba-world-cup
3,Mohamed Kone,19,2,10,0,1,3,6,3,6,2,0,0,1,3,7,ivory coast,2010-08-28,turkey,2010082811,Group Play,201011,fiba-world-cup
4,Charles Abouo,16,0,3,0,2,0,0,0,2,0,2,0,1,1,0,ivory coast,2010-08-28,turkey,2010082811,Group Play,201011,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ivory coast,2010-08-28,turkey,2010082811,Group Play,201011,fiba-world-cup
6,Guy Edi,32,3,8,2,3,1,2,1,3,0,2,0,4,1,9,ivory coast,2010-08-28,turkey,2010082811,Group Play,201011,fiba-world-cup
7,Jonathan Monyongo Kale,20,4,8,2,3,0,0,3,9,0,0,0,2,3,10,ivory coast,2010-08-28,turkey,2010082811,Group Play,201011,fiba-world-cup
8,Brice Kevin Assie,13,2,7,0,1,0,0,0,4,1,0,1,1,1,4,ivory coast,2010-08-28,turkey,2010082811,Group Play,201011,fiba-world-cup
9,Eric Tape,9,1,2,0,1,0,0,0,0,0,0,0,1,4,2,ivory coast,2010-08-28,turkey,2010082811,Group Play,201011,fiba-world-cup
10,Issife Soumahoro,8,0,2,0,1,0,0,0,0,0,0,0,0,1,0,ivory coast,2010-08-28,turkey,2010082811,Group Play,201011,fiba-world-cup
11,Ismael N'Diaye,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,ivory coast,2010-08-28,turkey,2010082811,Group Play,201011,fiba-world-cup
12,Totals,,17,61,5,20,8,12,9,36,7,5,7,20,20,47,ivory coast,2010-08-28,turkey,2010082811,Group Play,201011,fiba-world-cup
0,Hidayet Turkoglu,30,0,6,0,4,6,8,0,7,7,4,0,1,1,6,turkey,2010-08-28,ivory coast,2010082811,Group Play,201011,fiba-world-cup
1,Ersan Ilyasova,21,4,8,3,4,6,8,3,8,3,1,1,1,3,17,turkey,2010-08-28,ivory coast,2010082811,Group Play,201011,fiba-world-cup
2,Omer Asik,21,3,10,0,0,2,8,7,12,1,0,1,1,0,8,turkey,2010-08-28,ivory coast,2010082811,Group Play,201011,fiba-world-cup
3,Omer Onan,16,7,10,4,5,0,0,0,0,1,1,0,0,1,18,turkey,2010-08-28,ivory coast,2010082811,Group Play,201011,fiba-world-cup
4,Kerem Tunceri,12,3,5,3,3,0,0,0,0,2,0,0,0,1,9,turkey,2010-08-28,ivory coast,2010082811,Group Play,201011,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,turkey,2010-08-28,ivory coast,2010082811,Group Play,201011,fiba-world-cup
6,Semih Erden,19,2,6,0,0,2,2,1,4,1,1,1,3,2,6,turkey,2010-08-28,ivory coast,2010082811,Group Play,201011,fiba-world-cup
7,Ender Arslan,19,1,4,0,3,0,0,0,0,0,0,0,0,1,2,turkey,2010-08-28,ivory coast,2010082811,Group Play,201011,fiba-world-cup
8,Kerem Gonlum,18,3,6,0,0,0,0,2,7,1,1,0,1,1,6,turkey,2010-08-28,ivory coast,2010082811,Group Play,201011,fiba-world-cup
9,Sinan Guler,16,3,4,2,3,0,0,0,4,4,5,1,2,1,8,turkey,2010-08-28,ivory coast,2010082811,Group Play,201011,fiba-world-cup
10,Cenk Akyol,14,1,3,0,1,0,0,0,0,0,2,0,0,1,2,turkey,2010-08-28,ivory coast,2010082811,Group Play,201011,fiba-world-cup
11,Oguz Savas,11,2,5,0,0,0,0,0,2,1,0,0,3,1,4,turkey,2010-08-28,ivory coast,2010082811,Group Play,201011,fiba-world-cup
12,Baris Ermis,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,turkey,2010-08-28,ivory coast,2010082811,Group Play,201011,fiba-world-cup
13,Totals,,29,67,12,23,16,26,13,44,21,15,4,12,13,86,turkey,2010-08-28,ivory coast,2010082811,Group Play,201011,fiba-world-cup
