,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Roko Ukic,33,4,10,1,4,4,4,1,6,4,3,0,0,2,13,croatia,2010-08-29,iran,2010082918,Group Play,201018,fiba-world-cup
1,Davor Kus,28,3,6,3,6,0,0,2,3,2,1,0,1,2,9,croatia,2010-08-29,iran,2010082918,Group Play,201018,fiba-world-cup
2,Marko Tomas,27,3,10,3,7,0,0,2,6,0,1,0,2,0,9,croatia,2010-08-29,iran,2010082918,Group Play,201018,fiba-world-cup
3,Marko Banic,26,3,10,0,0,0,0,4,7,0,0,0,1,1,6,croatia,2010-08-29,iran,2010082918,Group Play,201018,fiba-world-cup
4,Ante Tomic,22,6,10,0,0,0,0,4,7,2,0,0,2,5,12,croatia,2010-08-29,iran,2010082918,Group Play,201018,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,croatia,2010-08-29,iran,2010082918,Group Play,201018,fiba-world-cup
6,Bojan Bogdanovic,18,5,7,3,5,0,0,1,2,1,1,0,0,2,13,croatia,2010-08-29,iran,2010082918,Group Play,201018,fiba-world-cup
7,Kresimir Loncar,18,3,8,1,3,0,0,0,0,0,1,0,2,1,7,croatia,2010-08-29,iran,2010082918,Group Play,201018,fiba-world-cup
8,Marko Popovic,15,0,1,0,1,0,0,0,3,1,0,0,3,4,0,croatia,2010-08-29,iran,2010082918,Group Play,201018,fiba-world-cup
9,Luka Zoric,14,3,4,0,0,0,0,1,2,0,0,0,2,3,6,croatia,2010-08-29,iran,2010082918,Group Play,201018,fiba-world-cup
10,Totals,,30,66,11,26,4,4,15,36,10,7,0,13,20,75,croatia,2010-08-29,iran,2010082918,Group Play,201018,fiba-world-cup
0,Hamed Haddadi,37,12,27,2,4,1,3,5,9,0,0,2,1,1,27,iran,2010-08-29,croatia,2010082918,Group Play,201018,fiba-world-cup
1,Mahdi Kamrany,34,3,12,0,4,1,2,3,5,1,1,0,4,3,7,iran,2010-08-29,croatia,2010082918,Group Play,201018,fiba-world-cup
2,Arsalan Kazemi,30,4,10,0,1,2,3,2,5,0,0,1,0,0,10,iran,2010-08-29,croatia,2010082918,Group Play,201018,fiba-world-cup
3,Javad Davari,30,3,5,0,1,0,0,2,5,4,2,0,1,3,6,iran,2010-08-29,croatia,2010082918,Group Play,201018,fiba-world-cup
4,Oshin Sahakian,23,0,1,0,1,0,0,2,4,0,0,0,2,1,0,iran,2010-08-29,croatia,2010082918,Group Play,201018,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,iran,2010-08-29,croatia,2010082918,Group Play,201018,fiba-world-cup
6,Saman Veisi,27,1,5,0,2,0,0,0,2,1,1,0,0,1,2,iran,2010-08-29,croatia,2010082918,Group Play,201018,fiba-world-cup
7,Aren Davoudichegani,10,0,1,0,1,0,0,0,0,1,2,0,1,1,0,iran,2010-08-29,croatia,2010082918,Group Play,201018,fiba-world-cup
8,Iman Zandi,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,iran,2010-08-29,croatia,2010082918,Group Play,201018,fiba-world-cup
9,Asghar Kardoust,3,1,3,0,0,0,0,1,1,0,0,0,1,1,2,iran,2010-08-29,croatia,2010082918,Group Play,201018,fiba-world-cup
10,Totals,,24,64,2,14,4,8,15,31,7,6,3,12,12,54,iran,2010-08-29,croatia,2010082918,Group Play,201018,fiba-world-cup
