,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Rasheim Wright,36,6,13,6,11,0,0,3,6,1,0,0,3,2,18,jordan,2010-08-29,angola,2010082912,Group Play,201012,fiba-world-cup
1,Sam Daghles,35,3,11,1,4,1,2,0,2,5,1,0,4,5,8,jordan,2010-08-29,angola,2010082912,Group Play,201012,fiba-world-cup
2,Ayman Idais,32,4,11,1,4,0,0,4,9,2,0,0,2,5,9,jordan,2010-08-29,angola,2010082912,Group Play,201012,fiba-world-cup
3,Zaid Abbas,28,4,6,0,1,6,9,3,11,1,1,0,4,4,14,jordan,2010-08-29,angola,2010082912,Group Play,201012,fiba-world-cup
4,Enver Soobzokov,21,1,3,1,3,0,0,1,3,0,1,0,4,2,3,jordan,2010-08-29,angola,2010082912,Group Play,201012,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,jordan,2010-08-29,angola,2010082912,Group Play,201012,fiba-world-cup
6,Zaid Alkhas,21,1,6,0,2,4,4,2,6,0,1,0,2,1,6,jordan,2010-08-29,angola,2010082912,Group Play,201012,fiba-world-cup
7,Mousa Al-Awadi,18,3,6,1,2,0,2,0,2,0,0,0,2,2,7,jordan,2010-08-29,angola,2010082912,Group Play,201012,fiba-world-cup
8,Moahammad Haman Awad Hadrab,4,0,0,0,0,0,0,1,2,1,0,0,0,0,0,jordan,2010-08-29,angola,2010082912,Group Play,201012,fiba-world-cup
9,Ali Jamal Zaghab,3,0,0,0,0,0,0,0,2,1,0,0,1,0,0,jordan,2010-08-29,angola,2010082912,Group Play,201012,fiba-world-cup
10,Fadel Alnajjar,2,0,1,0,1,0,0,0,0,0,0,0,1,1,0,jordan,2010-08-29,angola,2010082912,Group Play,201012,fiba-world-cup
11,Wesam Al-Sous,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jordan,2010-08-29,angola,2010082912,Group Play,201012,fiba-world-cup
12,Totals,,22,57,10,28,11,17,14,43,11,4,0,23,22,65,jordan,2010-08-29,angola,2010082912,Group Play,201012,fiba-world-cup
0,Miguel Lutonda,30,5,12,3,8,3,4,0,1,2,1,0,0,3,16,angola,2010-08-29,jordan,2010082912,Group Play,201012,fiba-world-cup
1,Joaquim Gomes,26,5,10,0,0,3,6,2,6,0,1,0,1,1,13,angola,2010-08-29,jordan,2010082912,Group Play,201012,fiba-world-cup
2,Carlos Morais,25,5,12,4,9,0,0,0,2,1,2,0,2,3,14,angola,2010-08-29,jordan,2010082912,Group Play,201012,fiba-world-cup
3,Olimpio Cipriano,25,1,4,1,3,1,2,0,0,3,4,1,1,2,4,angola,2010-08-29,jordan,2010082912,Group Play,201012,fiba-world-cup
4,Eduardo Mingas,24,3,10,0,2,2,3,2,5,2,1,0,0,1,8,angola,2010-08-29,jordan,2010082912,Group Play,201012,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,angola,2010-08-29,jordan,2010082912,Group Play,201012,fiba-world-cup
6,Felizardo Ambrosio,27,4,7,0,1,0,3,4,6,3,0,1,3,4,8,angola,2010-08-29,jordan,2010082912,Group Play,201012,fiba-world-cup
7,Carlos Almeida,22,2,10,2,9,5,7,3,6,3,2,0,0,2,11,angola,2010-08-29,jordan,2010082912,Group Play,201012,fiba-world-cup
8,Domingos Bonifacio,10,1,3,0,0,0,0,3,5,1,0,0,1,4,2,angola,2010-08-29,jordan,2010082912,Group Play,201012,fiba-world-cup
9,Leonel Paulo,9,1,1,0,0,1,2,1,1,0,0,0,0,1,3,angola,2010-08-29,jordan,2010082912,Group Play,201012,fiba-world-cup
10,Vladimir Jeronimo,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,angola,2010-08-29,jordan,2010082912,Group Play,201012,fiba-world-cup
11,Totals,,27,69,10,32,15,27,15,32,15,11,2,8,21,79,angola,2010-08-29,jordan,2010082912,Group Play,201012,fiba-world-cup
