,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Linas Kleiza,37,6,15,3,7,3,4,2,10,1,1,0,2,2,18,lithuania,2010-08-29,canada,2010082914,Group Play,201014,fiba-world-cup
1,Jonas Maciulis,27,2,5,2,4,2,4,1,6,2,2,0,3,2,8,lithuania,2010-08-29,canada,2010082914,Group Play,201014,fiba-world-cup
2,Mantas Kalnietis,22,3,11,1,4,0,0,0,2,2,0,0,2,1,7,lithuania,2010-08-29,canada,2010082914,Group Play,201014,fiba-world-cup
3,Tadas Klimavicius,18,2,3,0,0,3,6,1,6,1,0,2,0,2,7,lithuania,2010-08-29,canada,2010082914,Group Play,201014,fiba-world-cup
4,Martynas Gecevicius,7,0,3,0,3,0,0,0,0,0,1,0,0,0,0,lithuania,2010-08-29,canada,2010082914,Group Play,201014,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,lithuania,2010-08-29,canada,2010082914,Group Play,201014,fiba-world-cup
6,Martynas Pocius,23,3,8,2,6,3,3,2,2,4,0,0,2,2,11,lithuania,2010-08-29,canada,2010082914,Group Play,201014,fiba-world-cup
7,Tomas Delininkaitis,21,2,7,1,5,6,9,1,2,3,0,0,0,4,11,lithuania,2010-08-29,canada,2010082914,Group Play,201014,fiba-world-cup
8,Paulius Jankunas,20,2,4,0,0,0,0,5,8,1,0,0,1,2,4,lithuania,2010-08-29,canada,2010082914,Group Play,201014,fiba-world-cup
9,Simas Jasaitis,14,1,2,0,1,0,0,0,3,0,0,0,1,1,2,lithuania,2010-08-29,canada,2010082914,Group Play,201014,fiba-world-cup
10,Renaldas Seibutis,8,1,3,0,0,0,0,1,1,0,0,0,0,0,2,lithuania,2010-08-29,canada,2010082914,Group Play,201014,fiba-world-cup
11,Robertas Javtokas,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,lithuania,2010-08-29,canada,2010082914,Group Play,201014,fiba-world-cup
12,Totals,,22,61,9,30,17,26,13,40,14,4,2,12,17,70,lithuania,2010-08-29,canada,2010082914,Group Play,201014,fiba-world-cup
0,Joel Anthony,32,5,10,0,0,2,4,3,5,1,0,4,3,1,12,canada,2010-08-29,lithuania,2010082914,Group Play,201014,fiba-world-cup
1,Jermaine Anderson,30,3,8,2,5,7,8,1,4,5,4,0,1,3,15,canada,2010-08-29,lithuania,2010082914,Group Play,201014,fiba-world-cup
2,Aaron Doornekamp,28,1,10,1,7,0,0,2,6,2,2,0,0,3,3,canada,2010-08-29,lithuania,2010082914,Group Play,201014,fiba-world-cup
3,Levon Kendall,26,4,9,1,3,0,0,2,11,0,1,0,0,3,9,canada,2010-08-29,lithuania,2010082914,Group Play,201014,fiba-world-cup
4,Andy Rautins,18,3,10,1,7,0,0,0,3,1,0,0,2,3,7,canada,2010-08-29,lithuania,2010082914,Group Play,201014,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,canada,2010-08-29,lithuania,2010082914,Group Play,201014,fiba-world-cup
6,Denham Brown,19,3,6,2,2,3,4,1,2,1,0,0,2,3,11,canada,2010-08-29,lithuania,2010082914,Group Play,201014,fiba-world-cup
7,Jevohn Shepherd,19,2,5,0,1,1,2,0,1,0,2,0,1,2,5,canada,2010-08-29,lithuania,2010082914,Group Play,201014,fiba-world-cup
8,Jermaine Bucknor,10,2,3,1,1,0,0,0,1,0,0,0,1,2,5,canada,2010-08-29,lithuania,2010082914,Group Play,201014,fiba-world-cup
9,Ryan Bell,10,0,0,0,0,1,2,0,1,0,0,1,0,0,1,canada,2010-08-29,lithuania,2010082914,Group Play,201014,fiba-world-cup
10,Robert Sacre,8,0,1,0,0,0,0,0,0,0,0,0,0,2,0,canada,2010-08-29,lithuania,2010082914,Group Play,201014,fiba-world-cup
11,Totals,,23,62,8,26,14,20,9,34,10,9,5,10,22,68,canada,2010-08-29,lithuania,2010082914,Group Play,201014,fiba-world-cup
