,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Stefan Markovic,42,0,3,0,1,3,4,1,7,7,1,0,2,4,3,serbia,2010-08-29,germany,2010082916,Group Play,201016,fiba-world-cup
1,Novica Velickovic,41,5,16,0,5,1,2,4,9,1,2,0,2,1,11,serbia,2010-08-29,germany,2010082916,Group Play,201016,fiba-world-cup
2,Aleksandar Rasic,37,3,11,3,8,6,6,0,3,5,1,0,0,1,15,serbia,2010-08-29,germany,2010082916,Group Play,201016,fiba-world-cup
3,Kosta Perovic,33,8,10,0,0,4,6,0,2,0,1,1,2,4,20,serbia,2010-08-29,germany,2010082916,Group Play,201016,fiba-world-cup
4,Nemanja Bjelica,19,1,1,0,0,0,0,0,4,1,0,0,2,2,2,serbia,2010-08-29,germany,2010082916,Group Play,201016,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,serbia,2010-08-29,germany,2010082916,Group Play,201016,fiba-world-cup
6,Milenko Tepic,33,5,12,2,5,2,2,0,3,1,0,0,4,2,14,serbia,2010-08-29,germany,2010082916,Group Play,201016,fiba-world-cup
7,Milan Macvan,16,3,6,0,1,3,3,2,3,1,0,2,1,2,9,serbia,2010-08-29,germany,2010082916,Group Play,201016,fiba-world-cup
8,Marko Keselj,14,2,4,2,3,1,2,2,4,0,0,0,0,1,7,serbia,2010-08-29,germany,2010082916,Group Play,201016,fiba-world-cup
9,Dusko Savanovic,10,0,2,0,1,0,0,1,2,0,0,0,2,0,0,serbia,2010-08-29,germany,2010082916,Group Play,201016,fiba-world-cup
10,Ivan Paunic,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,serbia,2010-08-29,germany,2010082916,Group Play,201016,fiba-world-cup
11,Totals,,27,65,7,24,20,25,10,37,16,5,3,15,18,81,serbia,2010-08-29,germany,2010082916,Group Play,201016,fiba-world-cup
0,Jan Jagla,39,8,11,3,4,3,4,2,9,4,2,1,2,4,22,germany,2010-08-29,serbia,2010082916,Group Play,201016,fiba-world-cup
1,Demond Greene,34,7,10,1,2,0,0,0,1,0,1,0,0,5,15,germany,2010-08-29,serbia,2010082916,Group Play,201016,fiba-world-cup
2,Steffen Hamann,32,4,10,0,3,2,2,0,2,3,1,0,2,1,10,germany,2010-08-29,serbia,2010082916,Group Play,201016,fiba-world-cup
3,Robin Benzing,23,1,6,0,3,0,0,0,0,0,1,0,0,1,2,germany,2010-08-29,serbia,2010082916,Group Play,201016,fiba-world-cup
4,Tibor Pleiss,21,1,5,0,0,0,0,1,7,0,0,2,0,3,2,germany,2010-08-29,serbia,2010082916,Group Play,201016,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,germany,2010-08-29,serbia,2010082916,Group Play,201016,fiba-world-cup
6,Heiko Schaffartzik,31,5,12,4,7,0,0,0,2,3,2,0,2,0,14,germany,2010-08-29,serbia,2010082916,Group Play,201016,fiba-world-cup
7,Chris McNaughton,26,4,6,0,0,4,5,0,2,0,2,0,2,5,12,germany,2010-08-29,serbia,2010082916,Group Play,201016,fiba-world-cup
8,Elias Harris,19,2,3,0,0,0,0,0,1,0,1,0,1,1,4,germany,2010-08-29,serbia,2010082916,Group Play,201016,fiba-world-cup
9,Philipp Schwethelm,19,0,2,0,2,1,1,0,1,3,0,0,1,1,1,germany,2010-08-29,serbia,2010082916,Group Play,201016,fiba-world-cup
10,Tim Ohlbrecht,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,germany,2010-08-29,serbia,2010082916,Group Play,201016,fiba-world-cup
11,Totals,,32,65,8,21,10,12,3,25,13,10,3,10,23,82,germany,2010-08-29,serbia,2010082916,Group Play,201016,fiba-world-cup
