,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,David Andersen,25,3,10,2,6,0,0,1,8,1,1,2,1,1,8,australia,2010-08-30,germany,2010083027,Group Play,201027,fiba-world-cup
1,Patty Mills,24,6,10,4,5,0,0,0,1,7,2,0,2,1,16,australia,2010-08-30,germany,2010083027,Group Play,201027,fiba-world-cup
2,Joe Ingles,21,4,5,2,3,0,0,0,2,1,0,0,3,0,10,australia,2010-08-30,germany,2010083027,Group Play,201027,fiba-world-cup
3,Matt Nielsen,20,3,4,0,0,0,2,0,4,0,0,0,0,1,6,australia,2010-08-30,germany,2010083027,Group Play,201027,fiba-world-cup
4,Adam Gibson,19,1,3,1,2,0,0,0,3,2,0,0,0,4,3,australia,2010-08-30,germany,2010083027,Group Play,201027,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,australia,2010-08-30,germany,2010083027,Group Play,201027,fiba-world-cup
6,Brad Newley,22,3,9,0,5,0,0,1,5,0,2,1,0,3,6,australia,2010-08-30,germany,2010083027,Group Play,201027,fiba-world-cup
7,Aleks Maric,20,6,9,0,0,3,3,1,5,0,2,0,5,3,15,australia,2010-08-30,germany,2010083027,Group Play,201027,fiba-world-cup
8,David Barlow,17,3,4,2,2,0,0,1,2,0,1,0,0,0,8,australia,2010-08-30,germany,2010083027,Group Play,201027,fiba-world-cup
9,Mark Worthington,15,1,3,1,3,0,0,0,3,3,0,0,1,1,3,australia,2010-08-30,germany,2010083027,Group Play,201027,fiba-world-cup
10,Damian Martin,14,0,1,0,0,3,4,0,2,3,0,0,0,5,3,australia,2010-08-30,germany,2010083027,Group Play,201027,fiba-world-cup
11,Aron Baynes,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,australia,2010-08-30,germany,2010083027,Group Play,201027,fiba-world-cup
12,Totals,,30,58,12,26,6,9,4,36,17,8,3,12,20,78,australia,2010-08-30,germany,2010083027,Group Play,201027,fiba-world-cup
0,Tibor Pleiss,23,1,7,0,0,0,0,2,7,0,0,1,2,2,2,germany,2010-08-30,australia,2010083027,Group Play,201027,fiba-world-cup
1,Robin Benzing,22,4,8,2,4,1,1,0,1,0,0,1,0,2,11,germany,2010-08-30,australia,2010083027,Group Play,201027,fiba-world-cup
2,Jan Jagla,11,1,4,0,0,0,2,0,4,1,0,0,2,1,2,germany,2010-08-30,australia,2010083027,Group Play,201027,fiba-world-cup
3,Steffen Hamann,11,0,0,0,0,0,0,1,1,0,1,0,2,1,0,germany,2010-08-30,australia,2010083027,Group Play,201027,fiba-world-cup
4,Demond Greene,10,0,5,0,3,0,0,1,1,0,0,0,2,2,0,germany,2010-08-30,australia,2010083027,Group Play,201027,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,germany,2010-08-30,australia,2010083027,Group Play,201027,fiba-world-cup
6,Elias Harris,24,0,3,0,1,0,0,3,5,0,0,0,1,1,0,germany,2010-08-30,australia,2010083027,Group Play,201027,fiba-world-cup
7,Tim Ohlbrecht,23,3,5,3,4,1,4,0,2,0,1,0,0,5,10,germany,2010-08-30,australia,2010083027,Group Play,201027,fiba-world-cup
8,Heiko Schaffartzik,23,2,8,1,4,2,2,0,1,3,1,0,2,1,7,germany,2010-08-30,australia,2010083027,Group Play,201027,fiba-world-cup
9,Lucca Staiger,18,2,8,1,6,0,0,0,1,1,1,0,2,0,5,germany,2010-08-30,australia,2010083027,Group Play,201027,fiba-world-cup
10,Chris McNaughton,17,1,5,0,0,1,2,1,3,1,0,0,1,1,3,germany,2010-08-30,australia,2010083027,Group Play,201027,fiba-world-cup
11,Philipp Schwethelm,13,1,3,1,3,0,0,0,1,0,0,0,2,1,3,germany,2010-08-30,australia,2010083027,Group Play,201027,fiba-world-cup
12,Per Gunther,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,germany,2010-08-30,australia,2010083027,Group Play,201027,fiba-world-cup
13,Totals,,15,58,8,26,5,11,8,27,6,4,2,16,17,43,germany,2010-08-30,australia,2010083027,Group Play,201027,fiba-world-cup
