,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Rasheim Wright,32,2,14,0,7,1,2,1,2,3,0,0,1,0,5,jordan,2010-08-30,serbia,2010083029,Group Play,201029,fiba-world-cup
1,Sam Daghles,30,5,7,1,3,8,8,1,2,4,1,0,5,2,19,jordan,2010-08-30,serbia,2010083029,Group Play,201029,fiba-world-cup
2,Ayman Idais,29,2,6,1,4,1,3,3,7,0,0,0,2,3,6,jordan,2010-08-30,serbia,2010083029,Group Play,201029,fiba-world-cup
3,Zaid Abbas,27,6,10,0,1,3,6,5,5,1,2,1,2,4,15,jordan,2010-08-30,serbia,2010083029,Group Play,201029,fiba-world-cup
4,Zaid Alkhas,19,2,8,1,4,0,0,2,6,0,0,0,1,4,5,jordan,2010-08-30,serbia,2010083029,Group Play,201029,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,jordan,2010-08-30,serbia,2010083029,Group Play,201029,fiba-world-cup
6,Enver Soobzokov,24,3,9,2,7,1,2,1,6,0,1,0,0,1,9,jordan,2010-08-30,serbia,2010083029,Group Play,201029,fiba-world-cup
7,Mousa Al-Awadi,20,3,6,0,2,2,4,0,0,1,0,0,2,1,8,jordan,2010-08-30,serbia,2010083029,Group Play,201029,fiba-world-cup
8,Fadel Alnajjar,10,0,1,0,1,0,0,0,0,2,0,0,1,1,0,jordan,2010-08-30,serbia,2010083029,Group Play,201029,fiba-world-cup
9,Ali Jamal Zaghab,9,1,1,0,0,0,0,0,0,0,0,0,1,2,2,jordan,2010-08-30,serbia,2010083029,Group Play,201029,fiba-world-cup
10,Totals,,24,62,5,29,16,25,13,28,11,4,1,15,18,69,jordan,2010-08-30,serbia,2010083029,Group Play,201029,fiba-world-cup
0,Dusko Savanovic,23,8,10,2,3,3,3,0,7,1,1,0,1,0,21,serbia,2010-08-30,jordan,2010083029,Group Play,201029,fiba-world-cup
1,Kosta Perovic,22,7,11,0,0,6,7,1,6,1,1,2,0,3,20,serbia,2010-08-30,jordan,2010083029,Group Play,201029,fiba-world-cup
2,Milos Teodosic,22,3,5,1,3,0,0,0,2,7,1,0,1,1,7,serbia,2010-08-30,jordan,2010083029,Group Play,201029,fiba-world-cup
3,Nemanja Bjelica,19,5,8,1,3,1,1,3,6,1,0,0,0,3,12,serbia,2010-08-30,jordan,2010083029,Group Play,201029,fiba-world-cup
4,Milenko Tepic,16,3,6,1,2,0,0,1,2,3,1,0,0,3,7,serbia,2010-08-30,jordan,2010083029,Group Play,201029,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,serbia,2010-08-30,jordan,2010083029,Group Play,201029,fiba-world-cup
6,Aleksandar Rasic,21,2,2,2,2,0,0,0,2,8,0,0,0,1,6,serbia,2010-08-30,jordan,2010083029,Group Play,201029,fiba-world-cup
7,Milan Macvan,21,1,6,0,0,2,2,0,0,4,1,0,2,3,4,serbia,2010-08-30,jordan,2010083029,Group Play,201029,fiba-world-cup
8,Marko Keselj,15,9,10,2,3,1,1,0,1,0,1,0,0,2,21,serbia,2010-08-30,jordan,2010083029,Group Play,201029,fiba-world-cup
9,Novica Velickovic,15,3,5,0,2,2,3,0,3,2,3,1,1,0,8,serbia,2010-08-30,jordan,2010083029,Group Play,201029,fiba-world-cup
10,Ivan Paunic,14,2,2,1,1,0,0,0,1,0,0,0,1,1,5,serbia,2010-08-30,jordan,2010083029,Group Play,201029,fiba-world-cup
11,Stefan Markovic,13,0,0,0,0,1,2,1,2,1,0,1,3,2,1,serbia,2010-08-30,jordan,2010083029,Group Play,201029,fiba-world-cup
12,Totals,,43,65,10,19,16,19,6,32,28,9,4,9,19,112,serbia,2010-08-30,jordan,2010083029,Group Play,201029,fiba-world-cup
