,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Goran Dragic,35,5,10,2,3,2,2,0,4,4,1,0,5,3,14,slovenia,2010-08-30,croatia,2010083026,Group Play,201026,fiba-world-cup
1,Bostjan Nachbar,30,4,7,1,4,2,5,0,5,1,0,0,0,4,11,slovenia,2010-08-30,croatia,2010083026,Group Play,201026,fiba-world-cup
2,Samo Udrih,25,3,4,1,2,2,4,0,1,2,2,0,1,4,9,slovenia,2010-08-30,croatia,2010083026,Group Play,201026,fiba-world-cup
3,Primoz Brezec,19,2,7,0,1,2,4,3,8,0,0,0,1,3,6,slovenia,2010-08-30,croatia,2010083026,Group Play,201026,fiba-world-cup
4,Miha Zupan,16,3,5,2,2,0,0,2,4,0,0,0,1,2,8,slovenia,2010-08-30,croatia,2010083026,Group Play,201026,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,slovenia,2010-08-30,croatia,2010083026,Group Play,201026,fiba-world-cup
6,Jaka Lakovic,28,4,9,2,6,5,8,1,1,4,0,0,2,0,15,slovenia,2010-08-30,croatia,2010083026,Group Play,201026,fiba-world-cup
7,Uros Slokar,21,5,8,3,4,2,2,3,6,0,1,0,1,4,15,slovenia,2010-08-30,croatia,2010083026,Group Play,201026,fiba-world-cup
8,Gasper Vidmar,16,4,5,0,0,1,1,2,3,0,0,0,3,4,9,slovenia,2010-08-30,croatia,2010083026,Group Play,201026,fiba-world-cup
9,Sani Becirovic,10,1,1,0,0,2,2,1,1,2,0,0,0,1,4,slovenia,2010-08-30,croatia,2010083026,Group Play,201026,fiba-world-cup
10,Totals,,31,56,11,22,18,28,12,33,13,4,0,14,25,91,slovenia,2010-08-30,croatia,2010083026,Group Play,201026,fiba-world-cup
0,Roko Ukic,37,7,14,4,5,2,2,1,3,7,1,0,4,1,20,croatia,2010-08-30,slovenia,2010083026,Group Play,201026,fiba-world-cup
1,Marko Tomas,34,5,8,3,6,4,7,0,2,4,0,0,2,5,17,croatia,2010-08-30,slovenia,2010083026,Group Play,201026,fiba-world-cup
2,Luka Zoric,23,4,7,0,0,0,2,5,9,0,0,2,1,4,8,croatia,2010-08-30,slovenia,2010083026,Group Play,201026,fiba-world-cup
3,Ante Tomic,23,1,5,0,0,2,6,1,3,0,1,0,3,5,4,croatia,2010-08-30,slovenia,2010083026,Group Play,201026,fiba-world-cup
4,Davor Kus,20,2,3,1,2,0,0,0,0,1,3,0,1,1,5,croatia,2010-08-30,slovenia,2010083026,Group Play,201026,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,croatia,2010-08-30,slovenia,2010083026,Group Play,201026,fiba-world-cup
6,Marko Popovic,15,4,7,3,5,6,6,0,1,0,1,0,1,3,17,croatia,2010-08-30,slovenia,2010083026,Group Play,201026,fiba-world-cup
7,Bojan Bogdanovic,13,1,2,0,0,0,0,0,1,0,1,0,0,4,2,croatia,2010-08-30,slovenia,2010083026,Group Play,201026,fiba-world-cup
8,Marko Banic,12,3,3,0,0,0,1,1,1,0,0,0,0,1,6,croatia,2010-08-30,slovenia,2010083026,Group Play,201026,fiba-world-cup
9,Luksa Andric,11,2,4,0,0,1,2,2,5,0,0,0,3,4,5,croatia,2010-08-30,slovenia,2010083026,Group Play,201026,fiba-world-cup
10,Zoran Planinic,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0,croatia,2010-08-30,slovenia,2010083026,Group Play,201026,fiba-world-cup
11,Kresimir Loncar,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,croatia,2010-08-30,slovenia,2010083026,Group Play,201026,fiba-world-cup
12,Totals,,29,56,11,20,15,26,10,25,12,7,2,15,29,84,croatia,2010-08-30,slovenia,2010083026,Group Play,201026,fiba-world-cup
