,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Dimitris Diamantidis,32,2,6,2,5,2,2,0,3,3,3,0,2,2,8,greece,2010-08-31,turkey,2010083135,Group Play,201035
1,Vassilis Spanoulis,29,2,6,1,5,0,2,0,1,3,2,0,2,1,5,greece,2010-08-31,turkey,2010083135,Group Play,201035
2,Ioannis Bourousis,27,5,13,3,8,2,2,1,7,1,0,0,1,3,15,greece,2010-08-31,turkey,2010083135,Group Play,201035
3,Nikos Zisis,19,1,5,1,5,0,0,0,3,3,1,0,0,4,3,greece,2010-08-31,turkey,2010083135,Group Play,201035
4,Kostas Tsartsaris,13,1,1,0,0,0,0,1,3,1,1,0,0,3,2,greece,2010-08-31,turkey,2010083135,Group Play,201035
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,greece,2010-08-31,turkey,2010083135,Group Play,201035
6,Antonis Fotsis,27,2,6,1,4,2,2,1,5,1,0,1,0,2,7,greece,2010-08-31,turkey,2010083135,Group Play,201035
7,Nick Calathes,16,2,5,0,3,2,2,0,1,4,0,0,0,0,6,greece,2010-08-31,turkey,2010083135,Group Play,201035
8,Stratos Perperoglou,15,2,4,0,1,0,0,1,3,0,0,0,0,0,4,greece,2010-08-31,turkey,2010083135,Group Play,201035
9,Sofoklis Schortsanitis,13,3,6,0,0,3,7,1,2,0,1,0,4,5,9,greece,2010-08-31,turkey,2010083135,Group Play,201035
10,Kostas Kaimakoglou,9,2,3,2,2,0,0,0,1,0,0,0,0,1,6,greece,2010-08-31,turkey,2010083135,Group Play,201035
11,Totals,,22,55,10,33,11,17,5,29,16,8,1,9,21,65,greece,2010-08-31,turkey,2010083135,Group Play,201035
0,Hidayet Turkoglu,33,2,12,2,8,2,2,0,6,3,2,0,1,2,8,turkey,2010-08-31,greece,2010083135,Group Play,201035
1,Ersan Ilyasova,31,9,14,6,6,2,2,3,5,0,1,1,0,0,26,turkey,2010-08-31,greece,2010083135,Group Play,201035
2,Kerem Tunceri,26,2,9,1,5,2,2,1,3,4,1,0,1,1,7,turkey,2010-08-31,greece,2010083135,Group Play,201035
3,Omer Onan,20,2,4,2,4,0,0,0,0,2,0,0,3,3,6,turkey,2010-08-31,greece,2010083135,Group Play,201035
4,Omer Asik,17,5,6,0,0,2,6,2,6,0,1,2,2,4,12,turkey,2010-08-31,greece,2010083135,Group Play,201035
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,turkey,2010-08-31,greece,2010083135,Group Play,201035
6,Kerem Gonlum,24,0,1,0,0,0,2,1,8,1,0,1,0,0,0,turkey,2010-08-31,greece,2010083135,Group Play,201035
7,Ender Arslan,16,2,3,1,1,0,0,1,1,4,0,0,2,2,5,turkey,2010-08-31,greece,2010083135,Group Play,201035
8,Semih Erden,15,3,3,0,0,4,5,1,2,1,0,0,2,3,10,turkey,2010-08-31,greece,2010083135,Group Play,201035
9,Oguz Savas,12,1,2,0,0,0,0,0,0,1,0,0,0,1,2,turkey,2010-08-31,greece,2010083135,Group Play,201035
10,Sinan Guler,6,0,2,0,1,0,0,0,1,1,0,0,0,1,0,turkey,2010-08-31,greece,2010083135,Group Play,201035
11,Totals,,26,56,12,25,12,19,9,32,17,5,4,11,17,76,turkey,2010-08-31,greece,2010083135,Group Play,201035
