,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Sergey Bykov,26,1,5,0,2,3,5,1,5,3,0,0,5,1,5,russia,2010-08-31,ivory-coast,2010083132,Group Play,201032
1,Sergei Monia,23,2,4,2,3,0,0,0,5,4,0,0,4,3,6,russia,2010-08-31,ivory-coast,2010083132,Group Play,201032
2,Anton Ponkrashov,20,2,6,0,2,0,0,1,2,3,0,0,1,1,4,russia,2010-08-31,ivory-coast,2010083132,Group Play,201032
3,Sasha Kaun,19,5,10,0,0,3,4,4,6,0,0,0,3,5,13,russia,2010-08-31,ivory-coast,2010083132,Group Play,201032
4,Vitaly Fridzon,19,2,6,1,4,4,4,0,0,3,0,0,2,3,9,russia,2010-08-31,ivory-coast,2010083132,Group Play,201032
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,russia,2010-08-31,ivory-coast,2010083132,Group Play,201032
6,Andrey Vorontsevich,24,3,7,2,4,0,0,2,5,1,0,0,1,2,8,russia,2010-08-31,ivory-coast,2010083132,Group Play,201032
7,Dimitriy Khvostov,23,2,4,2,4,0,0,1,6,1,0,0,2,2,6,russia,2010-08-31,ivory-coast,2010083132,Group Play,201032
8,Timofey Mozgov,21,8,10,0,0,3,5,2,5,0,0,1,1,2,19,russia,2010-08-31,ivory-coast,2010083132,Group Play,201032
9,Evgeny Voronov,15,0,0,0,0,2,2,0,3,1,1,0,1,1,2,russia,2010-08-31,ivory-coast,2010083132,Group Play,201032
10,Evgeny Kolesnikov,10,0,1,0,1,0,0,0,3,0,0,1,0,0,0,russia,2010-08-31,ivory-coast,2010083132,Group Play,201032
11,Totals,,25,53,7,20,15,20,11,40,16,1,2,20,20,72,russia,2010-08-31,ivory-coast,2010083132,Group Play,201032
0,Souleyman Diabate,38,5,12,0,3,0,0,3,5,3,7,0,2,1,10,ivory-coast,2010-08-31,russia,2010083132,Group Play,201032
1,Herve Lamizana,29,5,12,0,3,4,5,0,8,0,0,1,0,3,14,ivory-coast,2010-08-31,russia,2010083132,Group Play,201032
2,Mohamed Kone,27,4,11,0,1,8,11,2,3,0,2,0,2,3,16,ivory-coast,2010-08-31,russia,2010083132,Group Play,201032
3,Pape-Philippe Amagou,26,0,1,0,1,0,0,0,1,3,3,0,0,2,0,ivory-coast,2010-08-31,russia,2010083132,Group Play,201032
4,Guy Edi,25,4,7,2,4,4,5,0,2,1,0,0,2,5,14,ivory-coast,2010-08-31,russia,2010083132,Group Play,201032
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ivory-coast,2010-08-31,russia,2010083132,Group Play,201032
6,Kinidinnin Stephane Konate Sornan,18,3,6,0,1,0,0,1,4,1,0,1,2,1,6,ivory-coast,2010-08-31,russia,2010083132,Group Play,201032
7,Brice Kevin Assie,12,2,7,0,1,0,0,2,2,0,0,0,2,2,4,ivory-coast,2010-08-31,russia,2010083132,Group Play,201032
8,Jonathan Monyongo Kale,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,ivory-coast,2010-08-31,russia,2010083132,Group Play,201032
9,Charles Abouo,8,1,2,0,0,0,0,0,0,0,0,0,1,0,2,ivory-coast,2010-08-31,russia,2010083132,Group Play,201032
10,Ismael N'Diaye,5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,ivory-coast,2010-08-31,russia,2010083132,Group Play,201032
11,Eric Tape,2,0,2,0,0,0,0,1,1,0,0,0,1,0,0,ivory-coast,2010-08-31,russia,2010083132,Group Play,201032
12,Totals,,24,61,2,14,16,21,9,27,8,14,2,12,18,66,ivory-coast,2010-08-31,russia,2010083132,Group Play,201032
