,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Marc Gasol,30,7,12,0,0,4,8,4,8,2,1,4,4,4,18,spain,2010-08-31,lithuania,2010083134,Group Play,201034
1,Rudy Fernandez,29,4,7,1,4,4,4,2,9,2,1,0,3,1,13,spain,2010-08-31,lithuania,2010083134,Group Play,201034
2,Juan Carlos Navarro,28,5,12,2,5,6,8,0,3,1,2,0,0,2,18,spain,2010-08-31,lithuania,2010083134,Group Play,201034
3,Jorge Garbajosa,28,4,7,3,5,0,0,0,3,3,0,0,0,2,11,spain,2010-08-31,lithuania,2010083134,Group Play,201034
4,Ricky Rubio,28,1,7,0,1,1,1,1,2,2,0,0,2,3,3,spain,2010-08-31,lithuania,2010083134,Group Play,201034
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,spain,2010-08-31,lithuania,2010083134,Group Play,201034
6,Raul Lopez,12,1,2,1,2,0,0,0,0,2,2,0,2,0,3,spain,2010-08-31,lithuania,2010083134,Group Play,201034
7,Felipe Reyes,12,0,2,0,0,0,0,0,1,0,1,1,1,3,0,spain,2010-08-31,lithuania,2010083134,Group Play,201034
8,Alex Mumbru,11,2,3,0,1,0,0,1,1,1,0,0,0,3,4,spain,2010-08-31,lithuania,2010083134,Group Play,201034
9,Fran Vazquez,10,0,1,0,0,0,2,0,1,0,0,0,1,1,0,spain,2010-08-31,lithuania,2010083134,Group Play,201034
10,Sergio Llull,8,1,3,1,3,0,0,0,1,0,0,0,0,3,3,spain,2010-08-31,lithuania,2010083134,Group Play,201034
11,Fernando San Emeterio,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,spain,2010-08-31,lithuania,2010083134,Group Play,201034
12,Totals,,25,57,8,22,15,23,8,29,13,7,5,13,22,73,spain,2010-08-31,lithuania,2010083134,Group Play,201034
0,Linas Kleiza,33,7,14,1,4,2,4,3,8,1,1,0,3,3,17,lithuania,2010-08-31,spain,2010083134,Group Play,201034
1,Mantas Kalnietis,30,4,12,2,7,2,2,0,4,5,1,0,1,2,12,lithuania,2010-08-31,spain,2010083134,Group Play,201034
2,Robertas Javtokas,23,1,4,0,0,2,4,2,8,1,0,0,1,2,4,lithuania,2010-08-31,spain,2010083134,Group Play,201034
3,Simas Jasaitis,18,2,9,1,3,0,0,4,4,0,0,0,0,2,5,lithuania,2010-08-31,spain,2010083134,Group Play,201034
4,Martynas Gecevicius,14,1,4,0,1,0,0,0,0,0,0,0,0,0,2,lithuania,2010-08-31,spain,2010083134,Group Play,201034
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,lithuania,2010-08-31,spain,2010083134,Group Play,201034
6,Tomas Delininkaitis,21,1,4,0,2,2,2,0,3,1,1,0,1,5,4,lithuania,2010-08-31,spain,2010083134,Group Play,201034
7,Jonas Maciulis,19,4,5,0,1,5,6,2,4,1,4,0,1,5,13,lithuania,2010-08-31,spain,2010083134,Group Play,201034
8,Martynas Pocius,19,5,6,2,2,1,2,1,3,0,0,0,3,2,13,lithuania,2010-08-31,spain,2010083134,Group Play,201034
9,Paulius Jankunas,16,1,2,1,2,0,0,0,2,1,0,0,0,3,3,lithuania,2010-08-31,spain,2010083134,Group Play,201034
10,Martynas Andriuskevicius,5,1,2,0,0,1,2,1,2,0,0,0,1,0,3,lithuania,2010-08-31,spain,2010083134,Group Play,201034
11,Tadas Klimavicius,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,lithuania,2010-08-31,spain,2010083134,Group Play,201034
12,Renaldas Seibutis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,lithuania,2010-08-31,spain,2010083134,Group Play,201034
13,Totals,,27,64,7,22,15,22,13,38,10,8,0,11,25,76,lithuania,2010-08-31,spain,2010083134,Group Play,201034
