,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Leandro Barbosa,36.0,6,18,0,3,0,0,1,3,1,3,0,4,4,12,brazil,2010-09-01,slovenia,2010090144,Group Play,201044
1,Tiago Splitter,33.0,8,13,0,0,3,8,1,4,1,2,0,1,2,19,brazil,2010-09-01,slovenia,2010090144,Group Play,201044
2,Marcelo Huertas,32.0,2,5,1,2,3,4,0,1,10,0,0,1,2,8,brazil,2010-09-01,slovenia,2010090144,Group Play,201044
3,Anderson Varejao,23.0,2,3,0,0,0,1,2,4,0,1,0,0,3,4,brazil,2010-09-01,slovenia,2010090144,Group Play,201044
4,Alex Garcia,22.0,3,5,0,2,3,3,0,1,3,2,0,0,4,9,brazil,2010-09-01,slovenia,2010090144,Group Play,201044
5,Marcelinho Machado,17.0,5,10,4,8,6,7,1,1,1,3,0,1,1,20,brazil,2010-09-01,slovenia,2010090144,Group Play,201044
6,Marcus Vinicius,16.0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,brazil,2010-09-01,slovenia,2010090144,Group Play,201044
7,Guilherme Giovannoni,14.0,2,4,1,2,0,0,1,3,0,0,0,0,5,5,brazil,2010-09-01,slovenia,2010090144,Group Play,201044
8,Nezinho Dos Santos,7.0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,brazil,2010-09-01,slovenia,2010090144,Group Play,201044
9,Totals,,28,61,6,17,15,23,7,22,17,11,0,7,22,77,brazil,2010-09-01,slovenia,2010090144,Group Play,201044
0,Jaka Lakovic,36.0,7,13,6,11,0,0,0,3,3,2,0,2,1,20,slovenia,2010-09-01,brazil,2010090144,Group Play,201044
1,Sani Becirovic,33.0,1,4,0,3,4,4,0,9,4,1,0,3,5,6,slovenia,2010-09-01,brazil,2010090144,Group Play,201044
2,Goran Dragic,31.0,3,7,0,3,4,6,0,2,0,0,0,4,1,10,slovenia,2010-09-01,brazil,2010090144,Group Play,201044
3,Uros Slokar,26.0,1,3,0,0,3,4,1,6,1,0,0,2,4,5,slovenia,2010-09-01,brazil,2010090144,Group Play,201044
4,Primoz Brezec,25.0,7,8,0,0,2,2,2,3,0,0,0,0,3,16,slovenia,2010-09-01,brazil,2010090144,Group Play,201044
5,Bostjan Nachbar,24.0,6,10,2,5,1,2,0,4,2,0,0,2,5,15,slovenia,2010-09-01,brazil,2010090144,Group Play,201044
6,Gasper Vidmar,14.0,3,5,0,0,0,0,1,2,0,0,0,1,4,6,slovenia,2010-09-01,brazil,2010090144,Group Play,201044
7,Miha Zupan,12.0,1,1,0,0,0,0,1,1,1,0,0,1,1,2,slovenia,2010-09-01,brazil,2010090144,Group Play,201044
8,Totals,,29,51,8,22,14,18,5,30,11,3,0,15,24,80,slovenia,2010-09-01,brazil,2010090144,Group Play,201044
