,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Arsalan Kazemi,37,5,8,1,3,3,5,1,5,0,5,0,3,0,14,iran,2010-09-01,united-states,2010090147,Group Play,201047
1,Hamed Haddadi,34,7,22,0,5,5,7,1,5,0,0,0,3,3,19,iran,2010-09-01,united-states,2010090147,Group Play,201047
2,Javad Davari,32,0,5,0,3,2,2,1,2,1,2,0,5,4,2,iran,2010-09-01,united-states,2010090147,Group Play,201047
3,Mahdi Kamrany,28,1,6,1,4,4,6,0,0,1,2,0,6,2,7,iran,2010-09-01,united-states,2010090147,Group Play,201047
4,Moosa Nabipoor,7,0,1,0,1,1,2,0,1,0,0,0,0,0,1,iran,2010-09-01,united-states,2010090147,Group Play,201047
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,iran,2010-09-01,united-states,2010090147,Group Play,201047
6,Saman Veisi,28,2,5,1,4,2,2,2,4,1,0,0,1,1,7,iran,2010-09-01,united-states,2010090147,Group Play,201047
7,Aren Davoudichegani,20,0,2,0,1,1,2,1,2,2,1,0,4,5,1,iran,2010-09-01,united-states,2010090147,Group Play,201047
8,Asghar Kardoust,8,0,2,0,0,0,0,1,4,0,0,0,2,1,0,iran,2010-09-01,united-states,2010090147,Group Play,201047
9,Mohammad Hassanzadeh,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,iran,2010-09-01,united-states,2010090147,Group Play,201047
10,Saeid Davarpanah,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,iran,2010-09-01,united-states,2010090147,Group Play,201047
11,Totals,,15,52,3,21,18,26,8,25,5,10,0,24,16,51,iran,2010-09-01,united-states,2010090147,Group Play,201047
0,Derrick Rose,21,5,6,0,0,1,2,1,2,1,2,0,2,2,11,united-states,2010-09-01,iran,2010090147,Group Play,201047
1,Kevin Durant,20,5,7,1,2,1,1,1,5,2,2,0,2,2,12,united-states,2010-09-01,iran,2010090147,Group Play,201047
2,Chauncey Billups,18,2,7,0,2,1,2,0,1,2,2,0,2,2,5,united-states,2010-09-01,iran,2010090147,Group Play,201047
3,Lamar Odom,16,1,2,0,0,0,0,1,3,0,0,0,0,2,2,united-states,2010-09-01,iran,2010090147,Group Play,201047
4,Andre Iguodala,12,1,1,1,1,0,0,0,3,0,1,0,1,3,3,united-states,2010-09-01,iran,2010090147,Group Play,201047
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,united-states,2010-09-01,iran,2010090147,Group Play,201047
6,Eric Gordon,21,3,7,1,2,1,1,0,1,0,1,0,1,0,8,united-states,2010-09-01,iran,2010090147,Group Play,201047
7,Rudy Gay,19,3,6,2,4,1,2,0,3,2,1,2,2,3,9,united-states,2010-09-01,iran,2010090147,Group Play,201047
8,Russell Westbrook,17,2,6,0,0,0,0,0,1,2,2,0,2,0,4,united-states,2010-09-01,iran,2010090147,Group Play,201047
9,Stephen Curry,17,2,5,0,2,0,0,0,4,5,1,0,2,2,4,united-states,2010-09-01,iran,2010090147,Group Play,201047
10,Danny Granger,15,4,6,1,2,1,1,1,1,3,0,0,0,1,10,united-states,2010-09-01,iran,2010090147,Group Play,201047
11,Tyson Chandler,13,3,3,0,0,1,2,3,7,1,0,0,1,1,7,united-states,2010-09-01,iran,2010090147,Group Play,201047
12,Kevin Love,11,6,8,1,2,0,0,2,6,1,1,0,1,1,13,united-states,2010-09-01,iran,2010090147,Group Play,201047
13,Totals,,37,64,7,17,7,11,9,37,19,13,2,16,19,88,united-states,2010-09-01,iran,2010090147,Group Play,201047
