,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Jonas Maciulis,31,6,11,1,5,6,6,1,2,2,3,0,6,2,19,lithuania,2010-09-01,france,2010090138,Group Play,201038
1,Linas Kleiza,26,5,11,0,2,5,6,1,3,3,1,0,1,1,15,lithuania,2010-09-01,france,2010090138,Group Play,201038
2,Mantas Kalnietis,24,2,3,1,2,4,4,0,4,2,0,1,1,0,9,lithuania,2010-09-01,france,2010090138,Group Play,201038
3,Martynas Pocius,18,3,4,2,3,0,0,0,2,1,0,0,2,5,8,lithuania,2010-09-01,france,2010090138,Group Play,201038
4,Robertas Javtokas,11,1,3,0,0,0,1,2,5,0,0,0,1,3,2,lithuania,2010-09-01,france,2010090138,Group Play,201038
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,lithuania,2010-09-01,france,2010090138,Group Play,201038
6,Renaldas Seibutis,26,2,3,2,3,0,0,0,1,2,0,0,3,1,6,lithuania,2010-09-01,france,2010090138,Group Play,201038
7,Tadas Klimavicius,22,2,5,0,0,1,2,2,4,0,1,1,2,3,5,lithuania,2010-09-01,france,2010090138,Group Play,201038
8,Paulius Jankunas,21,1,5,0,1,0,0,1,4,1,3,3,1,2,2,lithuania,2010-09-01,france,2010090138,Group Play,201038
9,Tomas Delininkaitis,16,1,1,1,1,0,0,0,2,2,0,0,1,2,3,lithuania,2010-09-01,france,2010090138,Group Play,201038
10,Martynas Gecevicius,5,0,3,0,2,0,0,0,0,0,0,0,1,0,0,lithuania,2010-09-01,france,2010090138,Group Play,201038
11,Totals,,23,49,7,19,16,19,7,27,13,8,5,19,19,69,lithuania,2010-09-01,france,2010090138,Group Play,201038
0,Nicolas Batum,28,3,11,2,6,5,7,0,1,3,2,1,3,1,13,france,2010-09-01,lithuania,2010090138,Group Play,201038
1,Boris Diaw,27,4,7,1,3,0,0,3,6,0,4,0,2,2,9,france,2010-09-01,lithuania,2010090138,Group Play,201038
2,Nando De Colo,26,4,5,1,2,0,0,1,3,2,0,0,2,2,9,france,2010-09-01,lithuania,2010090138,Group Play,201038
3,Yannick Bokolo,18,0,4,0,1,1,2,0,2,1,0,0,1,3,1,france,2010-09-01,lithuania,2010090138,Group Play,201038
4,Ali Traore,17,3,8,0,0,0,2,2,2,1,1,0,1,4,6,france,2010-09-01,lithuania,2010090138,Group Play,201038
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,france,2010-09-01,lithuania,2010090138,Group Play,201038
6,Mickael Gelabale,29,3,7,2,5,2,2,1,4,2,0,0,3,0,10,france,2010-09-01,lithuania,2010090138,Group Play,201038
7,Alain Koffi,20,0,4,0,0,2,2,1,5,0,1,0,3,3,2,france,2010-09-01,lithuania,2010090138,Group Play,201038
8,Ian Mahinmi,14,0,0,0,0,2,2,0,1,1,1,1,1,5,2,france,2010-09-01,lithuania,2010090138,Group Play,201038
9,Andrew Albicy,9,1,4,1,1,0,0,0,0,1,0,0,1,0,3,france,2010-09-01,lithuania,2010090138,Group Play,201038
10,Edwin Jackson,8,0,2,0,2,0,0,0,0,0,1,0,0,0,0,france,2010-09-01,lithuania,2010090138,Group Play,201038
11,Fabien Causeur,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,france,2010-09-01,lithuania,2010090138,Group Play,201038
12,Totals,,18,52,7,20,12,19,8,24,11,10,2,17,20,55,france,2010-09-01,lithuania,2010090138,Group Play,201038
