,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Milos Teodosic,25,6,13,5,12,2,2,0,3,3,2,0,3,2,19,serbia,2010-09-01,australia,2010090137,Group Play,201037
1,Novica Velickovic,24,6,13,1,5,5,7,2,9,0,1,0,2,2,18,serbia,2010-09-01,australia,2010090137,Group Play,201037
2,Nemanja Bjelica,20,1,3,1,2,4,4,2,5,1,0,0,0,4,7,serbia,2010-09-01,australia,2010090137,Group Play,201037
3,Kosta Perovic,13,1,3,0,0,0,0,1,2,0,0,0,0,1,2,serbia,2010-09-01,australia,2010090137,Group Play,201037
4,Milenko Tepic,12,0,5,0,2,0,0,1,4,2,0,0,2,2,0,serbia,2010-09-01,australia,2010090137,Group Play,201037
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,serbia,2010-09-01,australia,2010090137,Group Play,201037
6,Aleksandar Rasic,29,3,6,2,4,0,0,1,2,2,2,0,0,2,8,serbia,2010-09-01,australia,2010090137,Group Play,201037
7,Nenad Krstic,23,4,9,0,0,6,6,4,10,0,0,0,2,2,14,serbia,2010-09-01,australia,2010090137,Group Play,201037
8,Marko Keselj,20,4,6,3,5,0,0,0,0,0,3,1,1,1,11,serbia,2010-09-01,australia,2010090137,Group Play,201037
9,Dusko Savanovic,19,4,7,2,5,0,0,1,5,2,0,0,2,2,10,serbia,2010-09-01,australia,2010090137,Group Play,201037
10,Stefan Markovic,13,1,1,0,0,3,4,0,0,1,0,0,3,2,5,serbia,2010-09-01,australia,2010090137,Group Play,201037
11,Milan Macvan,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,serbia,2010-09-01,australia,2010090137,Group Play,201037
12,Totals,,30,66,14,35,20,23,12,40,11,8,1,16,21,94,serbia,2010-09-01,australia,2010090137,Group Play,201037
0,Joe Ingles,30,2,9,1,5,1,2,0,2,4,3,0,2,4,6,australia,2010-09-01,serbia,2010090137,Group Play,201037
1,Patty Mills,28,3,12,1,4,5,7,0,4,6,0,0,3,3,12,australia,2010-09-01,serbia,2010090137,Group Play,201037
2,David Andersen,24,3,6,1,2,0,0,1,7,0,1,0,1,3,7,australia,2010-09-01,serbia,2010090137,Group Play,201037
3,Matt Nielsen,22,4,5,1,1,1,1,0,2,0,2,2,3,2,10,australia,2010-09-01,serbia,2010090137,Group Play,201037
4,Adam Gibson,19,3,7,2,5,0,1,0,0,0,1,0,3,4,8,australia,2010-09-01,serbia,2010090137,Group Play,201037
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,australia,2010-09-01,serbia,2010090137,Group Play,201037
6,Brad Newley,25,5,9,0,2,3,6,2,4,1,0,0,0,0,13,australia,2010-09-01,serbia,2010090137,Group Play,201037
7,Aleks Maric,19,5,7,0,0,0,1,1,3,2,0,0,3,2,10,australia,2010-09-01,serbia,2010090137,Group Play,201037
8,David Barlow,17,0,0,0,0,4,4,0,2,2,1,0,0,2,4,australia,2010-09-01,serbia,2010090137,Group Play,201037
9,Mark Worthington,15,3,5,2,3,1,2,1,3,1,1,0,0,0,9,australia,2010-09-01,serbia,2010090137,Group Play,201037
10,Damian Martin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,australia,2010-09-01,serbia,2010090137,Group Play,201037
11,Totals,,28,60,8,22,15,24,5,27,16,9,2,15,20,79,australia,2010-09-01,serbia,2010090137,Group Play,201037
