,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Ersan Ilyasova,35,5,15,2,8,1,2,3,13,0,1,0,1,3,13,turkey,2010-09-01,puerto-rico,2010090142,Group Play,201042
1,Omer Onan,34,5,11,2,7,0,0,1,1,2,2,0,0,4,12,turkey,2010-09-01,puerto-rico,2010090142,Group Play,201042
2,Hidayet Turkoglu,26,6,11,4,6,0,0,0,2,5,0,0,0,0,16,turkey,2010-09-01,puerto-rico,2010090142,Group Play,201042
3,Kerem Tunceri,24,1,7,1,4,1,2,1,3,5,0,0,1,0,4,turkey,2010-09-01,puerto-rico,2010090142,Group Play,201042
4,Omer Asik,14,1,2,0,0,2,8,0,3,1,0,1,1,0,4,turkey,2010-09-01,puerto-rico,2010090142,Group Play,201042
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,turkey,2010-09-01,puerto-rico,2010090142,Group Play,201042
6,Semih Erden,19,2,5,0,0,6,7,3,6,0,0,1,0,1,10,turkey,2010-09-01,puerto-rico,2010090142,Group Play,201042
7,Kerem Gonlum,19,2,4,0,2,5,7,1,3,3,1,0,1,2,9,turkey,2010-09-01,puerto-rico,2010090142,Group Play,201042
8,Ender Arslan,16,2,4,0,2,1,2,0,0,3,0,0,1,3,5,turkey,2010-09-01,puerto-rico,2010090142,Group Play,201042
9,Oguz Savas,7,1,3,1,1,0,0,1,1,0,0,0,1,1,3,turkey,2010-09-01,puerto-rico,2010090142,Group Play,201042
10,Cenk Akyol,6,1,1,1,1,0,0,0,1,0,0,0,1,1,3,turkey,2010-09-01,puerto-rico,2010090142,Group Play,201042
11,Totals,,26,63,11,31,16,28,10,33,19,4,2,7,15,79,turkey,2010-09-01,puerto-rico,2010090142,Group Play,201042
0,Angel Daniel Vassallo,31,7,15,5,11,0,0,0,5,3,1,1,2,3,19,puerto-rico,2010-09-01,turkey,2010090142,Group Play,201042
1,Peter John Ramos,30,6,10,0,0,3,4,2,12,1,0,0,1,2,15,puerto-rico,2010-09-01,turkey,2010090142,Group Play,201042
2,Carmelo Lee,25,4,8,3,6,0,0,0,2,0,1,2,0,1,11,puerto-rico,2010-09-01,turkey,2010090142,Group Play,201042
3,J.J. Barea,20,3,7,1,4,0,1,0,4,3,1,0,4,4,7,puerto-rico,2010-09-01,turkey,2010090142,Group Play,201042
4,Ricky Sanchez,13,2,4,2,3,0,0,0,0,2,0,0,1,1,6,puerto-rico,2010-09-01,turkey,2010090142,Group Play,201042
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,puerto-rico,2010-09-01,turkey,2010090142,Group Play,201042
6,Nathan Peavy,23,4,10,1,1,0,0,2,3,4,0,0,2,3,9,puerto-rico,2010-09-01,turkey,2010090142,Group Play,201042
7,Filiberto Rivera,20,0,4,0,4,2,2,0,3,8,0,0,0,0,2,puerto-rico,2010-09-01,turkey,2010090142,Group Play,201042
8,Renaldo Balkman,12,2,3,0,0,2,2,2,5,0,0,2,0,3,6,puerto-rico,2010-09-01,turkey,2010090142,Group Play,201042
9,Daniel Santiago,9,0,0,0,0,2,2,0,3,0,0,0,2,2,2,puerto-rico,2010-09-01,turkey,2010090142,Group Play,201042
10,Guillermo Diaz,9,0,1,0,0,0,0,0,1,0,0,0,0,2,0,puerto-rico,2010-09-01,turkey,2010090142,Group Play,201042
11,David Huertas,8,0,0,0,0,0,0,1,1,1,0,0,0,0,0,puerto-rico,2010-09-01,turkey,2010090142,Group Play,201042
12,Totals,,28,62,12,29,9,11,7,39,22,3,5,12,21,77,puerto-rico,2010-09-01,turkey,2010090142,Group Play,201042
