,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Joaquim Gomes,30,3,5,2,3,0,2,1,5,1,2,0,5,3,8,angola,2010-09-02,australia,2010090248,Group Play,201048,fiba-world-cup
1,Vladimir Jeronimo,24,3,9,1,1,2,3,0,4,1,0,0,2,3,9,angola,2010-09-02,australia,2010090248,Group Play,201048,fiba-world-cup
2,Carlos Morais,23,2,6,0,4,2,2,0,2,2,2,0,3,1,6,angola,2010-09-02,australia,2010090248,Group Play,201048,fiba-world-cup
3,Eduardo Mingas,18,1,3,0,2,0,0,0,5,0,0,0,4,3,2,angola,2010-09-02,australia,2010090248,Group Play,201048,fiba-world-cup
4,Miguel Lutonda,15,3,6,1,2,2,2,1,1,0,1,0,1,2,9,angola,2010-09-02,australia,2010090248,Group Play,201048,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,angola,2010-09-02,australia,2010090248,Group Play,201048,fiba-world-cup
6,Roberto Fortes,20,0,8,0,4,2,2,0,1,0,1,0,0,1,2,angola,2010-09-02,australia,2010090248,Group Play,201048,fiba-world-cup
7,Leonel Paulo,19,3,4,1,1,0,0,1,2,0,3,0,2,0,7,angola,2010-09-02,australia,2010090248,Group Play,201048,fiba-world-cup
8,Felizardo Ambrosio,14,2,4,0,2,1,3,0,1,0,0,1,0,5,5,angola,2010-09-02,australia,2010090248,Group Play,201048,fiba-world-cup
9,Domingos Bonifacio,14,0,1,0,0,0,0,0,0,3,1,0,1,1,0,angola,2010-09-02,australia,2010090248,Group Play,201048,fiba-world-cup
10,Carlos Almeida,13,0,3,0,3,0,0,1,2,0,0,0,0,1,0,angola,2010-09-02,australia,2010090248,Group Play,201048,fiba-world-cup
11,Divaldo Mbunga,10,2,2,0,0,3,4,3,3,1,0,0,1,2,7,angola,2010-09-02,australia,2010090248,Group Play,201048,fiba-world-cup
12,Totals,,19,51,5,22,12,18,7,26,8,10,1,19,22,55,angola,2010-09-02,australia,2010090248,Group Play,201048,fiba-world-cup
0,Matt Nielsen,25,3,8,0,3,3,4,1,7,6,1,1,0,1,9,australia,2010-09-02,angola,2010090248,Group Play,201048,fiba-world-cup
1,Joe Ingles,24,3,6,2,5,0,0,0,5,3,4,0,3,2,8,australia,2010-09-02,angola,2010090248,Group Play,201048,fiba-world-cup
2,Patty Mills,20,4,9,1,5,2,2,0,3,3,0,0,3,0,11,australia,2010-09-02,angola,2010090248,Group Play,201048,fiba-world-cup
3,Adam Gibson,19,2,5,2,5,0,0,1,1,2,1,0,0,0,6,australia,2010-09-02,angola,2010090248,Group Play,201048,fiba-world-cup
4,Aleks Maric,19,2,5,0,0,2,3,3,4,0,0,0,2,2,6,australia,2010-09-02,angola,2010090248,Group Play,201048,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,australia,2010-09-02,angola,2010090248,Group Play,201048,fiba-world-cup
6,Mark Worthington,23,2,7,0,4,4,4,0,4,0,1,0,3,3,8,australia,2010-09-02,angola,2010090248,Group Play,201048,fiba-world-cup
7,David Barlow,20,3,6,0,1,2,2,0,1,0,1,0,0,3,8,australia,2010-09-02,angola,2010090248,Group Play,201048,fiba-world-cup
8,Brad Newley,19,3,5,1,2,1,1,2,7,2,0,0,1,2,8,australia,2010-09-02,angola,2010090248,Group Play,201048,fiba-world-cup
9,Damian Martin,16,2,3,2,3,0,0,1,2,1,2,1,0,0,6,australia,2010-09-02,angola,2010090248,Group Play,201048,fiba-world-cup
10,Steven Markovic,10,0,3,0,0,2,2,1,1,0,0,0,4,3,2,australia,2010-09-02,angola,2010090248,Group Play,201048,fiba-world-cup
11,Aron Baynes,5,1,2,1,1,1,2,2,3,0,0,0,1,1,4,australia,2010-09-02,angola,2010090248,Group Play,201048,fiba-world-cup
12,Totals,,25,59,9,29,17,20,11,38,17,10,2,17,17,76,australia,2010-09-02,angola,2010090248,Group Play,201048,fiba-world-cup
