,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Nikos Zisis,31,5,7,0,0,1,3,0,0,2,1,0,1,1,11,greece,2010-09-02,russia,2010090257,Group Play,201057,fiba-world-cup
1,Vassilis Spanoulis,26,3,6,2,5,0,0,0,0,2,2,0,2,2,8,greece,2010-09-02,russia,2010090257,Group Play,201057,fiba-world-cup
2,Dimitris Diamantidis,26,3,6,2,5,0,0,0,1,0,0,1,2,4,8,greece,2010-09-02,russia,2010090257,Group Play,201057,fiba-world-cup
3,Kostas Tsartsaris,22,1,6,0,0,1,2,3,5,2,1,0,1,2,3,greece,2010-09-02,russia,2010090257,Group Play,201057,fiba-world-cup
4,Ioannis Bourousis,15,2,8,1,4,0,0,1,3,0,1,0,0,2,5,greece,2010-09-02,russia,2010090257,Group Play,201057,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,greece,2010-09-02,russia,2010090257,Group Play,201057,fiba-world-cup
6,Sofoklis Schortsanitis,22,6,13,0,0,4,7,5,9,0,1,0,3,1,16,greece,2010-09-02,russia,2010090257,Group Play,201057,fiba-world-cup
7,Giorgos Printezis,17,2,7,0,4,0,0,1,4,1,1,0,1,2,4,greece,2010-09-02,russia,2010090257,Group Play,201057,fiba-world-cup
8,Stratos Perperoglou,16,2,4,0,1,0,0,1,4,0,2,0,1,1,4,greece,2010-09-02,russia,2010090257,Group Play,201057,fiba-world-cup
9,Nick Calathes,14,1,4,0,1,1,2,0,3,2,1,1,2,2,3,greece,2010-09-02,russia,2010090257,Group Play,201057,fiba-world-cup
10,Kostas Kaimakoglou,11,2,4,1,2,2,2,2,3,0,0,0,0,0,7,greece,2010-09-02,russia,2010090257,Group Play,201057,fiba-world-cup
11,Totals,,27,65,6,22,9,16,13,32,9,10,2,13,17,69,greece,2010-09-02,russia,2010090257,Group Play,201057,fiba-world-cup
0,Andrey Vorontsevich,23,4,5,2,3,0,0,1,5,1,1,0,0,2,10,russia,2010-09-02,greece,2010090257,Group Play,201057,fiba-world-cup
1,Vitaly Fridzon,22,3,9,2,6,0,0,1,3,5,0,1,1,1,8,russia,2010-09-02,greece,2010090257,Group Play,201057,fiba-world-cup
2,Sergey Bykov,18,2,3,0,1,0,0,0,5,2,2,0,4,1,4,russia,2010-09-02,greece,2010090257,Group Play,201057,fiba-world-cup
3,Sasha Kaun,17,3,3,0,0,2,3,0,2,1,1,1,2,1,8,russia,2010-09-02,greece,2010090257,Group Play,201057,fiba-world-cup
4,Sergei Monia,17,1,3,0,2,4,4,0,2,1,1,2,0,0,6,russia,2010-09-02,greece,2010090257,Group Play,201057,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,russia,2010-09-02,greece,2010090257,Group Play,201057,fiba-world-cup
6,Evgeny Voronov,31,4,6,0,0,1,2,2,6,1,0,1,0,3,9,russia,2010-09-02,greece,2010090257,Group Play,201057,fiba-world-cup
7,Anton Ponkrashov,24,2,7,0,3,0,0,0,1,6,2,0,1,0,4,russia,2010-09-02,greece,2010090257,Group Play,201057,fiba-world-cup
8,Timofey Mozgov,19,8,12,0,1,2,2,1,4,0,1,1,0,2,18,russia,2010-09-02,greece,2010090257,Group Play,201057,fiba-world-cup
9,Alexey Zhukanenko,13,3,5,0,0,0,0,0,0,0,0,2,1,2,6,russia,2010-09-02,greece,2010090257,Group Play,201057,fiba-world-cup
10,Dimitriy Khvostov,10,0,0,0,0,0,0,0,0,2,1,0,2,3,0,russia,2010-09-02,greece,2010090257,Group Play,201057,fiba-world-cup
11,Evgeny Kolesnikov,6,0,4,0,3,0,0,0,1,1,0,0,2,2,0,russia,2010-09-02,greece,2010090257,Group Play,201057,fiba-world-cup
12,Totals,,30,57,4,19,9,11,5,29,20,9,8,13,17,73,russia,2010-09-02,greece,2010090257,Group Play,201057,fiba-world-cup
