,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,J.J. Barea,29,5,17,1,5,8,8,0,2,7,1,0,2,0,19,puerto rico,2010-09-02,ivory-coast,2010090255,Group Play,201055,fiba-world-cup
1,Angel Daniel Vassallo,26,3,11,1,7,4,5,2,8,0,0,0,1,2,11,puerto rico,2010-09-02,ivory-coast,2010090255,Group Play,201055,fiba-world-cup
2,Carmelo Lee,14,0,3,0,2,0,0,0,0,0,0,0,1,0,0,puerto rico,2010-09-02,ivory-coast,2010090255,Group Play,201055,fiba-world-cup
3,Peter John Ramos,12,0,0,0,0,0,0,0,1,0,0,0,1,2,0,puerto rico,2010-09-02,ivory-coast,2010090255,Group Play,201055,fiba-world-cup
4,Ricky Sanchez,8,0,3,0,3,2,2,0,1,0,0,0,1,1,2,puerto rico,2010-09-02,ivory-coast,2010090255,Group Play,201055,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,puerto rico,2010-09-02,ivory-coast,2010090255,Group Play,201055,fiba-world-cup
6,David Huertas,29,6,9,3,5,3,3,3,8,2,1,1,1,3,18,puerto rico,2010-09-02,ivory-coast,2010090255,Group Play,201055,fiba-world-cup
7,Nathan Peavy,26,6,10,1,2,1,2,0,3,2,1,0,2,2,14,puerto rico,2010-09-02,ivory-coast,2010090255,Group Play,201055,fiba-world-cup
8,Renaldo Balkman,19,3,5,0,0,1,2,2,10,1,1,0,1,1,7,puerto rico,2010-09-02,ivory-coast,2010090255,Group Play,201055,fiba-world-cup
9,Daniel Santiago,15,3,4,0,0,0,1,0,2,2,0,1,2,2,6,puerto rico,2010-09-02,ivory-coast,2010090255,Group Play,201055,fiba-world-cup
10,Filiberto Rivera,14,0,2,0,1,0,2,0,0,1,1,0,1,2,0,puerto rico,2010-09-02,ivory-coast,2010090255,Group Play,201055,fiba-world-cup
11,Guillermo Diaz,8,1,1,0,0,0,0,1,2,1,0,0,1,0,2,puerto rico,2010-09-02,ivory-coast,2010090255,Group Play,201055,fiba-world-cup
12,Totals,,27,65,6,25,19,25,8,37,16,5,2,14,15,79,puerto rico,2010-09-02,ivory-coast,2010090255,Group Play,201055,fiba-world-cup
0,Souleyman Diabate,38,3,9,1,5,1,2,1,6,8,0,0,4,1,8,ivory-coast,2010-09-02,puerto rico,2010090255,Group Play,201055,fiba-world-cup
1,Herve Lamizana,32,5,9,3,3,4,4,0,5,0,1,5,4,4,17,ivory-coast,2010-09-02,puerto rico,2010090255,Group Play,201055,fiba-world-cup
2,Kinidinnin Stephane Konate Sornan,29,4,8,2,3,1,1,0,0,1,1,0,0,5,11,ivory-coast,2010-09-02,puerto rico,2010090255,Group Play,201055,fiba-world-cup
3,Guy Edi,25,4,11,2,8,0,2,0,3,2,3,0,1,4,10,ivory-coast,2010-09-02,puerto rico,2010090255,Group Play,201055,fiba-world-cup
4,Mohamed Kone,23,7,10,1,2,2,2,3,10,1,2,0,1,3,17,ivory-coast,2010-09-02,puerto rico,2010090255,Group Play,201055,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ivory-coast,2010-09-02,puerto rico,2010090255,Group Play,201055,fiba-world-cup
6,Charles Abouo,27,5,11,2,6,7,9,1,3,0,2,0,0,2,19,ivory-coast,2010-09-02,puerto rico,2010090255,Group Play,201055,fiba-world-cup
7,Brice Kevin Assie,13,1,5,1,2,0,0,1,3,2,0,0,0,0,3,ivory-coast,2010-09-02,puerto rico,2010090255,Group Play,201055,fiba-world-cup
8,Jonathan Monyongo Kale,10,1,4,1,1,0,0,0,0,0,0,0,0,3,3,ivory-coast,2010-09-02,puerto rico,2010090255,Group Play,201055,fiba-world-cup
9,Eric Tape,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ivory-coast,2010-09-02,puerto rico,2010090255,Group Play,201055,fiba-world-cup
10,Totals,,30,67,13,30,15,20,6,30,14,9,5,10,22,88,ivory-coast,2010-09-02,puerto rico,2010090255,Group Play,201055,fiba-world-cup
