,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Miha Zupan,28,6,12,1,6,2,2,2,5,2,2,0,0,3,15,slovenia,2010-09-02,iran,2010090254,Group Play,201054
1,Bostjan Nachbar,28,4,9,1,2,1,4,0,5,0,1,2,0,1,10,slovenia,2010-09-02,iran,2010090254,Group Play,201054
2,Goran Dragic,26,7,10,2,4,2,2,3,6,2,1,0,2,0,18,slovenia,2010-09-02,iran,2010090254,Group Play,201054
3,Jaka Lakovic,21,2,7,0,4,0,0,0,1,2,3,0,2,1,4,slovenia,2010-09-02,iran,2010090254,Group Play,201054
4,Primoz Brezec,15,1,2,0,0,0,0,1,2,0,0,0,0,0,2,slovenia,2010-09-02,iran,2010090254,Group Play,201054
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,slovenia,2010-09-02,iran,2010090254,Group Play,201054
6,Sani Becirovic,24,4,8,1,3,1,1,0,2,3,1,0,4,2,10,slovenia,2010-09-02,iran,2010090254,Group Play,201054
7,Goran Jagodnik,17,0,5,0,2,0,0,3,4,0,1,0,1,4,0,slovenia,2010-09-02,iran,2010090254,Group Play,201054
8,Jaka Klobucar,16,1,2,0,1,0,0,0,0,0,2,0,2,1,2,slovenia,2010-09-02,iran,2010090254,Group Play,201054
9,Gasper Vidmar,14,1,3,0,0,2,4,1,2,2,1,0,0,2,4,slovenia,2010-09-02,iran,2010090254,Group Play,201054
10,Hasan Rizvic,11,0,2,0,0,0,0,0,2,0,1,1,1,1,0,slovenia,2010-09-02,iran,2010090254,Group Play,201054
11,Totals,,26,60,5,22,8,13,10,29,11,13,3,12,15,65,slovenia,2010-09-02,iran,2010090254,Group Play,201054
0,Javad Davari,38,3,7,1,3,0,0,0,2,4,1,0,4,4,7,iran,2010-09-02,slovenia,2010090254,Group Play,201054
1,Hamed Haddadi,34,7,18,1,4,0,0,3,7,2,1,2,3,3,15,iran,2010-09-02,slovenia,2010090254,Group Play,201054
2,Arsalan Kazemi,27,5,11,1,2,2,3,3,14,0,3,0,2,1,13,iran,2010-09-02,slovenia,2010090254,Group Play,201054
3,Mahdi Kamrany,26,2,6,1,4,0,0,0,1,2,2,0,4,2,5,iran,2010-09-02,slovenia,2010090254,Group Play,201054
4,Moosa Nabipoor,14,1,2,0,1,0,0,0,0,0,0,0,0,0,2,iran,2010-09-02,slovenia,2010090254,Group Play,201054
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,iran,2010-09-02,slovenia,2010090254,Group Play,201054
6,Aren Davoudichegani,25,0,2,0,1,0,0,0,0,1,1,0,0,4,0,iran,2010-09-02,slovenia,2010090254,Group Play,201054
7,Asghar Kardoust,18,3,5,0,0,3,4,3,7,1,0,0,1,2,9,iran,2010-09-02,slovenia,2010090254,Group Play,201054
8,Saeid Davarpanah,12,2,4,1,2,2,2,1,1,2,0,0,1,0,7,iran,2010-09-02,slovenia,2010090254,Group Play,201054
9,Mohammad Hassanzadeh,5,0,0,0,0,2,2,0,0,0,0,0,0,0,2,iran,2010-09-02,slovenia,2010090254,Group Play,201054
10,Iman Zandi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,iran,2010-09-02,slovenia,2010090254,Group Play,201054
11,Totals,,23,55,5,17,9,11,10,32,12,8,2,15,16,60,iran,2010-09-02,slovenia,2010090254,Group Play,201054
