,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Rudy Fernandez,29,4,7,2,3,4,5,0,2,0,1,0,1,3,14,spain,2010-09-04,greece,2010090461,Round of 16,201061,fiba-world-cup
1,Ricky Rubio,27,2,8,0,2,2,2,0,2,6,1,0,1,2,6,spain,2010-09-04,greece,2010090461,Round of 16,201061,fiba-world-cup
2,Juan Carlos Navarro,25,7,10,2,5,6,6,0,1,1,1,0,3,1,22,spain,2010-09-04,greece,2010090461,Round of 16,201061,fiba-world-cup
3,Marc Gasol,24,2,5,0,0,0,0,0,2,1,2,2,1,4,4,spain,2010-09-04,greece,2010090461,Round of 16,201061,fiba-world-cup
4,Jorge Garbajosa,21,2,2,1,1,0,2,0,1,0,0,0,1,1,5,spain,2010-09-04,greece,2010090461,Round of 16,201061,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,spain,2010-09-04,greece,2010090461,Round of 16,201061,fiba-world-cup
6,Felipe Reyes,19,3,6,0,1,0,2,4,10,1,0,0,1,3,6,spain,2010-09-04,greece,2010090461,Round of 16,201061,fiba-world-cup
7,Fran Vazquez,16,3,5,0,0,0,2,5,7,0,2,1,0,1,6,spain,2010-09-04,greece,2010090461,Round of 16,201061,fiba-world-cup
8,Sergio Llull,15,4,8,1,4,0,0,0,0,2,0,0,0,0,9,spain,2010-09-04,greece,2010090461,Round of 16,201061,fiba-world-cup
9,Raul Lopez,13,2,3,1,1,0,0,0,1,3,0,0,1,2,5,spain,2010-09-04,greece,2010090461,Round of 16,201061,fiba-world-cup
10,Alex Mumbru,11,1,1,1,1,0,0,0,2,0,0,0,1,3,3,spain,2010-09-04,greece,2010090461,Round of 16,201061,fiba-world-cup
11,Totals,,30,55,8,18,12,19,9,28,14,7,3,10,20,80,spain,2010-09-04,greece,2010090461,Round of 16,201061,fiba-world-cup
0,Dimitris Diamantidis,38,6,8,3,5,1,4,2,4,2,2,2,2,4,16,greece,2010-09-04,spain,2010090461,Round of 16,201061,fiba-world-cup
1,Vassilis Spanoulis,36,5,10,1,5,1,2,0,2,3,0,0,4,5,12,greece,2010-09-04,spain,2010090461,Round of 16,201061,fiba-world-cup
2,Nikos Zisis,35,8,15,0,3,0,0,1,4,1,0,0,2,5,16,greece,2010-09-04,spain,2010090461,Round of 16,201061,fiba-world-cup
3,Antonis Fotsis,32,4,9,3,6,1,2,3,7,0,2,0,0,2,12,greece,2010-09-04,spain,2010090461,Round of 16,201061,fiba-world-cup
4,Sofoklis Schortsanitis,26,5,8,0,0,3,6,1,4,1,1,1,4,2,13,greece,2010-09-04,spain,2010090461,Round of 16,201061,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,greece,2010-09-04,spain,2010090461,Round of 16,201061,fiba-world-cup
6,Ioannis Bourousis,18,1,3,0,1,0,0,2,4,0,0,0,1,2,2,greece,2010-09-04,spain,2010090461,Round of 16,201061,fiba-world-cup
7,Stratos Perperoglou,8,0,3,0,3,0,0,0,0,1,0,0,0,1,0,greece,2010-09-04,spain,2010090461,Round of 16,201061,fiba-world-cup
8,Kostas Tsartsaris,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,greece,2010-09-04,spain,2010090461,Round of 16,201061,fiba-world-cup
9,Nick Calathes,3,0,1,0,0,1,2,0,0,0,1,0,0,1,1,greece,2010-09-04,spain,2010090461,Round of 16,201061,fiba-world-cup
10,Giorgos Printezis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,greece,2010-09-04,spain,2010090461,Round of 16,201061,fiba-world-cup
11,Totals,,29,57,7,23,7,16,9,25,10,6,3,13,23,72,greece,2010-09-04,spain,2010090461,Round of 16,201061,fiba-world-cup
