,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Luis Scola,39,14,20,1,1,8,9,4,9,3,2,0,3,1,37,argentina,2010-09-07,brazil,2010090766,Round of 16,201066,fiba-world-cup
1,Carlos Delfino,39,6,12,4,7,4,4,0,3,2,0,0,2,2,20,argentina,2010-09-07,brazil,2010090766,Round of 16,201066,fiba-world-cup
2,Hernan Jasen,32,6,11,3,6,0,2,2,5,0,1,0,0,5,15,argentina,2010-09-07,brazil,2010090766,Round of 16,201066,fiba-world-cup
3,Pablo Prigioni,29,1,4,1,2,3,3,0,1,8,1,0,3,3,6,argentina,2010-09-07,brazil,2010090766,Round of 16,201066,fiba-world-cup
4,Fabricio Oberto,26,3,6,0,0,1,2,1,5,0,0,0,1,4,7,argentina,2010-09-07,brazil,2010090766,Round of 16,201066,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,argentina,2010-09-07,brazil,2010090766,Round of 16,201066,fiba-world-cup
6,Luis Eduardo Cequeira,11,1,1,0,0,0,0,0,0,3,0,0,1,4,2,argentina,2010-09-07,brazil,2010090766,Round of 16,201066,fiba-world-cup
7,Leo Gutierrez,8,2,2,2,2,0,0,0,1,1,0,0,1,3,6,argentina,2010-09-07,brazil,2010090766,Round of 16,201066,fiba-world-cup
8,Roman Gonzalez,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,argentina,2010-09-07,brazil,2010090766,Round of 16,201066,fiba-world-cup
9,Paulo Quinteros,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,argentina,2010-09-07,brazil,2010090766,Round of 16,201066,fiba-world-cup
10,Federico Kammerichs,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argentina,2010-09-07,brazil,2010090766,Round of 16,201066,fiba-world-cup
11,Totals,,33,57,11,18,16,20,7,24,17,4,0,11,24,93,argentina,2010-09-07,brazil,2010090766,Round of 16,201066,fiba-world-cup
0,Marcelo Huertas,39,10,16,4,8,8,8,1,1,2,1,0,0,3,32,brazil,2010-09-07,argentina,2010090766,Round of 16,201066,fiba-world-cup
1,Anderson Varejao,34,3,6,0,0,1,4,1,5,1,1,0,2,2,7,brazil,2010-09-07,argentina,2010090766,Round of 16,201066,fiba-world-cup
2,Alex Garcia,28,3,5,0,1,1,1,1,4,2,3,0,0,4,7,brazil,2010-09-07,argentina,2010090766,Round of 16,201066,fiba-world-cup
3,Leandro Barbosa,27,7,14,5,9,1,2,0,0,2,1,0,2,4,20,brazil,2010-09-07,argentina,2010090766,Round of 16,201066,fiba-world-cup
4,Guilherme Giovannoni,19,1,2,1,2,0,0,0,0,0,0,0,0,5,3,brazil,2010-09-07,argentina,2010090766,Round of 16,201066,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,brazil,2010-09-07,argentina,2010090766,Round of 16,201066,fiba-world-cup
6,Tiago Splitter,25,2,5,0,0,6,8,2,5,2,0,1,1,2,10,brazil,2010-09-07,argentina,2010090766,Round of 16,201066,fiba-world-cup
7,Marcelinho Machado,17,3,5,2,3,2,2,0,2,1,2,0,0,0,10,brazil,2010-09-07,argentina,2010090766,Round of 16,201066,fiba-world-cup
8,Marcus Vinicius,9,0,1,0,1,0,0,0,1,0,0,0,1,0,0,brazil,2010-09-07,argentina,2010090766,Round of 16,201066,fiba-world-cup
9,Nezinho Dos Santos,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,brazil,2010-09-07,argentina,2010090766,Round of 16,201066,fiba-world-cup
10,Murilo Becker,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,brazil,2010-09-07,argentina,2010090766,Round of 16,201066,fiba-world-cup
11,Totals,,29,54,12,24,19,25,5,19,10,8,1,6,21,89,brazil,2010-09-07,argentina,2010090766,Round of 16,201066,fiba-world-cup
