,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Linas Kleiza,36,14,22,0,2,2,3,0,9,2,0,0,1,1,30,lithuania,2010-09-07,china,2010090767,Round of 16,201067
1,Mantas Kalnietis,33,3,8,2,5,3,4,1,1,5,2,0,1,3,11,lithuania,2010-09-07,china,2010090767,Round of 16,201067
2,Jonas Maciulis,23,0,4,0,2,0,0,2,4,2,1,0,2,4,0,lithuania,2010-09-07,china,2010090767,Round of 16,201067
3,Robertas Javtokas,22,2,5,0,0,0,0,3,7,0,0,1,2,3,4,lithuania,2010-09-07,china,2010090767,Round of 16,201067
4,Martynas Pocius,17,3,7,1,4,0,0,1,2,1,0,0,2,2,7,lithuania,2010-09-07,china,2010090767,Round of 16,201067
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,lithuania,2010-09-07,china,2010090767,Round of 16,201067
6,Paulius Jankunas,20,2,8,0,2,1,1,3,7,0,0,1,1,2,5,lithuania,2010-09-07,china,2010090767,Round of 16,201067
7,Martynas Gecevicius,18,4,8,3,3,3,4,0,3,0,0,0,0,1,14,lithuania,2010-09-07,china,2010090767,Round of 16,201067
8,Simas Jasaitis,17,2,7,0,0,0,0,4,8,1,0,0,0,0,4,lithuania,2010-09-07,china,2010090767,Round of 16,201067
9,Tomas Delininkaitis,12,1,3,1,3,0,0,0,3,0,0,0,1,3,3,lithuania,2010-09-07,china,2010090767,Round of 16,201067
10,Tadas Klimavicius,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,lithuania,2010-09-07,china,2010090767,Round of 16,201067
11,Totals,,31,73,7,21,9,12,14,45,11,3,2,10,20,78,lithuania,2010-09-07,china,2010090767,Round of 16,201067
0,Wei Liu,37,7,15,3,5,4,4,0,1,3,2,0,1,1,21,china,2010-09-07,lithuania,2010090767,Round of 16,201067
1,Yi Jianlian,35,4,9,0,1,3,4,2,12,1,2,2,2,4,11,china,2010-09-07,lithuania,2010090767,Round of 16,201067
2,Sun Yue,34,3,10,2,5,1,1,0,2,2,0,0,2,1,9,china,2010-09-07,lithuania,2010090767,Round of 16,201067
3,Wang Zhizhi,33,5,14,0,1,1,2,2,7,3,0,1,2,2,11,china,2010-09-07,lithuania,2010090767,Round of 16,201067
4,Wang Shipeng,33,2,9,1,5,5,6,0,3,3,0,0,1,3,10,china,2010-09-07,lithuania,2010090767,Round of 16,201067
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,china,2010-09-07,lithuania,2010090767,Round of 16,201067
6,Zhou Peng,13,2,4,1,2,0,0,0,0,0,0,0,0,1,5,china,2010-09-07,lithuania,2010090767,Round of 16,201067
7,Ding Jinhui,10,0,1,0,1,0,0,0,1,0,0,0,0,4,0,china,2010-09-07,lithuania,2010090767,Round of 16,201067
8,Yu Shulong,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,china,2010-09-07,lithuania,2010090767,Round of 16,201067
9,Wei Su,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,china,2010-09-07,lithuania,2010090767,Round of 16,201067
10,Totals,,23,62,7,20,14,17,4,26,12,4,3,8,16,67,china,2010-09-07,lithuania,2010090767,Round of 16,201067
