,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Ersan Ilyasova,27,7,9,3,4,2,2,0,5,1,2,0,0,2,19,turkey,2010-09-08,slovenia,2010090868,Quarterfinals,201068
1,Hidayet Turkoglu,23,2,5,0,2,6,8,0,4,7,1,0,3,1,10,turkey,2010-09-08,slovenia,2010090868,Quarterfinals,201068
2,Kerem Tunceri,20,3,4,2,3,2,2,0,1,4,0,0,1,1,10,turkey,2010-09-08,slovenia,2010090868,Quarterfinals,201068
3,Omer Onan,19,4,6,2,4,0,0,0,0,2,0,0,0,2,10,turkey,2010-09-08,slovenia,2010090868,Quarterfinals,201068
4,Omer Asik,19,2,4,0,0,5,8,0,5,0,1,1,0,4,9,turkey,2010-09-08,slovenia,2010090868,Quarterfinals,201068
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,turkey,2010-09-08,slovenia,2010090868,Quarterfinals,201068
6,Semih Erden,21,2,5,0,0,2,5,0,5,3,0,0,3,2,6,turkey,2010-09-08,slovenia,2010090868,Quarterfinals,201068
7,Ender Arslan,18,2,3,1,1,0,2,0,0,5,1,0,0,0,5,turkey,2010-09-08,slovenia,2010090868,Quarterfinals,201068
8,Sinan Guler,17,5,7,2,3,0,0,0,2,0,3,0,1,3,12,turkey,2010-09-08,slovenia,2010090868,Quarterfinals,201068
9,Kerem Gonlum,16,1,1,0,0,2,2,2,2,0,0,1,0,4,4,turkey,2010-09-08,slovenia,2010090868,Quarterfinals,201068
10,Oguz Savas,14,3,3,0,0,2,3,2,3,1,0,0,0,2,8,turkey,2010-09-08,slovenia,2010090868,Quarterfinals,201068
11,Cenk Akyol,4,1,1,0,0,0,0,0,0,0,0,0,0,1,2,turkey,2010-09-08,slovenia,2010090868,Quarterfinals,201068
12,Baris Ermis,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,turkey,2010-09-08,slovenia,2010090868,Quarterfinals,201068
13,Totals,,32,48,10,17,21,32,4,28,24,8,2,8,22,95,turkey,2010-09-08,slovenia,2010090868,Quarterfinals,201068
0,Bostjan Nachbar,34,5,13,2,5,4,4,0,3,0,0,0,2,2,16,slovenia,2010-09-08,turkey,2010090868,Quarterfinals,201068
1,Jaka Lakovic,30,2,4,2,4,2,2,0,1,2,0,0,3,3,8,slovenia,2010-09-08,turkey,2010090868,Quarterfinals,201068
2,Goran Dragic,21,1,7,1,4,2,4,1,2,2,1,0,1,2,5,slovenia,2010-09-08,turkey,2010090868,Quarterfinals,201068
3,Primoz Brezec,20,4,4,0,0,2,3,1,5,0,1,0,1,3,10,slovenia,2010-09-08,turkey,2010090868,Quarterfinals,201068
4,Miha Zupan,15,1,3,1,2,0,0,1,1,0,0,0,1,1,3,slovenia,2010-09-08,turkey,2010090868,Quarterfinals,201068
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,slovenia,2010-09-08,turkey,2010090868,Quarterfinals,201068
6,Sani Becirovic,30,3,7,2,3,8,8,2,4,6,3,0,1,4,16,slovenia,2010-09-08,turkey,2010090868,Quarterfinals,201068
7,Uros Slokar,25,4,10,0,2,2,2,2,4,1,1,1,0,2,10,slovenia,2010-09-08,turkey,2010090868,Quarterfinals,201068
8,Gasper Vidmar,15,0,3,0,1,0,2,1,4,0,0,0,1,5,0,slovenia,2010-09-08,turkey,2010090868,Quarterfinals,201068
9,Hasan Rizvic,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,slovenia,2010-09-08,turkey,2010090868,Quarterfinals,201068
10,Samo Udrih,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,slovenia,2010-09-08,turkey,2010090868,Quarterfinals,201068
11,Goran Jagodnik,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,slovenia,2010-09-08,turkey,2010090868,Quarterfinals,201068
12,Totals,,20,56,8,23,20,25,9,25,11,6,1,10,23,68,slovenia,2010-09-08,turkey,2010090868,Quarterfinals,201068
