,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Linas Kleiza,35,7,14,1,3,2,2,2,9,1,1,1,4,3,17,lithuania,2010-09-09,argentina,2010090970,Quarterfinals,201070
1,Simas Jasaitis,30,6,10,4,7,3,4,0,2,0,0,0,2,2,19,lithuania,2010-09-09,argentina,2010090970,Quarterfinals,201070
2,Mantas Kalnietis,28,4,8,2,3,2,2,1,5,5,1,0,1,4,12,lithuania,2010-09-09,argentina,2010090970,Quarterfinals,201070
3,Martynas Pocius,26,6,11,2,5,2,2,0,4,1,0,0,1,3,16,lithuania,2010-09-09,argentina,2010090970,Quarterfinals,201070
4,Robertas Javtokas,18,0,2,0,0,0,0,0,1,0,1,1,0,3,0,lithuania,2010-09-09,argentina,2010090970,Quarterfinals,201070
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,lithuania,2010-09-09,argentina,2010090970,Quarterfinals,201070
6,Paulius Jankunas,26,6,11,0,1,0,0,3,7,5,0,0,1,2,12,lithuania,2010-09-09,argentina,2010090970,Quarterfinals,201070
7,Renaldas Seibutis,14,0,0,0,0,0,0,0,2,2,0,1,0,0,0,lithuania,2010-09-09,argentina,2010090970,Quarterfinals,201070
8,Tomas Delininkaitis,12,4,5,2,2,6,8,0,1,0,0,1,0,2,16,lithuania,2010-09-09,argentina,2010090970,Quarterfinals,201070
9,Jonas Maciulis,11,4,8,1,3,3,5,1,2,0,1,0,1,5,12,lithuania,2010-09-09,argentina,2010090970,Quarterfinals,201070
10,Totals,,37,69,12,24,18,23,7,33,14,4,4,10,24,104,lithuania,2010-09-09,argentina,2010090970,Quarterfinals,201070
0,Carlos Delfino,37,9,18,1,6,6,6,0,4,1,2,0,2,3,25,argentina,2010-09-09,lithuania,2010090970,Quarterfinals,201070
1,Luis Scola,33,5,16,0,0,3,4,2,4,1,0,0,4,2,13,argentina,2010-09-09,lithuania,2010090970,Quarterfinals,201070
2,Pablo Prigioni,28,2,5,1,4,2,2,0,1,6,2,0,1,2,7,argentina,2010-09-09,lithuania,2010090970,Quarterfinals,201070
3,Hernan Jasen,24,3,7,1,4,4,7,1,5,1,3,0,1,4,11,argentina,2010-09-09,lithuania,2010090970,Quarterfinals,201070
4,Fabricio Oberto,23,2,3,0,0,0,0,2,5,0,0,0,1,4,4,argentina,2010-09-09,lithuania,2010090970,Quarterfinals,201070
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,argentina,2010-09-09,lithuania,2010090970,Quarterfinals,201070
6,Leo Gutierrez,17,3,7,1,5,0,0,0,3,0,0,2,0,4,7,argentina,2010-09-09,lithuania,2010090970,Quarterfinals,201070
7,Paulo Quinteros,15,2,5,0,2,2,2,1,3,0,0,0,1,1,6,argentina,2010-09-09,lithuania,2010090970,Quarterfinals,201070
8,Luis Eduardo Cequeira,12,2,3,0,0,2,2,0,1,1,0,0,1,2,6,argentina,2010-09-09,lithuania,2010090970,Quarterfinals,201070
9,Juan Gutierrez,7,1,2,0,0,2,2,1,2,0,0,0,0,1,4,argentina,2010-09-09,lithuania,2010090970,Quarterfinals,201070
10,Marcos Mata,4,0,0,0,0,2,2,0,1,0,0,0,0,0,2,argentina,2010-09-09,lithuania,2010090970,Quarterfinals,201070
11,Totals,,29,66,4,21,23,27,7,29,10,7,2,11,23,85,argentina,2010-09-09,lithuania,2010090970,Quarterfinals,201070
