,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Juan Carlos Navarro,29,7,18,4,7,8,8,1,3,7,0,0,3,2,26,spain,2010-09-10,slovenia,2010091073,Consolation,201073
1,Rudy Fernandez,22,7,7,1,1,1,1,0,2,1,1,1,1,4,16,spain,2010-09-10,slovenia,2010091073,Consolation,201073
2,Ricky Rubio,21,1,5,0,2,1,2,0,2,5,2,0,2,3,3,spain,2010-09-10,slovenia,2010091073,Consolation,201073
3,Jorge Garbajosa,18,2,6,1,3,0,0,1,3,2,0,1,0,1,5,spain,2010-09-10,slovenia,2010091073,Consolation,201073
4,Marc Gasol,16,2,9,0,0,1,4,3,5,1,0,2,1,2,5,spain,2010-09-10,slovenia,2010091073,Consolation,201073
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,spain,2010-09-10,slovenia,2010091073,Consolation,201073
6,Fran Vazquez,24,6,6,0,0,4,4,2,3,1,0,3,1,1,16,spain,2010-09-10,slovenia,2010091073,Consolation,201073
7,Felipe Reyes,21,3,5,1,1,2,2,1,10,0,0,0,2,2,9,spain,2010-09-10,slovenia,2010091073,Consolation,201073
8,Alex Mumbru,15,2,3,1,1,2,2,0,2,0,0,0,0,3,7,spain,2010-09-10,slovenia,2010091073,Consolation,201073
9,Sergio Llull,13,2,5,2,3,0,0,0,1,0,1,1,1,3,6,spain,2010-09-10,slovenia,2010091073,Consolation,201073
10,Fernando San Emeterio,10,1,2,0,0,2,2,2,3,1,0,0,0,3,4,spain,2010-09-10,slovenia,2010091073,Consolation,201073
11,Raul Lopez,10,0,1,0,1,0,0,1,2,1,0,0,0,3,0,spain,2010-09-10,slovenia,2010091073,Consolation,201073
12,Victor Claver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spain,2010-09-10,slovenia,2010091073,Consolation,201073
13,Totals,,33,67,10,19,21,25,11,36,19,4,8,11,27,97,spain,2010-09-10,slovenia,2010091073,Consolation,201073
0,Jaka Lakovic,33,6,13,5,9,2,2,1,2,4,2,0,3,1,19,slovenia,2010-09-10,spain,2010091073,Consolation,201073
1,Goran Dragic,29,5,15,0,5,9,12,1,2,2,3,0,3,4,19,slovenia,2010-09-10,spain,2010091073,Consolation,201073
2,Bostjan Nachbar,27,0,5,0,2,2,2,0,5,0,0,0,1,3,2,slovenia,2010-09-10,spain,2010091073,Consolation,201073
3,Primoz Brezec,24,3,6,0,0,0,0,3,9,0,0,0,0,4,6,slovenia,2010-09-10,spain,2010091073,Consolation,201073
4,Uros Slokar,16,0,4,0,0,1,2,1,5,0,0,0,0,4,1,slovenia,2010-09-10,spain,2010091073,Consolation,201073
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,slovenia,2010-09-10,spain,2010091073,Consolation,201073
6,Sani Becirovic,24,3,6,0,1,7,8,0,2,3,2,0,2,3,13,slovenia,2010-09-10,spain,2010091073,Consolation,201073
7,Miha Zupan,22,5,9,1,2,0,0,3,4,2,1,0,0,4,11,slovenia,2010-09-10,spain,2010091073,Consolation,201073
8,Samo Udrih,13,3,4,1,2,0,0,0,0,1,0,0,1,3,7,slovenia,2010-09-10,spain,2010091073,Consolation,201073
9,Gasper Vidmar,12,0,1,0,0,2,2,0,1,0,1,0,1,2,2,slovenia,2010-09-10,spain,2010091073,Consolation,201073
10,Totals,,25,63,7,21,23,28,9,30,12,9,0,11,28,80,slovenia,2010-09-10,spain,2010091073,Consolation,201073
