,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Milos Teodosic,36,4,10,3,7,2,2,0,6,11,0,0,1,4,13,serbia,2010-09-11,turkey,2010091176,Semifinals,201076
1,Nenad Krstic,26,4,6,0,0,7,10,3,7,1,0,0,2,5,15,serbia,2010-09-11,turkey,2010091176,Semifinals,201076
2,Novica Velickovic,20,3,9,2,5,0,0,0,2,0,1,0,2,4,8,serbia,2010-09-11,turkey,2010091176,Semifinals,201076
3,Milenko Tepic,13,1,3,1,2,2,2,1,3,0,0,0,2,1,5,serbia,2010-09-11,turkey,2010091176,Semifinals,201076
4,Nemanja Bjelica,9,1,2,0,0,0,1,0,1,0,1,0,1,1,2,serbia,2010-09-11,turkey,2010091176,Semifinals,201076
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,serbia,2010-09-11,turkey,2010091176,Semifinals,201076
6,Marko Keselj,31,5,9,4,7,4,5,2,7,0,1,0,1,1,18,serbia,2010-09-11,turkey,2010091176,Semifinals,201076
7,Dusko Savanovic,21,5,10,2,5,3,4,0,0,1,1,0,3,1,15,serbia,2010-09-11,turkey,2010091176,Semifinals,201076
8,Stefan Markovic,18,1,2,0,1,0,0,0,2,2,0,0,1,4,2,serbia,2010-09-11,turkey,2010091176,Semifinals,201076
9,Aleksandar Rasic,13,1,2,0,1,0,0,0,0,2,0,0,1,2,2,serbia,2010-09-11,turkey,2010091176,Semifinals,201076
10,Kosta Perovic,9,1,3,0,0,0,0,2,5,0,1,0,0,4,2,serbia,2010-09-11,turkey,2010091176,Semifinals,201076
11,Milan Macvan,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,serbia,2010-09-11,turkey,2010091176,Semifinals,201076
12,Totals,,26,57,12,29,18,24,8,33,17,5,0,14,28,82,serbia,2010-09-11,turkey,2010091176,Semifinals,201076
0,Hidayet Turkoglu,32,6,14,3,7,1,4,0,2,0,0,0,2,3,16,turkey,2010-09-11,serbia,2010091176,Semifinals,201076
1,Omer Onan,31,3,8,1,4,7,8,0,4,0,1,0,0,3,14,turkey,2010-09-11,serbia,2010091176,Semifinals,201076
2,Ersan Ilyasova,30,2,5,0,3,2,4,1,4,0,1,0,1,5,6,turkey,2010-09-11,serbia,2010091176,Semifinals,201076
3,Kerem Tunceri,25,5,7,2,4,0,0,0,3,5,4,0,2,0,12,turkey,2010-09-11,serbia,2010091176,Semifinals,201076
4,Omer Asik,18,2,7,0,0,1,3,4,7,1,1,2,1,3,5,turkey,2010-09-11,serbia,2010091176,Semifinals,201076
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,turkey,2010-09-11,serbia,2010091176,Semifinals,201076
6,Semih Erden,21,3,4,0,0,3,6,1,3,2,1,1,0,3,9,turkey,2010-09-11,serbia,2010091176,Semifinals,201076
7,Ender Arslan,20,3,6,3,5,3,4,0,0,1,1,0,1,0,12,turkey,2010-09-11,serbia,2010091176,Semifinals,201076
8,Kerem Gonlum,14,2,5,0,0,2,3,1,4,0,1,0,2,3,6,turkey,2010-09-11,serbia,2010091176,Semifinals,201076
9,Sinan Guler,9,1,1,0,0,1,1,0,2,1,0,1,0,4,3,turkey,2010-09-11,serbia,2010091176,Semifinals,201076
10,Totals,,27,57,9,23,20,33,7,29,10,10,4,9,24,83,turkey,2010-09-11,serbia,2010091176,Semifinals,201076
