,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Rudy Fernandez,32,11,13,5,7,4,4,2,8,3,4,0,1,2,31,spain,2010-09-12,argentina,2010091277,Consolation,201077,fiba-world-cup
1,Marc Gasol,27,5,7,0,0,6,10,2,10,2,0,3,1,2,16,spain,2010-09-12,argentina,2010091277,Consolation,201077,fiba-world-cup
2,Jorge Garbajosa,24,1,10,1,7,0,0,0,1,1,0,1,2,2,3,spain,2010-09-12,argentina,2010091277,Consolation,201077,fiba-world-cup
3,Ricky Rubio,18,1,2,0,0,1,2,0,3,1,0,0,4,3,3,spain,2010-09-12,argentina,2010091277,Consolation,201077,fiba-world-cup
4,Juan Carlos Navarro,13,0,3,0,2,2,2,0,0,3,0,0,0,0,2,spain,2010-09-12,argentina,2010091277,Consolation,201077,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,spain,2010-09-12,argentina,2010091277,Consolation,201077,fiba-world-cup
6,Sergio Llull,24,3,9,1,4,0,0,0,1,3,1,1,2,1,7,spain,2010-09-12,argentina,2010091277,Consolation,201077,fiba-world-cup
7,Fernando San Emeterio,20,4,7,0,2,0,1,3,4,3,1,0,1,1,8,spain,2010-09-12,argentina,2010091277,Consolation,201077,fiba-world-cup
8,Felipe Reyes,17,2,7,0,1,2,2,1,4,0,1,0,0,4,6,spain,2010-09-12,argentina,2010091277,Consolation,201077,fiba-world-cup
9,Fran Vazquez,12,2,5,0,0,1,3,4,8,0,0,1,0,5,5,spain,2010-09-12,argentina,2010091277,Consolation,201077,fiba-world-cup
10,Alex Mumbru,8,0,4,0,3,0,0,0,0,1,0,0,2,2,0,spain,2010-09-12,argentina,2010091277,Consolation,201077,fiba-world-cup
11,Raul Lopez,5,0,2,0,2,0,0,1,1,0,0,0,0,1,0,spain,2010-09-12,argentina,2010091277,Consolation,201077,fiba-world-cup
12,Totals,,29,69,7,28,16,24,13,40,17,7,6,13,23,81,spain,2010-09-12,argentina,2010091277,Consolation,201077,fiba-world-cup
0,Luis Scola,40,7,15,0,0,8,12,4,11,2,0,0,1,3,22,argentina,2010-09-12,spain,2010091277,Consolation,201077,fiba-world-cup
1,Pablo Prigioni,39,5,10,3,7,4,6,0,5,7,3,0,4,2,17,argentina,2010-09-12,spain,2010091277,Consolation,201077,fiba-world-cup
2,Carlos Delfino,33,8,16,6,11,5,6,0,1,3,2,0,4,2,27,argentina,2010-09-12,spain,2010091277,Consolation,201077,fiba-world-cup
3,Fabricio Oberto,31,3,11,0,0,4,4,4,8,3,2,0,1,4,10,argentina,2010-09-12,spain,2010091277,Consolation,201077,fiba-world-cup
4,Hernan Jasen,21,1,3,1,1,0,0,0,1,0,0,0,1,5,3,argentina,2010-09-12,spain,2010091277,Consolation,201077,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,argentina,2010-09-12,spain,2010091277,Consolation,201077,fiba-world-cup
6,Paulo Quinteros,17,0,5,0,1,0,0,0,2,1,1,0,1,1,0,argentina,2010-09-12,spain,2010091277,Consolation,201077,fiba-world-cup
7,Leo Gutierrez,9,2,2,2,2,0,0,0,1,1,0,0,0,1,6,argentina,2010-09-12,spain,2010091277,Consolation,201077,fiba-world-cup
8,Marcos Mata,9,0,0,0,0,1,2,1,4,1,0,0,0,2,1,argentina,2010-09-12,spain,2010091277,Consolation,201077,fiba-world-cup
9,Luis Eduardo Cequeira,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argentina,2010-09-12,spain,2010091277,Consolation,201077,fiba-world-cup
10,Totals,,26,62,12,22,22,30,9,33,18,8,0,12,20,86,argentina,2010-09-12,spain,2010091277,Consolation,201077,fiba-world-cup
