,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Joe Ingles,35,5,8,0,1,2,5,0,1,3,1,0,4,2,12,australia,2014-08-30,slovenia,201408309,Group Play,20149,fiba-world-cup
1,Aron Baynes,29,8,13,0,0,5,5,3,7,1,0,0,3,2,21,australia,2014-08-30,slovenia,201408309,Group Play,20149,fiba-world-cup
2,Matthew Dellavedova,29,1,7,1,3,0,0,1,3,5,2,0,5,2,3,australia,2014-08-30,slovenia,201408309,Group Play,20149,fiba-world-cup
3,David Andersen,27,4,11,1,1,5,5,1,4,1,0,0,0,2,14,australia,2014-08-30,slovenia,201408309,Group Play,20149,fiba-world-cup
4,Ryan Broekhoff,17,3,4,3,4,0,0,0,0,0,1,1,0,2,9,australia,2014-08-30,slovenia,201408309,Group Play,20149,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,australia,2014-08-30,slovenia,201408309,Group Play,20149,fiba-world-cup
6,Brad Newley,25,5,7,1,3,2,3,0,2,0,1,0,2,3,13,australia,2014-08-30,slovenia,201408309,Group Play,20149,fiba-world-cup
7,Brock Motum,18,3,5,0,0,2,3,1,3,0,1,0,1,4,8,australia,2014-08-30,slovenia,201408309,Group Play,20149,fiba-world-cup
8,Dante Exum,11,0,2,0,1,0,0,1,2,1,0,0,1,0,0,australia,2014-08-30,slovenia,201408309,Group Play,20149,fiba-world-cup
9,Adam Gibson,6,0,0,0,0,0,0,1,1,1,0,0,1,0,0,australia,2014-08-30,slovenia,201408309,Group Play,20149,fiba-world-cup
10,Cameron Bairstow,4,0,0,0,0,0,0,1,1,0,0,1,2,1,0,australia,2014-08-30,slovenia,201408309,Group Play,20149,fiba-world-cup
11,Totals,,29,57,6,13,16,21,9,24,12,6,2,19,18,80,australia,2014-08-30,slovenia,201408309,Group Play,20149,fiba-world-cup
0,Domen Lorbek,32,5,9,1,4,2,2,0,0,3,1,1,2,1,13,slovenia,2014-08-30,australia,201408309,Group Play,20149,fiba-world-cup
1,Goran Dragic,26,8,12,3,5,2,2,3,7,4,2,0,5,4,21,slovenia,2014-08-30,australia,201408309,Group Play,20149,fiba-world-cup
2,Alen Omic,24,4,7,0,0,0,0,3,7,1,1,0,1,4,8,slovenia,2014-08-30,australia,201408309,Group Play,20149,fiba-world-cup
3,Zoran Dragic,20,4,7,2,3,0,0,0,1,0,1,0,1,4,10,slovenia,2014-08-30,australia,201408309,Group Play,20149,fiba-world-cup
4,Miha Zupan,14,1,3,1,2,0,0,0,1,0,0,0,2,3,3,slovenia,2014-08-30,australia,201408309,Group Play,20149,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,slovenia,2014-08-30,australia,201408309,Group Play,20149,fiba-world-cup
6,Edo Muric,20,2,6,0,1,1,2,0,1,0,3,1,3,3,5,slovenia,2014-08-30,australia,201408309,Group Play,20149,fiba-world-cup
7,Jaka Klobucar,17,3,6,1,3,0,0,1,3,1,1,0,4,0,7,slovenia,2014-08-30,australia,201408309,Group Play,20149,fiba-world-cup
8,Jure Balazic,15,2,3,1,2,5,6,0,1,0,0,0,0,3,10,slovenia,2014-08-30,australia,201408309,Group Play,20149,fiba-world-cup
9,Jaka Blazic,15,3,5,1,1,2,2,3,4,0,1,0,1,2,9,slovenia,2014-08-30,australia,201408309,Group Play,20149,fiba-world-cup
10,Uros Slokar,15,2,2,0,0,0,0,1,3,1,0,1,0,3,4,slovenia,2014-08-30,australia,201408309,Group Play,20149,fiba-world-cup
11,Klemen Prepelic,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,slovenia,2014-08-30,australia,201408309,Group Play,20149,fiba-world-cup
12,Totals,,34,60,10,21,12,14,11,28,10,10,3,19,27,90,slovenia,2014-08-30,australia,201408309,Group Play,20149,fiba-world-cup
