,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Ibrahim Elgammal,30,5,14,2,7,0,0,2,3,3,2,0,3,2,12,egypt,2014-08-30,serbia,201408308,Group Play,20148,fiba-world-cup
1,Haytham Kamal,30,3,7,0,1,2,2,2,4,2,1,2,0,1,8,egypt,2014-08-30,serbia,201408308,Group Play,20148,fiba-world-cup
2,Youssef Shousha,20,1,4,1,1,3,4,0,2,1,2,0,0,3,6,egypt,2014-08-30,serbia,201408308,Group Play,20148,fiba-world-cup
3,Ramy Ibrahim,20,3,7,0,2,0,1,0,2,2,0,0,4,5,6,egypt,2014-08-30,serbia,201408308,Group Play,20148,fiba-world-cup
4,Wael Badr,14,0,1,0,0,0,0,0,1,1,1,0,0,0,0,egypt,2014-08-30,serbia,201408308,Group Play,20148,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,egypt,2014-08-30,serbia,201408308,Group Play,20148,fiba-world-cup
6,Moustafa Elmekawi,19,3,6,0,1,1,3,2,5,0,1,0,0,4,7,egypt,2014-08-30,serbia,201408308,Group Play,20148,fiba-world-cup
7,Amr Gendy,18,3,10,1,4,4,7,1,4,0,0,0,0,1,11,egypt,2014-08-30,serbia,201408308,Group Play,20148,fiba-world-cup
8,Sherif Genedy,15,4,7,1,3,0,0,0,1,0,0,0,0,0,9,egypt,2014-08-30,serbia,201408308,Group Play,20148,fiba-world-cup
9,Mouhanad Elsabagh,14,1,4,1,3,0,0,0,1,5,0,0,2,1,3,egypt,2014-08-30,serbia,201408308,Group Play,20148,fiba-world-cup
10,Moamen Abouelanin,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,egypt,2014-08-30,serbia,201408308,Group Play,20148,fiba-world-cup
11,Ashraf Rabie,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,egypt,2014-08-30,serbia,201408308,Group Play,20148,fiba-world-cup
12,Seif Samir,4,1,2,0,0,0,0,1,1,0,0,0,1,0,2,egypt,2014-08-30,serbia,201408308,Group Play,20148,fiba-world-cup
13,Totals,,24,63,6,23,10,17,8,25,14,7,2,10,18,64,egypt,2014-08-30,serbia,201408308,Group Play,20148,fiba-world-cup
0,Nikola Kalinic,26,4,7,1,2,2,2,1,2,2,0,0,1,1,11,serbia,2014-08-30,egypt,201408308,Group Play,20148,fiba-world-cup
1,Bogdan Bogdanovic,22,1,3,1,3,0,0,1,3,4,1,1,0,1,3,serbia,2014-08-30,egypt,201408308,Group Play,20148,fiba-world-cup
2,Stefan Bircevic,19,5,10,1,2,0,0,2,9,1,1,1,1,1,11,serbia,2014-08-30,egypt,201408308,Group Play,20148,fiba-world-cup
3,Stefan Markovic,19,0,3,0,2,2,2,0,3,4,1,0,1,2,2,serbia,2014-08-30,egypt,201408308,Group Play,20148,fiba-world-cup
4,Miroslav Raduljica,14,6,10,0,0,1,2,3,6,0,0,0,0,1,13,serbia,2014-08-30,egypt,201408308,Group Play,20148,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,serbia,2014-08-30,egypt,201408308,Group Play,20148,fiba-world-cup
6,Nemanja Bjelica,22,3,7,0,3,1,2,1,6,2,1,1,2,3,7,serbia,2014-08-30,egypt,201408308,Group Play,20148,fiba-world-cup
7,Milos Teodosic,18,5,7,4,6,1,2,0,4,0,0,0,3,2,15,serbia,2014-08-30,egypt,201408308,Group Play,20148,fiba-world-cup
8,Stefan Jovic,18,2,3,1,1,1,2,0,1,4,1,0,3,2,6,serbia,2014-08-30,egypt,201408308,Group Play,20148,fiba-world-cup
9,Marko Simonovic,15,2,5,0,2,0,2,0,1,1,0,0,0,1,4,serbia,2014-08-30,egypt,201408308,Group Play,20148,fiba-world-cup
10,Vladimir Stimac,13,2,2,0,0,0,0,1,2,0,1,0,1,1,4,serbia,2014-08-30,egypt,201408308,Group Play,20148,fiba-world-cup
11,Nenad Krstic,7,1,4,0,0,3,4,0,0,0,0,0,1,2,5,serbia,2014-08-30,egypt,201408308,Group Play,20148,fiba-world-cup
12,Rasko Katic,7,2,2,0,0,0,1,0,1,0,0,0,0,1,4,serbia,2014-08-30,egypt,201408308,Group Play,20148,fiba-world-cup
13,Totals,,33,63,8,21,11,19,9,38,18,6,3,13,18,85,serbia,2014-08-30,egypt,201408308,Group Play,20148,fiba-world-cup
