,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Hamed Haddadi,31,7,17,0,1,2,3,6,15,0,0,1,7,3,16,iran,2014-08-30,spain,2014083010,Group Play,201410,fiba-world-cup
1,Samad Nik Bahrami,31,3,16,1,3,2,2,0,4,4,1,0,6,2,9,iran,2014-08-30,spain,2014083010,Group Play,201410,fiba-world-cup
2,Mahdi Kamrany,26,7,11,3,6,1,2,0,3,2,3,0,4,2,18,iran,2014-08-30,spain,2014083010,Group Play,201410,fiba-world-cup
3,Oshin Sahakian,21,1,1,1,1,0,0,1,2,1,0,0,0,2,3,iran,2014-08-30,spain,2014083010,Group Play,201410,fiba-world-cup
4,Hamed Afagh,21,1,2,0,0,0,0,1,1,2,1,0,0,2,2,iran,2014-08-30,spain,2014083010,Group Play,201410,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,iran,2014-08-30,spain,2014083010,Group Play,201410,fiba-world-cup
6,Mohammad Jamshidi,25,2,6,1,2,3,4,0,0,0,1,0,1,1,8,iran,2014-08-30,spain,2014083010,Group Play,201410,fiba-world-cup
7,Behnam Yakhchali,20,2,5,0,2,0,0,1,2,1,1,0,0,3,4,iran,2014-08-30,spain,2014083010,Group Play,201410,fiba-world-cup
8,Rouzbeh Arghavan,10,0,0,0,0,0,0,0,0,0,0,0,1,5,0,iran,2014-08-30,spain,2014083010,Group Play,201410,fiba-world-cup
9,Arman Zangeneh,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,iran,2014-08-30,spain,2014083010,Group Play,201410,fiba-world-cup
10,Arsalan Kazemi,5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,iran,2014-08-30,spain,2014083010,Group Play,201410,fiba-world-cup
11,Asghar Kardoust,5,0,0,0,0,0,2,0,0,1,0,0,0,4,0,iran,2014-08-30,spain,2014083010,Group Play,201410,fiba-world-cup
12,Totals,,23,59,6,15,8,13,9,29,11,8,1,19,24,60,iran,2014-08-30,spain,2014083010,Group Play,201410,fiba-world-cup
0,Marc Gasol,31,4,7,0,1,7,8,1,10,4,2,0,2,3,15,spain,2014-08-30,iran,2014083010,Group Play,201410,fiba-world-cup
1,Pau Gasol,29,12,20,0,1,9,10,3,8,2,0,3,3,1,33,spain,2014-08-30,iran,2014083010,Group Play,201410,fiba-world-cup
2,Sergio Llull,26,0,4,0,1,0,0,0,1,0,0,0,0,3,0,spain,2014-08-30,iran,2014083010,Group Play,201410,fiba-world-cup
3,Juan Carlos Navarro,19,3,6,2,5,2,2,0,1,2,0,0,0,0,10,spain,2014-08-30,iran,2014083010,Group Play,201410,fiba-world-cup
4,Ricky Rubio,19,1,4,0,1,1,6,5,9,5,5,0,1,2,3,spain,2014-08-30,iran,2014083010,Group Play,201410,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,spain,2014-08-30,iran,2014083010,Group Play,201410,fiba-world-cup
6,Rudy Fernandez,22,4,7,3,6,1,2,0,2,4,1,0,1,0,12,spain,2014-08-30,iran,2014083010,Group Play,201410,fiba-world-cup
7,Victor Claver,20,1,4,1,1,3,4,2,5,0,2,1,2,2,6,spain,2014-08-30,iran,2014083010,Group Play,201410,fiba-world-cup
8,Sergio Rodriguez,15,3,5,0,1,0,0,1,4,4,1,0,2,0,6,spain,2014-08-30,iran,2014083010,Group Play,201410,fiba-world-cup
9,Jose Calderon,14,1,1,1,1,0,0,0,0,1,2,0,1,1,3,spain,2014-08-30,iran,2014083010,Group Play,201410,fiba-world-cup
10,Alex Abrines,5,1,2,0,1,0,0,0,0,0,0,0,0,0,2,spain,2014-08-30,iran,2014083010,Group Play,201410,fiba-world-cup
11,Totals,,30,60,7,19,23,32,12,40,22,13,4,12,12,90,spain,2014-08-30,iran,2014083010,Group Play,201410,fiba-world-cup
