,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Kirk Penney,36,3,11,1,4,2,2,1,6,1,1,0,2,0,9,new zealand,2014-08-30,turkey,2014083011,Group Play,201411
1,Tai Webster,22,3,9,1,4,0,0,2,5,2,1,0,3,2,7,new zealand,2014-08-30,turkey,2014083011,Group Play,201411
2,Thomas Abercrombie,20,1,3,1,2,2,2,1,7,1,0,0,3,3,5,new zealand,2014-08-30,turkey,2014083011,Group Play,201411
3,Rob Loe,19,4,7,3,4,0,2,6,6,0,1,0,2,2,11,new zealand,2014-08-30,turkey,2014083011,Group Play,201411
4,Mika Vukona,18,0,2,0,0,4,6,3,8,2,3,0,2,4,4,new zealand,2014-08-30,turkey,2014083011,Group Play,201411
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,new zealand,2014-08-30,turkey,2014083011,Group Play,201411
6,Corey Webster,26,10,22,2,10,0,0,0,1,2,0,0,2,3,22,new zealand,2014-08-30,turkey,2014083011,Group Play,201411
7,Isaac Fotu,16,3,7,0,2,2,2,3,4,0,0,0,1,1,8,new zealand,2014-08-30,turkey,2014083011,Group Play,201411
8,Casey Frank,16,2,4,1,1,0,0,1,3,0,0,1,3,4,5,new zealand,2014-08-30,turkey,2014083011,Group Play,201411
9,Everard Bartlett,11,0,1,0,0,0,0,0,0,0,1,0,0,1,0,new zealand,2014-08-30,turkey,2014083011,Group Play,201411
10,B.J. Anthony,9,1,2,0,0,0,0,0,1,1,0,0,0,2,2,new zealand,2014-08-30,turkey,2014083011,Group Play,201411
11,Lindsay Tait,8,0,0,0,0,0,0,1,2,3,0,0,0,0,0,new zealand,2014-08-30,turkey,2014083011,Group Play,201411
12,Totals,,27,68,9,27,10,14,18,43,12,7,1,18,22,73,new zealand,2014-08-30,turkey,2014083011,Group Play,201411
0,Emir Preldzic,34,5,9,2,4,2,2,2,6,3,1,1,3,1,14,turkey,2014-08-30,new zealand,2014083011,Group Play,201411
1,Sinan Guler,33,4,7,0,3,0,0,0,2,0,2,0,3,2,8,turkey,2014-08-30,new zealand,2014083011,Group Play,201411
2,Ender Arslan,22,3,11,1,4,0,0,0,0,2,0,0,0,3,7,turkey,2014-08-30,new zealand,2014083011,Group Play,201411
3,Furkan Aldemir,13,2,5,0,0,2,4,3,5,0,2,0,2,3,6,turkey,2014-08-30,new zealand,2014083011,Group Play,201411
4,Kerem Gonlum,10,0,3,0,0,0,0,2,2,0,0,0,1,3,0,turkey,2014-08-30,new zealand,2014083011,Group Play,201411
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,turkey,2014-08-30,new zealand,2014083011,Group Play,201411
6,Baris Hersek,24,4,7,3,6,0,0,1,3,3,0,1,1,0,11,turkey,2014-08-30,new zealand,2014083011,Group Play,201411
7,Kerem Tunceri,19,2,4,0,2,2,2,0,3,2,2,0,2,2,6,turkey,2014-08-30,new zealand,2014083011,Group Play,201411
8,Cenk Akyol,18,1,4,1,3,4,4,0,2,1,2,0,0,2,7,turkey,2014-08-30,new zealand,2014083011,Group Play,201411
9,Oguz Savas,12,5,8,0,0,6,7,2,2,1,0,0,0,0,16,turkey,2014-08-30,new zealand,2014083011,Group Play,201411
10,Omer Asik,10,0,1,0,0,1,2,0,0,0,0,2,2,2,1,turkey,2014-08-30,new zealand,2014083011,Group Play,201411
11,Cedi Osman,5,0,1,0,1,0,0,0,1,0,0,0,0,2,0,turkey,2014-08-30,new zealand,2014083011,Group Play,201411
12,Totals,,26,60,7,23,17,21,10,26,12,9,4,14,20,76,turkey,2014-08-30,new zealand,2014083011,Group Play,201411
