,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Ricky Sanchez,34,2,8,0,4,2,2,0,5,1,0,1,2,4,6,puerto rico,2014-08-30,argentina,201408300,Group Play,20140
1,Renaldo Balkman,26,4,8,0,0,2,2,0,4,0,3,0,1,4,10,puerto rico,2014-08-30,argentina,201408300,Group Play,20140
2,David Huertas,22,1,4,0,1,3,4,0,3,0,0,0,2,2,5,puerto rico,2014-08-30,argentina,201408300,Group Play,20140
3,Carlos Arroyo,20,2,8,0,3,2,4,0,0,0,0,0,2,4,6,puerto rico,2014-08-30,argentina,201408300,Group Play,20140
4,Alex Franklin,10,1,2,0,0,0,0,0,2,0,0,0,0,3,2,puerto rico,2014-08-30,argentina,201408300,Group Play,20140
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,puerto rico,2014-08-30,argentina,201408300,Group Play,20140
6,J.J. Barea,27,7,14,5,8,5,6,0,2,4,0,0,2,2,24,puerto rico,2014-08-30,argentina,201408300,Group Play,20140
7,Angel Daniel Vassallo,19,4,10,1,3,0,0,1,4,0,0,0,2,3,9,puerto rico,2014-08-30,argentina,201408300,Group Play,20140
8,Alexander Galindo,11,2,4,1,3,1,2,0,1,0,0,0,1,1,6,puerto rico,2014-08-30,argentina,201408300,Group Play,20140
9,Ramon Clemente,11,1,2,0,0,0,0,2,6,0,0,0,0,2,2,puerto rico,2014-08-30,argentina,201408300,Group Play,20140
10,Carlos Rivera,10,2,4,1,1,0,0,1,1,0,0,0,0,1,5,puerto rico,2014-08-30,argentina,201408300,Group Play,20140
11,Jorge Diaz,7,0,2,0,0,0,0,2,4,0,0,0,0,0,0,puerto rico,2014-08-30,argentina,201408300,Group Play,20140
12,Daniel Santiago,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,puerto rico,2014-08-30,argentina,201408300,Group Play,20140
13,Totals,,26,66,8,23,15,20,6,32,5,3,1,12,26,75,puerto rico,2014-08-30,argentina,201408300,Group Play,20140
0,Luis Scola,32,7,10,0,0,6,10,2,9,2,0,0,1,1,20,argentina,2014-08-30,puerto rico,201408300,Group Play,20140
1,Facu Campazzo,28,2,7,1,3,3,4,1,2,8,1,0,3,2,8,argentina,2014-08-30,puerto rico,201408300,Group Play,20140
2,Walter Herrmann,24,5,9,0,1,2,3,1,10,0,0,0,0,0,12,argentina,2014-08-30,puerto rico,201408300,Group Play,20140
3,Andres Nocioni,23,7,13,3,8,1,2,0,11,0,0,1,0,3,18,argentina,2014-08-30,puerto rico,201408300,Group Play,20140
4,Pablo Prigioni,23,2,3,1,1,4,4,0,0,10,1,0,1,4,9,argentina,2014-08-30,puerto rico,201408300,Group Play,20140
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,argentina,2014-08-30,puerto rico,201408300,Group Play,20140
6,Selem Safar,29,6,11,4,8,2,2,0,4,0,0,0,1,4,18,argentina,2014-08-30,puerto rico,201408300,Group Play,20140
7,Leo Gutierrez,17,1,7,1,6,0,0,0,0,1,0,0,1,3,3,argentina,2014-08-30,puerto rico,201408300,Group Play,20140
8,Marcos Mata,16,1,2,0,0,0,0,0,0,1,0,0,2,5,2,argentina,2014-08-30,puerto rico,201408300,Group Play,20140
9,Marcos Delia,8,3,4,0,0,2,4,1,2,0,0,0,1,3,8,argentina,2014-08-30,puerto rico,201408300,Group Play,20140
10,Totals,,34,66,10,27,20,29,5,38,22,2,1,10,25,98,argentina,2014-08-30,puerto rico,201408300,Group Play,20140
