,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Luis Scola,37,11,19,1,1,7,11,0,9,1,0,1,1,4,30,argentina,2014-08-31,croatia,2014083114,Group Play,201414
1,Andres Nocioni,28,4,9,1,3,2,3,1,4,3,0,1,1,3,11,argentina,2014-08-31,croatia,2014083114,Group Play,201414
2,Pablo Prigioni,28,2,4,0,2,4,4,0,4,5,2,0,0,3,8,argentina,2014-08-31,croatia,2014083114,Group Play,201414
3,Walter Herrmann,27,4,8,1,2,0,0,2,6,2,0,0,2,1,9,argentina,2014-08-31,croatia,2014083114,Group Play,201414
4,Marcos Mata,17,1,4,0,2,0,0,1,2,0,0,0,0,2,2,argentina,2014-08-31,croatia,2014083114,Group Play,201414
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,argentina,2014-08-31,croatia,2014083114,Group Play,201414
6,Facu Campazzo,32,5,12,2,6,1,2,0,3,6,1,1,2,4,13,argentina,2014-08-31,croatia,2014083114,Group Play,201414
7,Leo Gutierrez,16,3,6,3,5,0,0,0,1,0,0,0,0,2,9,argentina,2014-08-31,croatia,2014083114,Group Play,201414
8,Selem Safar,12,1,3,1,3,0,0,0,0,0,1,0,0,2,3,argentina,2014-08-31,croatia,2014083114,Group Play,201414
9,Marcos Delia,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,argentina,2014-08-31,croatia,2014083114,Group Play,201414
10,Totals,,31,65,9,24,14,20,4,29,17,4,3,6,23,85,argentina,2014-08-31,croatia,2014083114,Group Play,201414
0,Bojan Bogdanovic,37,6,11,3,6,1,2,2,7,2,1,0,1,4,16,croatia,2014-08-31,argentina,2014083114,Group Play,201414
1,Krunoslav Simon,30,5,10,3,7,5,6,0,4,1,2,0,2,3,18,croatia,2014-08-31,argentina,2014083114,Group Play,201414
2,Oliver Lafayette,30,5,9,1,4,0,0,0,1,9,1,0,1,3,11,croatia,2014-08-31,argentina,2014083114,Group Play,201414
3,Dario Saric,25,5,12,2,6,4,5,3,9,1,0,0,1,4,16,croatia,2014-08-31,argentina,2014083114,Group Play,201414
4,Ante Tomic,21,0,3,0,0,5,6,1,6,4,0,0,1,2,5,croatia,2014-08-31,argentina,2014083114,Group Play,201414
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,croatia,2014-08-31,argentina,2014083114,Group Play,201414
6,Roko Ukic,21,3,5,2,4,0,0,0,1,2,0,0,1,2,8,croatia,2014-08-31,argentina,2014083114,Group Play,201414
7,Luka Zoric,18,4,6,0,0,2,3,1,5,0,0,0,0,4,10,croatia,2014-08-31,argentina,2014083114,Group Play,201414
8,Damjan Rudez,18,2,7,2,6,0,0,0,1,0,0,0,0,1,6,croatia,2014-08-31,argentina,2014083114,Group Play,201414
9,Totals,,30,63,13,33,17,22,7,34,19,4,0,7,23,90,croatia,2014-08-31,argentina,2014083114,Group Play,201414
