,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Renaldas Seibutis,31,2,7,0,2,4,4,1,4,4,1,0,2,0,8,lithuania,2014-08-31,angola,2014083112,Group Play,201412,fiba-world-cup
1,Jonas Valanciunas,28,4,7,0,0,3,7,2,13,3,0,1,3,2,11,lithuania,2014-08-31,angola,2014083112,Group Play,201412,fiba-world-cup
2,Donatas Motiejunas,21,3,6,1,3,5,7,1,5,0,0,0,0,1,12,lithuania,2014-08-31,angola,2014083112,Group Play,201412,fiba-world-cup
3,Jonas Maciulis,21,3,7,1,3,1,2,0,1,0,0,0,1,2,8,lithuania,2014-08-31,angola,2014083112,Group Play,201412,fiba-world-cup
4,Sarunas Vasiliauskas,6,0,0,0,0,0,0,0,0,1,0,0,2,1,0,lithuania,2014-08-31,angola,2014083112,Group Play,201412,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,lithuania,2014-08-31,angola,2014083112,Group Play,201412,fiba-world-cup
6,Paulius Jankunas,20,2,3,0,1,5,5,0,2,3,1,0,2,2,9,lithuania,2014-08-31,angola,2014083112,Group Play,201412,fiba-world-cup
7,Simas Jasaitis,20,0,2,0,2,0,0,2,3,0,0,0,0,3,0,lithuania,2014-08-31,angola,2014083112,Group Play,201412,fiba-world-cup
8,Martynas Pocius,19,4,6,1,2,0,0,0,0,3,0,0,3,1,9,lithuania,2014-08-31,angola,2014083112,Group Play,201412,fiba-world-cup
9,Adas Juskevicius,19,3,4,3,3,0,0,1,2,0,0,0,2,3,9,lithuania,2014-08-31,angola,2014083112,Group Play,201412,fiba-world-cup
10,Darjus Lavrinovic,11,2,5,1,3,2,3,0,1,0,0,1,0,1,7,lithuania,2014-08-31,angola,2014083112,Group Play,201412,fiba-world-cup
11,Mindaugas Kuzminskas,4,1,2,0,1,0,0,0,0,0,0,0,0,0,2,lithuania,2014-08-31,angola,2014083112,Group Play,201412,fiba-world-cup
12,Totals,,24,49,7,20,20,28,7,31,14,2,2,15,16,75,lithuania,2014-08-31,angola,2014083112,Group Play,201412,fiba-world-cup
0,Eduardo Mingas,36,5,12,2,4,2,2,0,9,1,2,0,1,2,14,angola,2014-08-31,lithuania,2014083112,Group Play,201412,fiba-world-cup
1,Olimpio Cipriano,31,5,12,2,6,1,2,0,1,3,4,0,3,3,13,angola,2014-08-31,lithuania,2014083112,Group Play,201412,fiba-world-cup
2,Armando Costa,27,2,5,1,3,0,0,0,2,2,3,0,1,1,5,angola,2014-08-31,lithuania,2014083112,Group Play,201412,fiba-world-cup
3,Roberto Fortes,19,2,5,1,4,0,0,0,2,0,1,0,0,2,5,angola,2014-08-31,lithuania,2014083112,Group Play,201412,fiba-world-cup
4,Vander Joaquim,13,1,5,0,1,0,2,1,1,1,0,0,0,3,2,angola,2014-08-31,lithuania,2014083112,Group Play,201412,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,angola,2014-08-31,lithuania,2014083112,Group Play,201412,fiba-world-cup
6,Reggie Moore,26,4,11,1,4,2,2,1,3,1,1,0,0,2,11,angola,2014-08-31,lithuania,2014083112,Group Play,201412,fiba-world-cup
7,Joaquim Gomes,20,2,6,0,1,0,0,2,6,0,0,0,1,3,4,angola,2014-08-31,lithuania,2014083112,Group Play,201412,fiba-world-cup
8,Milton Barros,15,1,2,0,0,4,4,0,1,2,0,0,3,5,6,angola,2014-08-31,lithuania,2014083112,Group Play,201412,fiba-world-cup
9,Edson Ndoniema,8,0,2,0,2,0,0,1,1,0,0,0,0,1,0,angola,2014-08-31,lithuania,2014083112,Group Play,201412,fiba-world-cup
10,Yanick Moreira,5,1,3,0,0,0,0,2,2,0,0,0,2,2,2,angola,2014-08-31,lithuania,2014083112,Group Play,201412,fiba-world-cup
11,Totals,,23,63,7,25,9,12,7,28,10,11,0,11,24,62,angola,2014-08-31,lithuania,2014083112,Group Play,201412,fiba-world-cup
