,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Pau Gasol,19,5,8,0,0,2,4,2,3,1,1,1,3,1,12,spain,2014-08-31,egypt,2014083115,Group Play,201415,fiba-world-cup
1,Juan Carlos Navarro,19,3,5,1,3,0,0,0,2,4,0,0,0,0,7,spain,2014-08-31,egypt,2014083115,Group Play,201415,fiba-world-cup
2,Ricky Rubio,19,1,4,0,1,4,4,1,5,7,1,1,2,1,6,spain,2014-08-31,egypt,2014083115,Group Play,201415,fiba-world-cup
3,Rudy Fernandez,17,5,8,2,2,2,2,1,3,2,2,1,0,0,14,spain,2014-08-31,egypt,2014083115,Group Play,201415,fiba-world-cup
4,Marc Gasol,15,2,3,0,0,4,4,1,5,0,1,2,3,2,8,spain,2014-08-31,egypt,2014083115,Group Play,201415,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,spain,2014-08-31,egypt,2014083115,Group Play,201415,fiba-world-cup
6,Serge Ibaka,21,8,12,1,3,1,1,2,8,1,0,1,1,0,18,spain,2014-08-31,egypt,2014083115,Group Play,201415,fiba-world-cup
7,Felipe Reyes,21,1,7,0,1,0,0,2,7,2,3,0,1,1,2,spain,2014-08-31,egypt,2014083115,Group Play,201415,fiba-world-cup
8,Sergio Llull,20,2,6,1,4,0,0,0,2,1,0,1,1,2,5,spain,2014-08-31,egypt,2014083115,Group Play,201415,fiba-world-cup
9,Sergio Rodriguez,16,2,5,0,2,0,0,0,1,2,0,0,1,2,4,spain,2014-08-31,egypt,2014083115,Group Play,201415,fiba-world-cup
10,Jose Calderon,15,0,4,0,4,0,0,0,3,2,0,0,1,3,0,spain,2014-08-31,egypt,2014083115,Group Play,201415,fiba-world-cup
11,Alex Abrines,10,3,5,2,4,1,1,1,1,0,0,0,0,0,9,spain,2014-08-31,egypt,2014083115,Group Play,201415,fiba-world-cup
12,Victor Claver,8,3,4,0,1,0,0,1,2,0,1,0,1,1,6,spain,2014-08-31,egypt,2014083115,Group Play,201415,fiba-world-cup
13,Totals,,35,71,7,25,14,16,11,42,22,9,7,14,13,91,spain,2014-08-31,egypt,2014083115,Group Play,201415,fiba-world-cup
0,Ibrahim Elgammal,29,5,13,2,6,4,6,0,4,3,1,0,6,3,16,egypt,2014-08-31,spain,2014083115,Group Play,201415,fiba-world-cup
1,Haytham Kamal,29,3,9,0,3,2,4,1,5,0,1,0,3,3,8,egypt,2014-08-31,spain,2014083115,Group Play,201415,fiba-world-cup
2,Youssef Shousha,19,3,4,0,0,0,0,0,1,0,2,0,1,3,6,egypt,2014-08-31,spain,2014083115,Group Play,201415,fiba-world-cup
3,Ramy Ibrahim,19,0,7,0,3,0,0,1,7,0,0,0,2,2,0,egypt,2014-08-31,spain,2014083115,Group Play,201415,fiba-world-cup
4,Wael Badr,18,2,3,0,1,0,0,0,0,1,0,0,1,3,4,egypt,2014-08-31,spain,2014083115,Group Play,201415,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,egypt,2014-08-31,spain,2014083115,Group Play,201415,fiba-world-cup
6,Sherif Genedy,24,3,10,2,5,0,0,2,2,0,0,0,2,3,8,egypt,2014-08-31,spain,2014083115,Group Play,201415,fiba-world-cup
7,Amr Gendy,20,3,9,0,2,0,0,1,3,0,0,0,0,0,6,egypt,2014-08-31,spain,2014083115,Group Play,201415,fiba-world-cup
8,Moustafa Elmekawi,17,3,7,0,2,0,0,1,2,1,2,0,2,2,6,egypt,2014-08-31,spain,2014083115,Group Play,201415,fiba-world-cup
9,Seif Samir,14,0,1,0,1,0,0,0,3,0,1,1,1,1,0,egypt,2014-08-31,spain,2014083115,Group Play,201415,fiba-world-cup
10,Mouhanad Elsabagh,6,0,1,0,1,0,0,1,1,0,0,0,2,0,0,egypt,2014-08-31,spain,2014083115,Group Play,201415,fiba-world-cup
11,Moamen Abouelanin,5,0,1,0,1,0,0,0,1,0,0,0,0,1,0,egypt,2014-08-31,spain,2014083115,Group Play,201415,fiba-world-cup
12,Totals,,22,65,4,25,6,10,7,29,5,7,1,20,21,54,egypt,2014-08-31,spain,2014083115,Group Play,201415,fiba-world-cup
