,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Sinan Guler,26,3,6,2,4,1,2,1,3,3,0,1,5,2,9,turkey,2014-08-31,united-states,2014083123,Group Play,201423
1,Cenk Akyol,24,4,9,2,5,2,4,1,4,1,1,0,0,3,12,turkey,2014-08-31,united-states,2014083123,Group Play,201423
2,Ender Arslan,21,2,7,1,5,3,3,0,2,4,0,0,4,2,8,turkey,2014-08-31,united-states,2014083123,Group Play,201423
3,Omer Asik,21,2,2,0,0,2,5,2,8,0,0,3,6,3,6,turkey,2014-08-31,united-states,2014083123,Group Play,201423
4,Baris Hersek,16,2,4,1,2,3,3,0,1,1,0,0,1,1,8,turkey,2014-08-31,united-states,2014083123,Group Play,201423
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,turkey,2014-08-31,united-states,2014083123,Group Play,201423
6,Emir Preldzic,22,2,4,1,2,4,6,0,2,5,0,0,3,2,9,turkey,2014-08-31,united-states,2014083123,Group Play,201423
7,Kerem Tunceri,18,1,3,1,2,0,0,0,1,2,0,0,2,2,3,turkey,2014-08-31,united-states,2014083123,Group Play,201423
8,Oguz Savas,15,4,10,0,1,1,2,1,4,1,0,1,2,2,9,turkey,2014-08-31,united-states,2014083123,Group Play,201423
9,Kerem Gonlum,14,2,5,0,1,0,0,1,2,0,0,0,2,2,4,turkey,2014-08-31,united-states,2014083123,Group Play,201423
10,Cedi Osman,14,0,2,0,1,0,0,0,2,0,1,0,1,2,0,turkey,2014-08-31,united-states,2014083123,Group Play,201423
11,Furkan Aldemir,5,2,2,0,0,0,0,1,1,0,0,0,0,0,4,turkey,2014-08-31,united-states,2014083123,Group Play,201423
12,Baris Ermis,4,2,2,1,1,0,0,0,1,0,0,0,1,1,5,turkey,2014-08-31,united-states,2014083123,Group Play,201423
13,Totals,,26,56,9,24,16,25,7,31,17,2,5,27,22,77,turkey,2014-08-31,united-states,2014083123,Group Play,201423
0,Kenneth Faried,28,11,14,0,0,0,0,3,8,1,3,2,0,2,22,united-states,2014-08-31,turkey,2014083123,Group Play,201423
1,Anthony Davis,26,8,11,0,0,3,5,2,6,0,2,2,0,3,19,united-states,2014-08-31,turkey,2014083123,Group Play,201423
2,James Harden,25,4,7,1,3,5,6,0,0,7,3,0,0,3,14,united-states,2014-08-31,turkey,2014083123,Group Play,201423
3,Kyrie Irving,24,5,9,2,3,1,2,0,3,5,1,0,2,3,13,united-states,2014-08-31,turkey,2014083123,Group Play,201423
4,Stephen Curry,24,3,11,3,6,0,0,1,2,3,5,0,2,2,9,united-states,2014-08-31,turkey,2014083123,Group Play,201423
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,united-states,2014-08-31,turkey,2014083123,Group Play,201423
6,Klay Thompson,25,2,7,2,7,0,0,0,1,2,2,0,1,2,6,united-states,2014-08-31,turkey,2014083123,Group Play,201423
7,Derrick Rose,17,0,4,0,3,2,4,0,2,0,0,0,2,2,2,united-states,2014-08-31,turkey,2014083123,Group Play,201423
8,DeMarcus Cousins,13,5,8,0,0,1,2,1,3,1,1,0,1,2,11,united-states,2014-08-31,turkey,2014083123,Group Play,201423
9,Rudy Gay,9,0,0,0,0,0,0,0,2,2,0,0,2,4,0,united-states,2014-08-31,turkey,2014083123,Group Play,201423
10,DeMar DeRozan,5,1,3,0,0,0,0,2,2,0,0,0,1,0,2,united-states,2014-08-31,turkey,2014083123,Group Play,201423
11,Mason Plumlee,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united-states,2014-08-31,turkey,2014083123,Group Play,201423
12,Totals,,39,74,8,22,12,19,9,29,21,17,4,11,23,98,united-states,2014-08-31,turkey,2014083123,Group Play,201423
