,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Pablo Prigioni,36,2,9,2,5,2,2,3,4,3,3,0,2,2,8,argentina,2014-09-01,philippines,2014090126,Group Play,201426,fiba-world-cup
1,Andres Nocioni,34,2,10,1,4,4,5,2,4,0,1,0,0,2,9,argentina,2014-09-01,philippines,2014090126,Group Play,201426,fiba-world-cup
2,Luis Scola,32,7,12,1,2,4,5,4,7,4,1,0,3,4,19,argentina,2014-09-01,philippines,2014090126,Group Play,201426,fiba-world-cup
3,Walter Herrmann,14,4,6,2,3,0,1,1,5,0,0,0,0,0,10,argentina,2014-09-01,philippines,2014090126,Group Play,201426,fiba-world-cup
4,Facu Campazzo,14,3,6,1,3,2,2,0,1,4,3,0,1,1,9,argentina,2014-09-01,philippines,2014090126,Group Play,201426,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,argentina,2014-09-01,philippines,2014090126,Group Play,201426,fiba-world-cup
6,Nicolas Laprovittola,30,4,10,2,8,0,1,0,3,4,2,0,1,4,10,argentina,2014-09-01,philippines,2014090126,Group Play,201426,fiba-world-cup
7,Marcos Mata,26,6,10,5,7,0,0,3,9,1,0,0,0,2,17,argentina,2014-09-01,philippines,2014090126,Group Play,201426,fiba-world-cup
8,Leo Gutierrez,14,1,6,1,6,0,0,0,1,1,0,0,1,2,3,argentina,2014-09-01,philippines,2014090126,Group Play,201426,fiba-world-cup
9,Totals,,29,69,15,38,12,16,13,34,17,10,0,8,17,85,argentina,2014-09-01,philippines,2014090126,Group Play,201426,fiba-world-cup
0,Gabe Norwood,36,3,4,0,1,0,0,1,2,1,0,1,2,3,6,philippines,2014-09-01,argentina,2014090126,Group Play,201426,fiba-world-cup
1,Jayson Castro William,27,4,11,3,5,0,0,1,3,2,1,0,3,4,11,philippines,2014-09-01,argentina,2014090126,Group Play,201426,fiba-world-cup
2,Ranidel De Ocampo,25,7,14,4,8,0,0,1,5,1,0,0,0,2,18,philippines,2014-09-01,argentina,2014090126,Group Play,201426,fiba-world-cup
3,Andray Blatche,24,6,9,0,2,2,2,2,15,0,2,2,4,4,14,philippines,2014-09-01,argentina,2014090126,Group Play,201426,fiba-world-cup
4,Lewis Tenorio,15,0,3,0,1,3,3,0,0,1,0,0,0,1,3,philippines,2014-09-01,argentina,2014090126,Group Play,201426,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,philippines,2014-09-01,argentina,2014090126,Group Play,201426,fiba-world-cup
6,Jim Alapag,22,5,7,5,7,0,0,0,1,2,0,0,1,0,15,philippines,2014-09-01,argentina,2014090126,Group Play,201426,fiba-world-cup
7,Marc Pingris,19,0,2,0,0,0,0,2,5,1,0,0,2,2,0,philippines,2014-09-01,argentina,2014090126,Group Play,201426,fiba-world-cup
8,June Mar Fajardo,9,3,5,0,0,0,0,0,2,0,1,0,0,1,6,philippines,2014-09-01,argentina,2014090126,Group Play,201426,fiba-world-cup
9,Jeff Chan,9,0,2,0,2,0,0,0,0,1,0,0,0,0,0,philippines,2014-09-01,argentina,2014090126,Group Play,201426,fiba-world-cup
10,Paul Lee,7,2,2,1,1,1,1,0,1,0,0,0,2,1,6,philippines,2014-09-01,argentina,2014090126,Group Play,201426,fiba-world-cup
11,Japeth Aguilar,7,1,2,0,0,0,2,0,0,0,0,0,1,1,2,philippines,2014-09-01,argentina,2014090126,Group Play,201426,fiba-world-cup
12,Totals,,31,61,13,27,6,8,7,34,9,4,3,15,19,81,philippines,2014-09-01,argentina,2014090126,Group Play,201426,fiba-world-cup
