,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Leandro Barbosa,24,5,7,1,1,0,0,0,0,2,1,0,0,1,11,brazil,2014-09-01,spain,2014090129,Group Play,201429,fiba-world-cup
1,Marcelo Huertas,21,3,8,0,0,2,2,1,3,0,0,0,0,2,8,brazil,2014-09-01,spain,2014090129,Group Play,201429,fiba-world-cup
2,Tiago Splitter,21,2,7,0,0,2,4,1,4,1,1,0,2,3,6,brazil,2014-09-01,spain,2014090129,Group Play,201429,fiba-world-cup
3,Nene Hilario,20,2,7,0,0,3,5,1,5,0,0,1,0,2,7,brazil,2014-09-01,spain,2014090129,Group Play,201429,fiba-world-cup
4,Alex Garcia,19,1,4,0,0,0,0,1,2,0,0,0,1,3,2,brazil,2014-09-01,spain,2014090129,Group Play,201429,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,brazil,2014-09-01,spain,2014090129,Group Play,201429,fiba-world-cup
6,Anderson Varejao,23,5,8,0,0,0,2,0,4,1,1,0,0,1,10,brazil,2014-09-01,spain,2014090129,Group Play,201429,fiba-world-cup
7,Marcus Vinicius,17,3,8,0,3,1,2,0,5,1,0,0,1,1,7,brazil,2014-09-01,spain,2014090129,Group Play,201429,fiba-world-cup
8,Rafael Hettsheimeir,17,0,4,0,4,0,0,0,4,0,1,0,0,3,0,brazil,2014-09-01,spain,2014090129,Group Play,201429,fiba-world-cup
9,Larry Taylor,16,2,5,0,0,0,0,1,1,2,0,0,2,1,4,brazil,2014-09-01,spain,2014090129,Group Play,201429,fiba-world-cup
10,Raul Neto,16,1,3,0,0,0,0,0,2,0,2,0,0,3,2,brazil,2014-09-01,spain,2014090129,Group Play,201429,fiba-world-cup
11,Marcelinho Machado,7,2,3,2,2,0,0,0,1,0,0,0,0,0,6,brazil,2014-09-01,spain,2014090129,Group Play,201429,fiba-world-cup
12,Totals,,26,64,3,10,8,15,5,31,7,6,1,6,20,63,brazil,2014-09-01,spain,2014090129,Group Play,201429,fiba-world-cup
0,Marc Gasol,30,3,5,0,0,2,2,0,5,3,1,1,2,4,8,spain,2014-09-01,brazil,2014090129,Group Play,201429,fiba-world-cup
1,Pau Gasol,29,11,15,3,5,1,2,2,9,2,0,3,3,2,26,spain,2014-09-01,brazil,2014090129,Group Play,201429,fiba-world-cup
2,Rudy Fernandez,24,2,3,2,2,0,0,0,4,1,0,0,0,2,6,spain,2014-09-01,brazil,2014090129,Group Play,201429,fiba-world-cup
3,Juan Carlos Navarro,22,4,9,2,4,0,0,0,4,4,1,0,1,1,10,spain,2014-09-01,brazil,2014090129,Group Play,201429,fiba-world-cup
4,Ricky Rubio,22,0,3,0,0,2,2,0,2,6,1,0,1,3,2,spain,2014-09-01,brazil,2014090129,Group Play,201429,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,spain,2014-09-01,brazil,2014090129,Group Play,201429,fiba-world-cup
6,Sergio Llull,21,3,7,1,5,0,0,0,3,0,0,0,0,3,7,spain,2014-09-01,brazil,2014090129,Group Play,201429,fiba-world-cup
7,Sergio Rodriguez,18,4,6,2,3,2,4,1,3,1,0,0,2,3,12,spain,2014-09-01,brazil,2014090129,Group Play,201429,fiba-world-cup
8,Serge Ibaka,17,2,5,0,1,1,2,0,5,0,0,0,0,2,5,spain,2014-09-01,brazil,2014090129,Group Play,201429,fiba-world-cup
9,Jose Calderon,12,1,3,1,3,2,2,1,2,0,0,0,1,0,5,spain,2014-09-01,brazil,2014090129,Group Play,201429,fiba-world-cup
10,Felipe Reyes,2,0,2,0,0,1,2,1,1,0,0,0,0,1,1,spain,2014-09-01,brazil,2014090129,Group Play,201429,fiba-world-cup
11,Alex Abrines,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,spain,2014-09-01,brazil,2014090129,Group Play,201429,fiba-world-cup
12,Victor Claver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spain,2014-09-01,brazil,2014090129,Group Play,201429,fiba-world-cup
13,Totals,,30,59,11,24,11,16,5,38,17,3,4,10,21,82,spain,2014-09-01,brazil,2014090129,Group Play,201429,fiba-world-cup
