,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Dario Saric,28,6,9,0,2,3,3,2,6,4,3,0,1,3,15,croatia,2014-09-01,senegal,2014090127,Group Play,201427
1,Krunoslav Simon,28,2,7,2,5,0,0,0,2,3,1,1,2,4,6,croatia,2014-09-01,senegal,2014090127,Group Play,201427
2,Ante Tomic,25,1,3,0,0,12,14,3,9,2,0,0,1,2,14,croatia,2014-09-01,senegal,2014090127,Group Play,201427
3,Oliver Lafayette,23,2,7,1,3,0,0,0,3,1,0,0,2,1,5,croatia,2014-09-01,senegal,2014090127,Group Play,201427
4,Mario Hezonja,7,1,1,0,0,0,0,0,0,1,0,0,1,1,2,croatia,2014-09-01,senegal,2014090127,Group Play,201427
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,croatia,2014-09-01,senegal,2014090127,Group Play,201427
6,Bojan Bogdanovic,31,5,14,1,7,4,8,0,3,1,0,0,2,3,15,croatia,2014-09-01,senegal,2014090127,Group Play,201427
7,Roko Ukic,20,1,1,1,1,0,0,0,1,2,0,0,0,0,3,croatia,2014-09-01,senegal,2014090127,Group Play,201427
8,Damjan Rudez,12,2,6,2,5,0,0,0,0,0,0,0,0,3,6,croatia,2014-09-01,senegal,2014090127,Group Play,201427
9,Luka Zoric,11,2,2,0,0,0,0,0,0,0,0,0,1,5,4,croatia,2014-09-01,senegal,2014090127,Group Play,201427
10,Damir Markota,11,1,5,0,3,0,0,2,2,2,0,0,0,0,2,croatia,2014-09-01,senegal,2014090127,Group Play,201427
11,Luksa Andric,4,1,1,0,0,1,3,0,0,0,0,0,0,1,3,croatia,2014-09-01,senegal,2014090127,Group Play,201427
12,Totals,,24,56,7,26,20,28,7,26,16,4,1,10,23,75,croatia,2014-09-01,senegal,2014090127,Group Play,201427
0,Gorgui Dieng,40,8,14,0,0,11,12,2,8,3,1,2,4,4,27,senegal,2014-09-01,croatia,2014090127,Group Play,201427
1,Xane D'Almeida,36,4,8,3,4,4,4,0,1,5,1,0,0,3,15,senegal,2014-09-01,croatia,2014090127,Group Play,201427
2,Maleye N'Doye,34,2,6,2,5,3,4,0,1,2,2,0,1,2,9,senegal,2014-09-01,croatia,2014090127,Group Play,201427
3,Mouhammad Faye,30,4,10,1,3,2,3,3,6,3,1,0,1,5,11,senegal,2014-09-01,croatia,2014090127,Group Play,201427
4,Maurice Ndour,10,0,1,0,0,0,0,0,1,0,2,0,2,2,0,senegal,2014-09-01,croatia,2014090127,Group Play,201427
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,senegal,2014-09-01,croatia,2014090127,Group Play,201427
6,Pape Badji,17,2,4,0,0,0,0,1,5,0,0,1,1,3,4,senegal,2014-09-01,croatia,2014090127,Group Play,201427
7,Hamady N'Diaye,16,2,2,0,0,1,2,2,5,1,0,3,2,4,5,senegal,2014-09-01,croatia,2014090127,Group Play,201427
8,Mohamet Diop,13,2,8,1,3,0,0,0,2,0,1,0,1,4,5,senegal,2014-09-01,croatia,2014090127,Group Play,201427
9,Mamadou Ndoye,2,0,0,0,0,1,2,0,0,0,0,0,0,1,1,senegal,2014-09-01,croatia,2014090127,Group Play,201427
10,Thierno Niang,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,senegal,2014-09-01,croatia,2014090127,Group Play,201427
11,Totals,,24,53,7,15,22,27,8,29,14,8,6,13,28,77,senegal,2014-09-01,croatia,2014090127,Group Play,201427
