,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Mahdi Kamrany,32,0,4,0,3,2,2,0,2,0,1,0,4,3,2,iran,2014-09-01,serbia,2014090128,Group Play,201428
1,Samad Nik Bahrami,31,8,14,2,4,2,2,0,0,7,1,0,5,4,20,iran,2014-09-01,serbia,2014090128,Group Play,201428
2,Hamed Haddadi,30,10,12,0,2,9,12,1,5,0,4,1,4,4,29,iran,2014-09-01,serbia,2014090128,Group Play,201428
3,Hamed Afagh,29,2,4,2,4,0,0,1,2,1,0,0,4,4,6,iran,2014-09-01,serbia,2014090128,Group Play,201428
4,Oshin Sahakian,26,0,1,0,1,2,2,1,2,1,2,0,1,3,2,iran,2014-09-01,serbia,2014090128,Group Play,201428
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,iran,2014-09-01,serbia,2014090128,Group Play,201428
6,Arsalan Kazemi,21,2,4,0,0,2,2,1,4,1,1,0,1,3,6,iran,2014-09-01,serbia,2014090128,Group Play,201428
7,Behnam Yakhchali,19,1,5,1,5,0,0,2,2,1,1,0,1,3,3,iran,2014-09-01,serbia,2014090128,Group Play,201428
8,Mohammad Jamshidi,11,1,2,0,1,0,0,0,1,0,1,0,2,1,2,iran,2014-09-01,serbia,2014090128,Group Play,201428
9,Rouzbeh Arghavan,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,iran,2014-09-01,serbia,2014090128,Group Play,201428
10,Totals,,24,46,5,20,17,20,6,18,11,11,1,22,28,70,iran,2014-09-01,serbia,2014090128,Group Play,201428
0,Nemanja Bjelica,35,6,11,1,2,5,7,3,10,2,1,0,3,3,18,serbia,2014-09-01,iran,2014090128,Group Play,201428
1,Bogdan Bogdanovic,35,7,11,1,4,1,2,0,2,2,2,1,3,2,16,serbia,2014-09-01,iran,2014090128,Group Play,201428
2,Stefan Markovic,19,2,2,1,1,0,0,1,3,4,1,1,3,3,5,serbia,2014-09-01,iran,2014090128,Group Play,201428
3,Miroslav Raduljica,17,5,9,0,0,3,5,2,2,0,1,0,1,4,13,serbia,2014-09-01,iran,2014090128,Group Play,201428
4,Nikola Kalinic,11,1,1,1,1,0,0,0,1,0,0,0,0,1,3,serbia,2014-09-01,iran,2014090128,Group Play,201428
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,serbia,2014-09-01,iran,2014090128,Group Play,201428
6,Milos Teodosic,31,3,6,2,5,0,0,1,1,9,1,0,5,2,8,serbia,2014-09-01,iran,2014090128,Group Play,201428
7,Stefan Jovic,19,1,1,0,0,0,0,1,4,3,2,0,1,2,2,serbia,2014-09-01,iran,2014090128,Group Play,201428
8,Rasko Katic,16,2,7,0,0,4,10,2,3,0,0,0,1,4,8,serbia,2014-09-01,iran,2014090128,Group Play,201428
9,Marko Simonovic,9,1,2,0,0,2,3,0,0,0,1,0,0,0,4,serbia,2014-09-01,iran,2014090128,Group Play,201428
10,Vladimir Stimac,7,3,3,0,0,0,2,0,1,0,0,0,0,1,6,serbia,2014-09-01,iran,2014090128,Group Play,201428
11,Stefan Bircevic,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,serbia,2014-09-01,iran,2014090128,Group Play,201428
12,Totals,,31,53,6,13,15,29,10,27,20,9,2,17,23,83,serbia,2014-09-01,iran,2014090128,Group Play,201428
