,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Renaldo Balkman,35,7,11,0,0,9,11,1,5,0,4,1,2,4,23,puerto rico,2014-09-01,greece,2014090125,Group Play,201425
1,J.J. Barea,34,6,15,4,9,5,6,3,4,5,0,0,2,4,21,puerto rico,2014-09-01,greece,2014090125,Group Play,201425
2,Alexander Galindo,20,2,7,0,4,1,2,1,4,0,0,0,1,3,5,puerto rico,2014-09-01,greece,2014090125,Group Play,201425
3,David Huertas,18,1,7,0,0,4,4,1,2,0,0,0,0,4,6,puerto rico,2014-09-01,greece,2014090125,Group Play,201425
4,Daniel Santiago,15,3,5,0,0,0,0,0,1,0,1,1,2,2,6,puerto rico,2014-09-01,greece,2014090125,Group Play,201425
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,puerto rico,2014-09-01,greece,2014090125,Group Play,201425
6,Carlos Rivera,24,3,5,2,3,2,2,1,3,2,0,0,2,4,10,puerto rico,2014-09-01,greece,2014090125,Group Play,201425
7,Alex Franklin,20,0,1,0,1,1,2,4,6,2,0,0,0,0,1,puerto rico,2014-09-01,greece,2014090125,Group Play,201425
8,Jorge Diaz,16,0,5,0,0,0,0,1,3,0,1,0,1,0,0,puerto rico,2014-09-01,greece,2014090125,Group Play,201425
9,Ramon Clemente,13,2,5,0,0,2,2,2,5,1,0,0,0,2,6,puerto rico,2014-09-01,greece,2014090125,Group Play,201425
10,Ricky Sanchez,5,0,1,0,1,1,2,0,1,0,0,0,1,2,1,puerto rico,2014-09-01,greece,2014090125,Group Play,201425
11,Totals,,24,62,6,18,25,31,14,34,10,6,2,11,25,79,puerto rico,2014-09-01,greece,2014090125,Group Play,201425
0,Nick Calathes,29,5,8,0,0,4,8,1,2,1,1,1,2,1,14,greece,2014-09-01,puerto rico,2014090125,Group Play,201425
1,Ioannis Bourousis,27,5,10,0,1,2,2,1,8,6,2,1,2,3,12,greece,2014-09-01,puerto rico,2014090125,Group Play,201425
2,Nikos Zisis,25,7,9,4,5,1,2,0,2,3,1,0,1,1,19,greece,2014-09-01,puerto rico,2014090125,Group Play,201425
3,Kostas Papanikolaou,19,2,6,0,2,0,0,0,2,3,0,1,2,2,4,greece,2014-09-01,puerto rico,2014090125,Group Play,201425
4,Giorgos Printezis,12,2,5,0,1,1,1,0,1,0,0,0,0,4,5,greece,2014-09-01,puerto rico,2014090125,Group Play,201425
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,greece,2014-09-01,puerto rico,2014090125,Group Play,201425
6,Kostas Kaimakoglou,26,4,5,0,0,1,2,7,11,5,0,0,1,5,9,greece,2014-09-01,puerto rico,2014090125,Group Play,201425
7,Giannis Antetokounmpo,23,5,11,0,3,5,7,0,3,0,1,0,1,3,15,greece,2014-09-01,puerto rico,2014090125,Group Play,201425
8,Kostas Sloukas,13,2,3,1,1,0,0,0,0,2,0,0,0,1,5,greece,2014-09-01,puerto rico,2014090125,Group Play,201425
9,Ian Vouyoukas,8,1,4,0,0,0,0,2,4,1,0,0,1,1,2,greece,2014-09-01,puerto rico,2014090125,Group Play,201425
10,Vangelis Mantzaris,8,0,1,0,1,0,0,0,0,0,0,0,1,3,0,greece,2014-09-01,puerto rico,2014090125,Group Play,201425
11,Kostas Vasileiadis,6,1,2,0,1,2,2,0,3,0,0,0,0,0,4,greece,2014-09-01,puerto rico,2014090125,Group Play,201425
12,Andreas Glyniadakis,4,0,0,0,0,1,2,1,1,0,0,0,0,0,1,greece,2014-09-01,puerto rico,2014090125,Group Play,201425
13,Totals,,34,64,5,15,17,26,12,37,21,5,3,11,24,90,greece,2014-09-01,puerto rico,2014090125,Group Play,201425
