,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Armando Costa,26,2,7,1,3,0,0,2,4,0,0,0,0,3,5,angola,2014-09-02,mexico,2014090232,Group Play,201432,fiba-world-cup
1,Olimpio Cipriano,26,1,8,0,5,1,1,2,6,2,1,0,2,2,3,angola,2014-09-02,mexico,2014090232,Group Play,201432,fiba-world-cup
2,Milton Barros,23,1,8,0,5,0,0,1,1,3,1,0,1,3,2,angola,2014-09-02,mexico,2014090232,Group Play,201432,fiba-world-cup
3,Vander Joaquim,22,5,17,1,3,2,2,3,5,0,0,1,0,2,13,angola,2014-09-02,mexico,2014090232,Group Play,201432,fiba-world-cup
4,Eduardo Mingas,22,2,9,0,3,1,1,2,3,2,2,0,1,2,5,angola,2014-09-02,mexico,2014090232,Group Play,201432,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,angola,2014-09-02,mexico,2014090232,Group Play,201432,fiba-world-cup
6,Roberto Fortes,21,2,4,2,4,1,2,1,2,0,0,0,1,1,7,angola,2014-09-02,mexico,2014090232,Group Play,201432,fiba-world-cup
7,Yanick Moreira,20,6,13,0,0,1,1,3,9,1,1,0,0,2,13,angola,2014-09-02,mexico,2014090232,Group Play,201432,fiba-world-cup
8,Gildo Santos,10,0,3,0,1,0,0,0,0,2,0,0,1,2,0,angola,2014-09-02,mexico,2014090232,Group Play,201432,fiba-world-cup
9,Joaquim Gomes,10,0,2,0,1,0,0,2,2,0,1,0,2,1,0,angola,2014-09-02,mexico,2014090232,Group Play,201432,fiba-world-cup
10,Edson Ndoniema,9,2,3,0,0,1,2,1,2,0,0,0,1,1,5,angola,2014-09-02,mexico,2014090232,Group Play,201432,fiba-world-cup
11,Reggie Moore,9,0,2,0,1,0,0,0,0,0,0,0,0,0,0,angola,2014-09-02,mexico,2014090232,Group Play,201432,fiba-world-cup
12,Islando Manuel,4,0,2,0,1,2,2,2,3,0,0,0,0,0,2,angola,2014-09-02,mexico,2014090232,Group Play,201432,fiba-world-cup
13,Totals,,21,78,4,27,9,11,19,37,10,6,1,9,19,55,angola,2014-09-02,mexico,2014090232,Group Play,201432,fiba-world-cup
0,Gustavo Ayon,38,6,11,0,0,5,6,5,12,3,2,2,3,2,17,mexico,2014-09-02,angola,2014090232,Group Play,201432,fiba-world-cup
1,Francisco Cruz,36,5,15,0,6,4,4,1,7,4,1,0,0,1,14,mexico,2014-09-02,angola,2014090232,Group Play,201432,fiba-world-cup
2,Jorge Gutierrez,30,3,7,0,1,0,0,0,6,3,1,0,2,3,6,mexico,2014-09-02,angola,2014090232,Group Play,201432,fiba-world-cup
3,Hector Hernandez,27,7,12,6,10,4,4,1,5,0,0,0,2,2,24,mexico,2014-09-02,angola,2014090232,Group Play,201432,fiba-world-cup
4,Marco Ramos,18,0,0,0,0,0,0,0,2,0,3,0,1,2,0,mexico,2014-09-02,angola,2014090232,Group Play,201432,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,mexico,2014-09-02,angola,2014090232,Group Play,201432,fiba-world-cup
6,Roman Martinez,22,4,9,4,7,0,0,0,4,1,0,0,2,3,12,mexico,2014-09-02,angola,2014090232,Group Play,201432,fiba-world-cup
7,Adam Parada,12,0,0,0,0,0,0,0,0,0,0,2,2,3,0,mexico,2014-09-02,angola,2014090232,Group Play,201432,fiba-world-cup
8,Paul Stoll,11,2,2,2,2,0,0,0,0,2,0,0,0,2,6,mexico,2014-09-02,angola,2014090232,Group Play,201432,fiba-world-cup
9,David Meza,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,mexico,2014-09-02,angola,2014090232,Group Play,201432,fiba-world-cup
10,Orlando Mendez,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mexico,2014-09-02,angola,2014090232,Group Play,201432,fiba-world-cup
11,Totals,,27,58,12,26,13,14,7,36,13,7,4,12,18,79,mexico,2014-09-02,angola,2014090232,Group Play,201432,fiba-world-cup
