,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Jongkyu Kim,21,2,4,0,0,0,0,1,6,2,0,1,2,3,4,korea,2014-09-02,slovenia,2014090234,Group Play,201434
1,Jonghyun Lee,20,5,7,0,0,2,2,1,5,2,1,4,2,3,12,korea,2014-09-02,slovenia,2014090234,Group Play,201434
2,Taesul Kim,18,2,5,0,1,1,1,2,4,2,0,0,1,2,5,korea,2014-09-02,slovenia,2014090234,Group Play,201434
3,Jarod Stevenson,17,3,7,2,5,0,0,0,0,3,0,0,0,2,8,korea,2014-09-02,slovenia,2014090234,Group Play,201434
4,Sunhyung Kim,16,1,4,0,0,0,0,0,1,2,0,0,3,1,2,korea,2014-09-02,slovenia,2014090234,Group Play,201434
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,korea,2014-09-02,slovenia,2014090234,Group Play,201434
6,Sungmin Cho,22,2,7,2,5,2,3,0,1,0,0,0,1,1,8,korea,2014-09-02,slovenia,2014090234,Group Play,201434
7,Joo Sung Kim,20,1,1,0,0,3,4,1,2,1,0,1,2,2,5,korea,2014-09-02,slovenia,2014090234,Group Play,201434
8,Sekeun Oh,19,3,6,0,1,2,4,2,5,2,0,1,1,2,8,korea,2014-09-02,slovenia,2014090234,Group Play,201434
9,Dong-geun Yang,14,1,4,1,3,0,0,1,3,0,2,0,0,1,3,korea,2014-09-02,slovenia,2014090234,Group Play,201434
10,Ilyoung Heo,13,2,6,1,3,2,2,0,1,0,0,0,0,0,7,korea,2014-09-02,slovenia,2014090234,Group Play,201434
11,Chan Hee Park,10,2,6,0,2,2,4,0,0,1,0,0,0,1,6,korea,2014-09-02,slovenia,2014090234,Group Play,201434
12,Heejong Yang,10,2,3,0,0,0,0,2,3,1,0,1,0,3,4,korea,2014-09-02,slovenia,2014090234,Group Play,201434
13,Totals,,26,60,6,20,14,20,10,31,16,3,8,12,21,72,korea,2014-09-02,slovenia,2014090234,Group Play,201434
0,Jure Balazic,28,4,7,3,5,0,0,2,6,1,0,0,0,3,11,slovenia,2014-09-02,korea,2014090234,Group Play,201434
1,Zoran Dragic,27,4,13,1,6,4,5,0,3,2,0,1,1,2,13,slovenia,2014-09-02,korea,2014090234,Group Play,201434
2,Domen Lorbek,26,4,10,2,6,4,4,0,1,0,1,0,2,2,14,slovenia,2014-09-02,korea,2014090234,Group Play,201434
3,Goran Dragic,25,10,14,2,4,0,1,2,2,4,0,0,0,2,22,slovenia,2014-09-02,korea,2014090234,Group Play,201434
4,Alen Omic,22,6,7,0,0,1,2,6,11,0,1,0,1,2,13,slovenia,2014-09-02,korea,2014090234,Group Play,201434
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,slovenia,2014-09-02,korea,2014090234,Group Play,201434
6,Jaka Klobucar,18,0,4,0,1,0,2,0,3,2,0,0,2,1,0,slovenia,2014-09-02,korea,2014090234,Group Play,201434
7,Miha Zupan,16,3,4,2,3,0,0,0,1,1,0,0,1,4,8,slovenia,2014-09-02,korea,2014090234,Group Play,201434
8,Edo Muric,13,1,3,1,3,0,0,0,1,1,0,1,0,2,3,slovenia,2014-09-02,korea,2014090234,Group Play,201434
9,Jaka Blazic,9,2,2,0,0,0,0,0,2,0,0,0,1,2,4,slovenia,2014-09-02,korea,2014090234,Group Play,201434
10,Klemen Prepelic,8,0,2,0,2,0,0,0,1,0,0,0,0,0,0,slovenia,2014-09-02,korea,2014090234,Group Play,201434
11,Uros Slokar,5,0,2,0,0,1,4,0,0,0,1,0,0,0,1,slovenia,2014-09-02,korea,2014090234,Group Play,201434
12,Aleksej Nikolic,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,slovenia,2014-09-02,korea,2014090234,Group Play,201434
13,Totals,,34,69,11,31,10,18,10,31,11,3,2,8,20,89,slovenia,2014-09-02,korea,2014090234,Group Play,201434
