,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Pooh Jeter,33,2,10,1,5,5,5,0,1,6,0,0,5,3,10,ukraine,2014-09-02,turkey,2014090235,Group Play,201435
1,Oleksandr Lypovyy,22,3,10,1,5,0,0,1,2,0,0,0,1,2,7,ukraine,2014-09-02,turkey,2014090235,Group Play,201435
2,Kyryl Natyazhko,18,2,4,0,1,0,0,0,2,0,0,0,0,1,4,ukraine,2014-09-02,turkey,2014090235,Group Play,201435
3,Maxym Kornienko,13,0,4,0,1,0,0,2,6,0,1,1,0,0,0,ukraine,2014-09-02,turkey,2014090235,Group Play,201435
4,Dmytro Zabirchenko,12,1,2,1,2,0,0,0,0,1,1,1,1,0,3,ukraine,2014-09-02,turkey,2014090235,Group Play,201435
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ukraine,2014-09-02,turkey,2014090235,Group Play,201435
6,Olexandr Mishula,27,7,14,5,8,0,0,1,2,2,2,0,0,0,19,ukraine,2014-09-02,turkey,2014090235,Group Play,201435
7,Maksym Pustozvonov,23,2,5,0,3,0,0,0,5,2,1,0,0,4,4,ukraine,2014-09-02,turkey,2014090235,Group Play,201435
8,Igor Zaytsev,22,5,10,2,5,0,0,3,5,0,0,0,0,2,12,ukraine,2014-09-02,turkey,2014090235,Group Play,201435
9,Viacheslav Kravtsov,22,2,3,0,0,1,2,0,7,0,0,0,1,3,5,ukraine,2014-09-02,turkey,2014090235,Group Play,201435
10,Sviatoslav Mykhailiuk,9,0,2,0,1,0,0,0,1,1,0,0,1,0,0,ukraine,2014-09-02,turkey,2014090235,Group Play,201435
11,Totals,,24,64,10,31,6,7,7,31,12,5,2,9,15,64,ukraine,2014-09-02,turkey,2014090235,Group Play,201435
0,Emir Preldzic,36,4,12,2,5,4,6,0,7,3,0,0,1,1,14,turkey,2014-09-02,ukraine,2014090235,Group Play,201435
1,Omer Asik,32,4,11,0,0,8,10,8,20,0,0,1,1,0,16,turkey,2014-09-02,ukraine,2014090235,Group Play,201435
2,Sinan Guler,32,1,2,0,0,1,2,0,4,1,1,1,3,3,3,turkey,2014-09-02,ukraine,2014090235,Group Play,201435
3,Ender Arslan,27,3,9,3,7,0,0,0,2,2,1,0,1,2,9,turkey,2014-09-02,ukraine,2014090235,Group Play,201435
4,Baris Hersek,15,0,1,0,0,0,0,0,1,3,0,0,1,4,0,turkey,2014-09-02,ukraine,2014090235,Group Play,201435
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,turkey,2014-09-02,ukraine,2014090235,Group Play,201435
6,Cenk Akyol,18,1,5,1,3,0,0,0,2,0,0,0,2,3,3,turkey,2014-09-02,ukraine,2014090235,Group Play,201435
7,Oguz Savas,14,3,4,0,0,1,1,0,2,1,0,1,2,1,7,turkey,2014-09-02,ukraine,2014090235,Group Play,201435
8,Kerem Gonlum,12,2,4,0,0,0,0,0,0,1,1,0,0,0,4,turkey,2014-09-02,ukraine,2014090235,Group Play,201435
9,Kerem Tunceri,11,1,4,0,0,0,0,0,0,1,0,0,2,0,2,turkey,2014-09-02,ukraine,2014090235,Group Play,201435
10,Cedi Osman,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,turkey,2014-09-02,ukraine,2014090235,Group Play,201435
11,Totals,,19,52,6,15,14,19,8,38,12,3,3,13,15,58,turkey,2014-09-02,ukraine,2014090235,Group Play,201435
