,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Kenneth Faried,25,7,9,0,0,1,1,7,11,0,1,1,0,1,15,united states,2014-09-02,new-zealand,2014090233,Group Play,201433,fiba-world-cup
1,James Harden,24,3,5,1,2,6,8,0,2,4,2,0,4,1,13,united states,2014-09-02,new-zealand,2014090233,Group Play,201433,fiba-world-cup
2,Stephen Curry,24,4,7,2,4,2,2,1,5,3,2,1,5,3,12,united states,2014-09-02,new-zealand,2014090233,Group Play,201433,fiba-world-cup
3,Kyrie Irving,23,4,9,1,3,1,1,0,4,2,4,0,1,2,10,united states,2014-09-02,new-zealand,2014090233,Group Play,201433,fiba-world-cup
4,Anthony Davis,22,7,13,0,0,7,10,2,9,2,2,1,0,0,21,united states,2014-09-02,new-zealand,2014090233,Group Play,201433,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,united states,2014-09-02,new-zealand,2014090233,Group Play,201433,fiba-world-cup
6,Klay Thompson,21,5,9,2,5,0,0,0,1,1,0,0,1,0,12,united states,2014-09-02,new-zealand,2014090233,Group Play,201433,fiba-world-cup
7,Derrick Rose,17,1,6,0,2,1,2,0,1,2,1,1,0,1,3,united states,2014-09-02,new-zealand,2014090233,Group Play,201433,fiba-world-cup
8,Rudy Gay,15,1,4,0,1,0,0,1,4,3,2,0,2,2,2,united states,2014-09-02,new-zealand,2014090233,Group Play,201433,fiba-world-cup
9,DeMarcus Cousins,11,2,4,0,0,0,0,1,2,2,0,0,2,1,4,united states,2014-09-02,new-zealand,2014090233,Group Play,201433,fiba-world-cup
10,DeMar DeRozan,9,1,1,0,0,2,4,0,0,1,0,0,1,1,4,united states,2014-09-02,new-zealand,2014090233,Group Play,201433,fiba-world-cup
11,Mason Plumlee,5,0,2,0,0,1,4,2,3,1,0,0,0,0,1,united states,2014-09-02,new-zealand,2014090233,Group Play,201433,fiba-world-cup
12,Andre Drummond,4,0,0,0,0,1,2,1,2,0,0,0,0,1,1,united states,2014-09-02,new-zealand,2014090233,Group Play,201433,fiba-world-cup
13,Totals,,35,69,6,17,22,34,15,44,21,14,4,16,13,98,united states,2014-09-02,new-zealand,2014090233,Group Play,201433,fiba-world-cup
0,Kirk Penney,20,3,9,0,3,0,0,1,4,0,0,0,1,2,6,new-zealand,2014-09-02,united states,2014090233,Group Play,201433,fiba-world-cup
1,Mika Vukona,19,3,5,0,0,1,2,3,5,0,0,0,3,3,7,new-zealand,2014-09-02,united states,2014090233,Group Play,201433,fiba-world-cup
2,Thomas Abercrombie,18,2,7,0,2,0,0,3,5,1,0,0,1,4,4,new-zealand,2014-09-02,united states,2014090233,Group Play,201433,fiba-world-cup
3,Rob Loe,18,1,6,1,3,0,0,2,3,1,0,0,3,3,3,new-zealand,2014-09-02,united states,2014090233,Group Play,201433,fiba-world-cup
4,Tai Webster,15,1,5,0,1,2,2,0,0,0,0,2,4,1,4,new-zealand,2014-09-02,united states,2014090233,Group Play,201433,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,new-zealand,2014-09-02,united states,2014090233,Group Play,201433,fiba-world-cup
6,Casey Frank,20,3,9,0,2,0,0,0,1,2,1,0,1,3,6,new-zealand,2014-09-02,united states,2014090233,Group Play,201433,fiba-world-cup
7,Corey Webster,19,3,10,2,5,0,0,0,2,1,0,0,3,1,8,new-zealand,2014-09-02,united states,2014090233,Group Play,201433,fiba-world-cup
8,Isaac Fotu,17,3,4,2,3,0,0,0,2,1,0,0,1,0,8,new-zealand,2014-09-02,united states,2014090233,Group Play,201433,fiba-world-cup
9,B.J. Anthony,16,5,6,1,1,0,0,1,3,0,1,1,0,2,11,new-zealand,2014-09-02,united states,2014090233,Group Play,201433,fiba-world-cup
10,Everard Bartlett,16,3,7,3,6,0,0,0,2,0,0,0,3,0,9,new-zealand,2014-09-02,united states,2014090233,Group Play,201433,fiba-world-cup
11,Jarrod Kenny,13,0,0,0,0,0,0,0,0,2,1,0,0,3,0,new-zealand,2014-09-02,united states,2014090233,Group Play,201433,fiba-world-cup
12,Lindsay Tait,10,2,3,0,0,1,3,1,1,3,0,0,1,0,5,new-zealand,2014-09-02,united states,2014090233,Group Play,201433,fiba-world-cup
13,Totals,,29,71,9,26,4,7,11,28,11,3,3,21,22,71,new-zealand,2014-09-02,united states,2014090233,Group Play,201433,fiba-world-cup
