,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Youssef Shousha,26,5,7,2,3,3,4,2,3,1,0,2,0,2,15,egypt,2014-09-03,iran,2014090343,Group Play,201443,fiba-world-cup
1,Ibrahim Elgammal,23,3,4,0,0,4,4,0,1,3,1,1,4,0,10,egypt,2014-09-03,iran,2014090343,Group Play,201443,fiba-world-cup
2,Ramy Ibrahim,21,3,4,2,3,0,0,0,2,0,0,0,2,3,8,egypt,2014-09-03,iran,2014090343,Group Play,201443,fiba-world-cup
3,Haytham Kamal,18,0,2,0,1,2,4,1,5,2,0,0,0,2,2,egypt,2014-09-03,iran,2014090343,Group Play,201443,fiba-world-cup
4,Wael Badr,10,1,2,0,1,0,0,0,0,1,0,0,1,2,2,egypt,2014-09-03,iran,2014090343,Group Play,201443,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,egypt,2014-09-03,iran,2014090343,Group Play,201443,fiba-world-cup
6,Mouhanad Elsabagh,26,4,10,1,4,4,6,2,3,3,2,0,2,1,13,egypt,2014-09-03,iran,2014090343,Group Play,201443,fiba-world-cup
7,Sherif Genedy,21,4,9,1,4,0,0,1,3,0,0,0,2,1,9,egypt,2014-09-03,iran,2014090343,Group Play,201443,fiba-world-cup
8,Amr Gendy,18,1,7,0,3,0,0,2,3,0,1,0,1,1,2,egypt,2014-09-03,iran,2014090343,Group Play,201443,fiba-world-cup
9,Moustafa Elmekawi,15,2,8,0,1,1,2,1,3,0,0,0,1,4,5,egypt,2014-09-03,iran,2014090343,Group Play,201443,fiba-world-cup
10,Moamen Abouelanin,14,2,5,1,1,2,2,0,3,0,0,0,1,0,7,egypt,2014-09-03,iran,2014090343,Group Play,201443,fiba-world-cup
11,Seif Samir,5,0,1,0,0,0,0,1,1,1,0,0,0,1,0,egypt,2014-09-03,iran,2014090343,Group Play,201443,fiba-world-cup
12,Ashraf Rabie,3,0,1,0,1,0,0,0,0,0,1,0,1,0,0,egypt,2014-09-03,iran,2014090343,Group Play,201443,fiba-world-cup
13,Totals,,25,60,7,22,16,22,10,27,11,5,3,15,17,73,egypt,2014-09-03,iran,2014090343,Group Play,201443,fiba-world-cup
0,Samad Nik Bahrami,39,9,15,6,9,0,0,1,3,6,3,0,3,3,24,iran,2014-09-03,egypt,2014090343,Group Play,201443,fiba-world-cup
1,Hamed Afagh,34,4,8,2,4,2,2,1,5,2,1,0,1,2,12,iran,2014-09-03,egypt,2014090343,Group Play,201443,fiba-world-cup
2,Hamed Haddadi,33,9,16,0,0,5,6,8,15,4,1,2,2,3,23,iran,2014-09-03,egypt,2014090343,Group Play,201443,fiba-world-cup
3,Mahdi Kamrany,32,2,9,0,3,0,0,0,3,2,2,0,3,5,4,iran,2014-09-03,egypt,2014090343,Group Play,201443,fiba-world-cup
4,Oshin Sahakian,27,6,11,2,5,0,0,3,6,1,0,0,3,4,14,iran,2014-09-03,egypt,2014090343,Group Play,201443,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,iran,2014-09-03,egypt,2014090343,Group Play,201443,fiba-world-cup
6,Arman Zangeneh,13,3,5,0,0,1,1,2,3,1,1,0,0,3,7,iran,2014-09-03,egypt,2014090343,Group Play,201443,fiba-world-cup
7,Behnam Yakhchali,11,0,2,0,2,0,2,0,1,0,1,0,0,1,0,iran,2014-09-03,egypt,2014090343,Group Play,201443,fiba-world-cup
8,Arsalan Kazemi,7,1,2,0,0,0,0,1,1,2,1,0,0,1,2,iran,2014-09-03,egypt,2014090343,Group Play,201443,fiba-world-cup
9,Mohammad Jamshidi,5,1,2,0,0,0,0,0,1,1,0,0,0,0,2,iran,2014-09-03,egypt,2014090343,Group Play,201443,fiba-world-cup
10,Totals,,35,70,10,23,8,11,16,38,19,10,2,12,22,88,iran,2014-09-03,egypt,2014090343,Group Play,201443,fiba-world-cup
