,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Kostas Papanikolaou,28,7,10,0,2,0,0,0,2,0,3,1,1,3,14,greece,2014-09-03,croatia,2014090340,Group Play,201440,fiba-world-cup
1,Nikos Zisis,28,1,7,1,4,0,0,1,1,10,1,0,0,2,3,greece,2014-09-03,croatia,2014090340,Group Play,201440,fiba-world-cup
2,Nick Calathes,26,4,8,1,4,0,2,1,3,4,2,1,0,2,9,greece,2014-09-03,croatia,2014090340,Group Play,201440,fiba-world-cup
3,Giorgos Printezis,13,3,8,0,0,2,2,0,2,1,0,0,0,1,8,greece,2014-09-03,croatia,2014090340,Group Play,201440,fiba-world-cup
4,Andreas Glyniadakis,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,greece,2014-09-03,croatia,2014090340,Group Play,201440,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,greece,2014-09-03,croatia,2014090340,Group Play,201440,fiba-world-cup
6,Kostas Kaimakoglou,27,5,5,2,2,2,3,1,6,4,0,1,0,2,14,greece,2014-09-03,croatia,2014090340,Group Play,201440,fiba-world-cup
7,Ioannis Bourousis,27,6,10,0,3,1,2,2,10,2,1,0,1,3,13,greece,2014-09-03,croatia,2014090340,Group Play,201440,fiba-world-cup
8,Kostas Sloukas,12,2,6,0,1,0,0,0,0,1,0,0,2,3,4,greece,2014-09-03,croatia,2014090340,Group Play,201440,fiba-world-cup
9,Kostas Vasileiadis,12,1,6,1,5,0,0,0,2,0,1,0,1,2,3,greece,2014-09-03,croatia,2014090340,Group Play,201440,fiba-world-cup
10,Giannis Antetokounmpo,12,1,3,0,2,0,0,0,4,1,0,0,1,1,2,greece,2014-09-03,croatia,2014090340,Group Play,201440,fiba-world-cup
11,Ian Vouyoukas,10,3,3,0,0,0,0,1,2,0,0,1,2,3,6,greece,2014-09-03,croatia,2014090340,Group Play,201440,fiba-world-cup
12,Vangelis Mantzaris,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,greece,2014-09-03,croatia,2014090340,Group Play,201440,fiba-world-cup
13,Totals,,33,66,5,23,5,9,6,34,23,8,4,9,22,76,greece,2014-09-03,croatia,2014090340,Group Play,201440,fiba-world-cup
0,Oliver Lafayette,35,3,6,1,2,1,2,0,2,3,2,0,4,2,8,croatia,2014-09-03,greece,2014090340,Group Play,201440,fiba-world-cup
1,Dario Saric,34,4,12,1,2,1,1,0,5,2,3,0,3,2,10,croatia,2014-09-03,greece,2014090340,Group Play,201440,fiba-world-cup
2,Bojan Bogdanovic,32,6,12,3,8,5,6,0,4,1,1,1,3,2,20,croatia,2014-09-03,greece,2014090340,Group Play,201440,fiba-world-cup
3,Krunoslav Simon,25,3,8,0,2,0,2,1,3,1,0,2,1,4,6,croatia,2014-09-03,greece,2014090340,Group Play,201440,fiba-world-cup
4,Ante Tomic,23,4,7,0,0,1,4,3,9,0,0,0,1,0,9,croatia,2014-09-03,greece,2014090340,Group Play,201440,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,croatia,2014-09-03,greece,2014090340,Group Play,201440,fiba-world-cup
6,Roko Ukic,20,2,9,1,4,1,2,1,2,1,0,0,0,1,6,croatia,2014-09-03,greece,2014090340,Group Play,201440,fiba-world-cup
7,Damir Markota,13,0,1,0,0,0,0,1,4,1,0,0,0,2,0,croatia,2014-09-03,greece,2014090340,Group Play,201440,fiba-world-cup
8,Luka Zoric,10,0,4,0,0,0,0,0,3,0,0,1,1,2,0,croatia,2014-09-03,greece,2014090340,Group Play,201440,fiba-world-cup
9,Damjan Rudez,8,2,2,2,2,0,0,0,0,0,0,0,0,1,6,croatia,2014-09-03,greece,2014090340,Group Play,201440,fiba-world-cup
10,Totals,,24,61,8,20,9,17,6,32,9,6,4,13,16,65,croatia,2014-09-03,greece,2014090340,Group Play,201440,fiba-world-cup
