,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Donatas Motiejunas,29,9,13,0,3,0,0,1,7,5,0,0,2,2,18,lithuania,2014-09-03,korea,2014090344,Group Play,201444
1,Sarunas Vasiliauskas,23,3,7,1,3,0,0,0,1,3,0,0,1,1,7,lithuania,2014-09-03,korea,2014090344,Group Play,201444
2,Jonas Valanciunas,22,6,7,0,0,0,0,3,8,0,0,1,2,1,12,lithuania,2014-09-03,korea,2014090344,Group Play,201444
3,Renaldas Seibutis,14,2,4,1,1,0,0,1,2,1,2,0,0,0,5,lithuania,2014-09-03,korea,2014090344,Group Play,201444
4,Jonas Maciulis,11,0,6,0,1,0,0,1,3,0,2,1,1,1,0,lithuania,2014-09-03,korea,2014090344,Group Play,201444
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,lithuania,2014-09-03,korea,2014090344,Group Play,201444
6,Martynas Pocius,23,3,8,0,1,0,0,0,3,1,0,1,0,3,6,lithuania,2014-09-03,korea,2014090344,Group Play,201444
7,Adas Juskevicius,21,7,8,6,7,0,0,0,3,2,0,0,0,2,20,lithuania,2014-09-03,korea,2014090344,Group Play,201444
8,Mindaugas Kuzminskas,15,2,8,1,2,0,0,1,1,1,1,0,1,0,5,lithuania,2014-09-03,korea,2014090344,Group Play,201444
9,Simas Jasaitis,14,1,2,0,0,0,0,1,2,1,1,0,0,1,2,lithuania,2014-09-03,korea,2014090344,Group Play,201444
10,Paulius Jankunas,13,2,4,0,1,0,0,2,2,0,0,0,2,2,4,lithuania,2014-09-03,korea,2014090344,Group Play,201444
11,Ksistof Lavrinovic,9,0,3,0,1,0,0,0,2,1,0,0,1,2,0,lithuania,2014-09-03,korea,2014090344,Group Play,201444
12,Darjus Lavrinovic,7,0,2,0,1,0,0,1,2,0,0,0,1,2,0,lithuania,2014-09-03,korea,2014090344,Group Play,201444
13,Totals,,35,72,9,21,0,0,11,36,15,6,3,11,17,79,lithuania,2014-09-03,korea,2014090344,Group Play,201444
0,Jarod Stevenson,31,6,8,3,4,0,0,0,0,1,0,0,4,2,15,korea,2014-09-03,lithuania,2014090344,Group Play,201444
1,Taesul Kim,27,1,4,0,1,2,2,0,2,4,0,0,2,0,4,korea,2014-09-03,lithuania,2014090344,Group Play,201444
2,Jonghyun Lee,27,1,6,0,0,2,2,2,4,0,0,3,1,3,4,korea,2014-09-03,lithuania,2014090344,Group Play,201444
3,Jongkyu Kim,19,5,10,0,0,2,2,0,1,2,0,0,1,4,12,korea,2014-09-03,lithuania,2014090344,Group Play,201444
4,Sunhyung Kim,16,0,1,0,0,0,0,0,2,3,0,0,2,0,0,korea,2014-09-03,lithuania,2014090344,Group Play,201444
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,korea,2014-09-03,lithuania,2014090344,Group Play,201444
6,Sungmin Cho,23,1,6,1,6,0,0,0,1,3,0,0,3,2,3,korea,2014-09-03,lithuania,2014090344,Group Play,201444
7,Sekeun Oh,17,3,6,0,1,0,0,0,4,0,1,0,0,1,6,korea,2014-09-03,lithuania,2014090344,Group Play,201444
8,Joo Sung Kim,16,1,1,0,0,3,4,0,1,0,0,2,1,1,5,korea,2014-09-03,lithuania,2014090344,Group Play,201444
9,Chan Hee Park,7,0,1,0,1,0,0,1,2,1,0,0,2,0,0,korea,2014-09-03,lithuania,2014090344,Group Play,201444
10,Heejong Yang,7,0,1,0,1,0,0,0,1,0,0,0,1,1,0,korea,2014-09-03,lithuania,2014090344,Group Play,201444
11,Dong-geun Yang,5,0,3,0,2,0,0,0,1,0,0,0,0,0,0,korea,2014-09-03,lithuania,2014090344,Group Play,201444
12,Ilyoung Heo,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,korea,2014-09-03,lithuania,2014090344,Group Play,201444
13,Totals,,18,48,4,17,9,10,3,19,14,1,5,17,14,49,korea,2014-09-03,lithuania,2014090344,Group Play,201444
