,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Kirk Penney,31,6,14,2,6,3,4,1,7,2,0,0,2,3,17,new zealand,2014-09-03,ukraine,2014090346,Group Play,201446
1,Tai Webster,23,3,7,0,1,2,2,1,7,3,0,0,3,3,8,new zealand,2014-09-03,ukraine,2014090346,Group Play,201446
2,Mika Vukona,22,2,8,0,0,3,8,3,6,2,1,0,2,2,7,new zealand,2014-09-03,ukraine,2014090346,Group Play,201446
3,Thomas Abercrombie,17,0,3,0,2,0,0,0,1,0,1,0,0,3,0,new zealand,2014-09-03,ukraine,2014090346,Group Play,201446
4,Rob Loe,11,1,3,0,1,0,0,1,1,0,0,0,1,2,2,new zealand,2014-09-03,ukraine,2014090346,Group Play,201446
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,new zealand,2014-09-03,ukraine,2014090346,Group Play,201446
6,Isaac Fotu,25,5,8,0,2,0,2,3,10,1,0,0,1,1,10,new zealand,2014-09-03,ukraine,2014090346,Group Play,201446
7,Everard Bartlett,21,4,5,4,5,2,2,1,4,2,1,0,1,0,14,new zealand,2014-09-03,ukraine,2014090346,Group Play,201446
8,Corey Webster,20,4,7,2,4,1,1,1,1,1,0,0,5,0,11,new zealand,2014-09-03,ukraine,2014090346,Group Play,201446
9,Casey Frank,19,1,4,0,2,2,2,3,4,4,1,1,2,3,4,new zealand,2014-09-03,ukraine,2014090346,Group Play,201446
10,Lindsay Tait,7,0,1,0,0,0,0,0,1,1,0,0,1,2,0,new zealand,2014-09-03,ukraine,2014090346,Group Play,201446
11,Jarrod Kenny,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new zealand,2014-09-03,ukraine,2014090346,Group Play,201446
12,B.J. Anthony,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,new zealand,2014-09-03,ukraine,2014090346,Group Play,201446
13,Totals,,26,60,8,23,13,21,14,42,16,4,1,19,19,73,new zealand,2014-09-03,ukraine,2014090346,Group Play,201446
0,Pooh Jeter,34,5,16,1,3,3,4,1,4,6,5,0,4,1,14,ukraine,2014-09-03,new zealand,2014090346,Group Play,201446
1,Dmytro Zabirchenko,32,1,4,1,4,0,0,0,0,2,1,0,0,4,3,ukraine,2014-09-03,new zealand,2014090346,Group Play,201446
2,Oleksandr Lypovyy,25,2,5,0,0,0,0,1,1,0,0,0,2,2,4,ukraine,2014-09-03,new zealand,2014090346,Group Play,201446
3,Maxym Kornienko,22,6,10,2,3,1,2,0,4,0,2,0,0,2,15,ukraine,2014-09-03,new zealand,2014090346,Group Play,201446
4,Kyryl Natyazhko,20,2,6,0,0,0,0,2,6,2,1,0,0,0,4,ukraine,2014-09-03,new zealand,2014090346,Group Play,201446
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ukraine,2014-09-03,new zealand,2014090346,Group Play,201446
6,Igor Zaytsev,21,3,6,1,1,3,3,0,3,0,0,0,3,3,10,ukraine,2014-09-03,new zealand,2014090346,Group Play,201446
7,Olexandr Mishula,19,2,7,1,4,0,0,0,1,2,0,0,0,2,5,ukraine,2014-09-03,new zealand,2014090346,Group Play,201446
8,Viacheslav Kravtsov,12,2,5,0,0,0,0,1,2,0,0,0,3,2,4,ukraine,2014-09-03,new zealand,2014090346,Group Play,201446
9,Maksym Pustozvonov,12,1,2,0,1,0,0,0,0,0,1,0,1,4,2,ukraine,2014-09-03,new zealand,2014090346,Group Play,201446
10,Sviatoslav Mykhailiuk,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,ukraine,2014-09-03,new zealand,2014090346,Group Play,201446
11,Totals,,24,62,6,17,7,9,5,21,12,10,0,14,20,61,ukraine,2014-09-03,new zealand,2014090346,Group Play,201446
