,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Gorgui Dieng,35,4,12,0,1,3,3,1,8,0,1,1,5,3,11,senegal,2014-09-03,argentina,2014090337,Group Play,201437
1,Maleye N'Doye,26,1,5,0,3,0,0,0,2,1,3,1,2,3,2,senegal,2014-09-03,argentina,2014090337,Group Play,201437
2,Mouhammad Faye,23,1,8,0,1,0,0,1,2,0,1,0,2,0,2,senegal,2014-09-03,argentina,2014090337,Group Play,201437
3,Xane D'Almeida,22,3,8,0,4,3,3,0,2,4,0,0,3,0,9,senegal,2014-09-03,argentina,2014090337,Group Play,201437
4,Hamady N'Diaye,20,3,5,0,0,0,2,2,3,0,2,2,0,1,6,senegal,2014-09-03,argentina,2014090337,Group Play,201437
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,senegal,2014-09-03,argentina,2014090337,Group Play,201437
6,Maurice Ndour,24,1,4,1,1,3,4,0,3,0,0,0,1,2,6,senegal,2014-09-03,argentina,2014090337,Group Play,201437
7,Pape Badji,13,2,4,0,0,0,0,1,4,1,0,0,0,3,4,senegal,2014-09-03,argentina,2014090337,Group Play,201437
8,Mamadou Ndoye,12,0,2,0,0,0,0,1,2,1,0,0,3,1,0,senegal,2014-09-03,argentina,2014090337,Group Play,201437
9,Mohamet Diop,11,2,4,0,0,0,0,0,0,0,0,0,1,2,4,senegal,2014-09-03,argentina,2014090337,Group Play,201437
10,Ibrahima Thomas,8,0,1,0,1,0,0,0,0,0,1,0,1,1,0,senegal,2014-09-03,argentina,2014090337,Group Play,201437
11,Thierno Niang,6,1,2,0,1,0,0,0,0,0,0,0,1,1,2,senegal,2014-09-03,argentina,2014090337,Group Play,201437
12,Totals,,18,55,1,12,9,12,6,26,7,8,4,19,17,46,senegal,2014-09-03,argentina,2014090337,Group Play,201437
0,Luis Scola,29,8,17,0,0,6,6,5,14,1,0,0,2,2,22,argentina,2014-09-03,senegal,2014090337,Group Play,201437
1,Facu Campazzo,25,2,4,0,1,0,0,1,1,2,3,0,3,3,4,argentina,2014-09-03,senegal,2014090337,Group Play,201437
2,Walter Herrmann,23,4,7,3,5,0,0,0,1,0,1,0,0,2,11,argentina,2014-09-03,senegal,2014090337,Group Play,201437
3,Pablo Prigioni,21,3,6,2,4,2,2,1,3,3,2,0,3,2,10,argentina,2014-09-03,senegal,2014090337,Group Play,201437
4,Andres Nocioni,20,1,8,1,5,0,0,1,3,1,2,1,4,1,3,argentina,2014-09-03,senegal,2014090337,Group Play,201437
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,argentina,2014-09-03,senegal,2014090337,Group Play,201437
6,Nicolas Laprovittola,25,3,6,2,5,0,0,0,4,6,1,0,1,2,8,argentina,2014-09-03,senegal,2014090337,Group Play,201437
7,Marcos Mata,16,3,4,2,3,0,0,0,1,1,0,0,0,1,8,argentina,2014-09-03,senegal,2014090337,Group Play,201437
8,Leo Gutierrez,16,3,5,2,4,0,0,1,4,2,0,1,0,3,8,argentina,2014-09-03,senegal,2014090337,Group Play,201437
9,Marcos Delia,11,1,3,0,0,1,2,2,2,2,0,1,0,1,3,argentina,2014-09-03,senegal,2014090337,Group Play,201437
10,Selem Safar,9,0,2,0,1,0,0,1,1,2,1,0,0,0,0,argentina,2014-09-03,senegal,2014090337,Group Play,201437
11,Matias Bortolin,4,1,2,0,0,0,0,0,4,0,0,0,0,0,2,argentina,2014-09-03,senegal,2014090337,Group Play,201437
12,Tayavek Gallizzi,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,argentina,2014-09-03,senegal,2014090337,Group Play,201437
13,Totals,,29,64,12,28,11,12,12,38,20,10,3,13,17,81,argentina,2014-09-03,senegal,2014090337,Group Play,201437
