,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Domen Lorbek,25,4,9,3,7,6,6,1,1,4,0,0,3,3,17,slovenia,2014-09-03,angola,2014090336,Group Play,201436,fiba-world-cup
1,Zoran Dragic,23,2,5,0,2,2,2,2,7,2,1,0,0,1,6,slovenia,2014-09-03,angola,2014090336,Group Play,201436,fiba-world-cup
2,Goran Dragic,17,5,8,4,6,0,0,0,3,2,1,0,3,3,14,slovenia,2014-09-03,angola,2014090336,Group Play,201436,fiba-world-cup
3,Alen Omic,17,4,4,0,0,0,0,2,4,0,0,0,2,2,8,slovenia,2014-09-03,angola,2014090336,Group Play,201436,fiba-world-cup
4,Jure Balazic,14,4,5,3,4,0,0,0,1,0,1,0,0,3,11,slovenia,2014-09-03,angola,2014090336,Group Play,201436,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,slovenia,2014-09-03,angola,2014090336,Group Play,201436,fiba-world-cup
6,Jaka Klobucar,23,3,7,1,3,5,6,0,2,3,3,0,3,2,12,slovenia,2014-09-03,angola,2014090336,Group Play,201436,fiba-world-cup
7,Miha Zupan,20,0,3,0,1,0,0,1,3,2,1,0,1,4,0,slovenia,2014-09-03,angola,2014090336,Group Play,201436,fiba-world-cup
8,Edo Muric,18,3,6,1,4,0,0,0,0,2,2,0,0,3,7,slovenia,2014-09-03,angola,2014090336,Group Play,201436,fiba-world-cup
9,Uros Slokar,18,2,4,0,0,2,4,1,3,1,0,0,1,1,6,slovenia,2014-09-03,angola,2014090336,Group Play,201436,fiba-world-cup
10,Jaka Blazic,14,3,6,1,2,0,1,3,4,2,0,0,2,1,7,slovenia,2014-09-03,angola,2014090336,Group Play,201436,fiba-world-cup
11,Klemen Prepelic,11,1,4,1,4,2,2,0,0,1,0,0,0,0,5,slovenia,2014-09-03,angola,2014090336,Group Play,201436,fiba-world-cup
12,Totals,,31,61,14,33,17,21,10,28,19,9,0,15,23,93,slovenia,2014-09-03,angola,2014090336,Group Play,201436,fiba-world-cup
0,Roberto Fortes,33,7,11,2,4,5,6,1,3,2,2,0,3,3,21,angola,2014-09-03,slovenia,2014090336,Group Play,201436,fiba-world-cup
1,Armando Costa,33,0,3,0,2,2,2,1,3,6,1,0,3,5,2,angola,2014-09-03,slovenia,2014090336,Group Play,201436,fiba-world-cup
2,Eduardo Mingas,24,3,7,0,0,1,2,4,5,1,0,0,2,0,7,angola,2014-09-03,slovenia,2014090336,Group Play,201436,fiba-world-cup
3,Vander Joaquim,16,2,6,0,0,2,2,2,3,0,1,0,3,0,6,angola,2014-09-03,slovenia,2014090336,Group Play,201436,fiba-world-cup
4,Olimpio Cipriano,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,angola,2014-09-03,slovenia,2014090336,Group Play,201436,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,angola,2014-09-03,slovenia,2014090336,Group Play,201436,fiba-world-cup
6,Edson Ndoniema,30,5,10,2,4,2,2,1,3,3,1,1,1,3,14,angola,2014-09-03,slovenia,2014090336,Group Play,201436,fiba-world-cup
7,Reggie Moore,23,6,11,3,4,2,3,0,6,1,0,0,2,3,17,angola,2014-09-03,slovenia,2014090336,Group Play,201436,fiba-world-cup
8,Yanick Moreira,22,7,13,0,0,6,7,4,5,0,0,1,0,3,20,angola,2014-09-03,slovenia,2014090336,Group Play,201436,fiba-world-cup
9,Milton Barros,18,0,3,0,2,0,0,0,2,4,0,0,3,3,0,angola,2014-09-03,slovenia,2014090336,Group Play,201436,fiba-world-cup
10,Joaquim Gomes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,angola,2014-09-03,slovenia,2014090336,Group Play,201436,fiba-world-cup
11,Totals,,30,64,7,16,20,24,13,30,17,5,2,17,20,87,angola,2014-09-03,slovenia,2014090336,Group Play,201436,fiba-world-cup
