,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Nathan Jawai,30,5,7,0,0,0,0,1,5,3,1,0,2,2,10,australia,2014-09-04,angola,2014090448,Group Play,201448,fiba-world-cup
1,Brad Newley,20,0,2,0,1,1,2,0,3,3,0,1,2,4,1,australia,2014-09-04,angola,2014090448,Group Play,201448,fiba-world-cup
2,Ryan Broekhoff,12,1,2,1,1,0,0,0,0,1,0,0,0,1,3,australia,2014-09-04,angola,2014090448,Group Play,201448,fiba-world-cup
3,Matthew Dellavedova,4,1,2,0,1,0,0,0,0,0,0,0,0,0,2,australia,2014-09-04,angola,2014090448,Group Play,201448,fiba-world-cup
4,David Andersen,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,australia,2014-09-04,angola,2014090448,Group Play,201448,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,australia,2014-09-04,angola,2014090448,Group Play,201448,fiba-world-cup
6,Dante Exum,31,3,6,1,2,5,5,1,3,6,0,0,4,2,12,australia,2014-09-04,angola,2014090448,Group Play,201448,fiba-world-cup
7,Chris Goulding,30,8,17,6,12,0,0,0,6,0,1,0,5,4,22,australia,2014-09-04,angola,2014090448,Group Play,201448,fiba-world-cup
8,Cameron Bairstow,24,5,10,0,0,1,2,4,5,2,0,0,3,1,11,australia,2014-09-04,angola,2014090448,Group Play,201448,fiba-world-cup
9,Adam Gibson,23,3,3,3,3,0,0,1,2,4,0,0,0,1,9,australia,2014-09-04,angola,2014090448,Group Play,201448,fiba-world-cup
10,Brock Motum,22,5,10,3,5,0,0,2,4,2,0,0,2,4,13,australia,2014-09-04,angola,2014090448,Group Play,201448,fiba-world-cup
11,Totals,,31,61,14,25,7,9,9,28,21,3,1,18,19,83,australia,2014-09-04,angola,2014090448,Group Play,201448,fiba-world-cup
0,Armando Costa,38,3,7,2,4,0,2,0,5,6,3,0,2,4,8,angola,2014-09-04,australia,2014090448,Group Play,201448,fiba-world-cup
1,Roberto Fortes,37,5,12,2,6,0,0,2,4,4,4,1,1,3,12,angola,2014-09-04,australia,2014090448,Group Play,201448,fiba-world-cup
2,Yanick Moreira,32,17,24,0,0,4,7,10,15,1,1,1,1,0,38,angola,2014-09-04,australia,2014090448,Group Play,201448,fiba-world-cup
3,Edson Ndoniema,15,2,6,2,4,0,0,2,3,1,2,0,1,4,6,angola,2014-09-04,australia,2014090448,Group Play,201448,fiba-world-cup
4,Reggie Moore,15,0,2,0,1,0,2,0,2,0,0,0,0,0,0,angola,2014-09-04,australia,2014090448,Group Play,201448,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,angola,2014-09-04,australia,2014090448,Group Play,201448,fiba-world-cup
6,Eduardo Mingas,27,6,11,0,1,4,6,6,9,2,3,0,0,2,16,angola,2014-09-04,australia,2014090448,Group Play,201448,fiba-world-cup
7,Milton Barros,27,3,14,1,8,2,2,0,0,2,1,0,1,1,9,angola,2014-09-04,australia,2014090448,Group Play,201448,fiba-world-cup
8,Vander Joaquim,7,1,1,0,0,0,0,0,0,0,0,0,1,1,2,angola,2014-09-04,australia,2014090448,Group Play,201448,fiba-world-cup
9,Islando Manuel,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,angola,2014-09-04,australia,2014090448,Group Play,201448,fiba-world-cup
10,Totals,,37,77,7,24,10,19,20,38,16,14,2,7,15,91,angola,2014-09-04,australia,2014090448,Group Play,201448,fiba-world-cup
