,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Petteri Koponen,27,4,13,1,4,4,4,0,2,2,0,0,1,2,13,finland,2014-09-04,new-zealand,2014090454,Group Play,201454
1,Shawn Huff,27,2,2,2,2,4,4,0,2,0,2,0,0,0,10,finland,2014-09-04,new-zealand,2014090454,Group Play,201454
2,Sasu Salin,24,2,7,0,4,2,2,1,5,1,1,0,2,1,6,finland,2014-09-04,new-zealand,2014090454,Group Play,201454
3,Gerald Lee,23,7,10,0,0,3,4,2,5,1,0,1,2,2,17,finland,2014-09-04,new-zealand,2014090454,Group Play,201454
4,Erik Murphy,23,1,2,0,1,1,2,1,5,0,2,1,2,3,3,finland,2014-09-04,new-zealand,2014090454,Group Play,201454
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,finland,2014-09-04,new-zealand,2014090454,Group Play,201454
6,Tuukka Kotti,25,3,9,0,0,0,0,0,3,2,1,0,1,3,6,finland,2014-09-04,new-zealand,2014090454,Group Play,201454
7,Teemu Rannikko,15,1,6,0,2,4,4,1,2,7,0,0,1,4,6,finland,2014-09-04,new-zealand,2014090454,Group Play,201454
8,Mikko Koivisto,13,1,4,0,2,0,0,0,2,0,1,0,0,2,2,finland,2014-09-04,new-zealand,2014090454,Group Play,201454
9,Kimmo Muurinen,9,1,2,0,0,0,0,1,1,0,0,1,0,2,2,finland,2014-09-04,new-zealand,2014090454,Group Play,201454
10,Matti Nuutinen,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,finland,2014-09-04,new-zealand,2014090454,Group Play,201454
11,Antero Lehto,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,finland,2014-09-04,new-zealand,2014090454,Group Play,201454
12,Totals,,22,55,3,15,18,20,6,27,13,8,3,9,20,65,finland,2014-09-04,new-zealand,2014090454,Group Play,201454
0,Kirk Penney,26,4,17,3,10,0,0,1,3,3,0,1,3,0,11,new-zealand,2014-09-04,finland,2014090454,Group Play,201454
1,Mika Vukona,24,2,4,0,0,1,2,1,12,3,0,0,4,3,5,new-zealand,2014-09-04,finland,2014090454,Group Play,201454
2,Tai Webster,17,2,4,0,1,1,1,0,0,0,0,0,1,5,5,new-zealand,2014-09-04,finland,2014090454,Group Play,201454
3,Rob Loe,16,1,2,0,0,0,0,2,4,0,0,0,1,2,2,new-zealand,2014-09-04,finland,2014090454,Group Play,201454
4,Jarrod Kenny,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,new-zealand,2014-09-04,finland,2014090454,Group Play,201454
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,new-zealand,2014-09-04,finland,2014090454,Group Play,201454
6,Isaac Fotu,26,7,9,1,1,3,4,4,8,0,0,0,0,1,18,new-zealand,2014-09-04,finland,2014090454,Group Play,201454
7,Thomas Abercrombie,24,3,7,1,1,0,0,1,2,1,0,0,2,0,7,new-zealand,2014-09-04,finland,2014090454,Group Play,201454
8,Corey Webster,18,2,8,1,2,3,5,1,1,1,1,0,2,1,8,new-zealand,2014-09-04,finland,2014090454,Group Play,201454
9,Lindsay Tait,15,3,5,0,2,0,0,0,0,5,0,0,1,3,6,new-zealand,2014-09-04,finland,2014090454,Group Play,201454
10,Casey Frank,14,0,1,0,0,0,0,0,1,2,0,0,0,2,0,new-zealand,2014-09-04,finland,2014090454,Group Play,201454
11,Everard Bartlett,11,2,3,1,2,0,0,0,1,0,0,0,0,1,5,new-zealand,2014-09-04,finland,2014090454,Group Play,201454
12,Totals,,26,60,7,19,8,12,10,33,15,1,1,14,19,67,new-zealand,2014-09-04,finland,2014090454,Group Play,201454
