,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Milos Teodosic,30,4,8,2,5,0,0,1,3,2,2,0,6,2,10,serbia,2014-09-04,spain,2014090458,Group Play,201458
1,Miroslav Raduljica,26,4,11,0,0,5,6,1,4,1,1,0,3,2,13,serbia,2014-09-04,spain,2014090458,Group Play,201458
2,Stefan Markovic,26,2,4,0,1,0,1,1,2,3,1,0,2,4,4,serbia,2014-09-04,spain,2014090458,Group Play,201458
3,Stefan Bircevic,12,2,3,1,2,0,0,0,2,0,0,1,1,5,5,serbia,2014-09-04,spain,2014090458,Group Play,201458
4,Nikola Kalinic,12,0,1,0,1,1,2,0,2,0,0,0,1,2,1,serbia,2014-09-04,spain,2014090458,Group Play,201458
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,serbia,2014-09-04,spain,2014090458,Group Play,201458
6,Bogdan Bogdanovic,24,3,7,2,5,0,0,0,2,4,1,0,1,4,8,serbia,2014-09-04,spain,2014090458,Group Play,201458
7,Nemanja Bjelica,22,6,14,1,3,6,7,5,10,3,0,0,3,3,19,serbia,2014-09-04,spain,2014090458,Group Play,201458
8,Marko Simonovic,14,1,2,1,2,2,2,0,0,2,1,0,1,0,5,serbia,2014-09-04,spain,2014090458,Group Play,201458
9,Stefan Jovic,13,0,1,0,0,0,0,0,2,0,1,0,0,0,0,serbia,2014-09-04,spain,2014090458,Group Play,201458
10,Vladimir Stimac,9,3,6,0,0,0,2,1,3,0,1,0,0,2,6,serbia,2014-09-04,spain,2014090458,Group Play,201458
11,Nenad Krstic,6,1,4,0,0,0,0,0,1,0,0,0,0,1,2,serbia,2014-09-04,spain,2014090458,Group Play,201458
12,Rasko Katic,6,0,3,0,0,0,0,0,0,0,0,0,0,1,0,serbia,2014-09-04,spain,2014090458,Group Play,201458
13,Totals,,26,64,7,19,14,20,9,31,15,8,1,18,26,73,serbia,2014-09-04,spain,2014090458,Group Play,201458
0,Pau Gasol,28,6,11,0,1,8,8,3,4,1,0,1,1,1,20,spain,2014-09-04,serbia,2014090458,Group Play,201458
1,Marc Gasol,28,5,6,1,1,0,2,1,8,2,0,1,2,1,11,spain,2014-09-04,serbia,2014090458,Group Play,201458
2,Ricky Rubio,22,3,5,0,1,6,6,0,4,6,7,0,7,5,12,spain,2014-09-04,serbia,2014090458,Group Play,201458
3,Rudy Fernandez,21,2,6,1,4,4,4,0,1,2,1,0,0,3,9,spain,2014-09-04,serbia,2014090458,Group Play,201458
4,Juan Carlos Navarro,19,5,7,3,4,2,2,0,2,2,0,0,0,1,15,spain,2014-09-04,serbia,2014090458,Group Play,201458
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,spain,2014-09-04,serbia,2014090458,Group Play,201458
6,Sergio Llull,25,2,7,1,4,0,0,0,3,1,0,0,2,3,5,spain,2014-09-04,serbia,2014090458,Group Play,201458
7,Sergio Rodriguez,15,0,4,0,2,2,2,0,1,1,1,0,2,2,2,spain,2014-09-04,serbia,2014090458,Group Play,201458
8,Jose Calderon,14,3,4,2,2,0,0,0,1,0,0,0,1,1,8,spain,2014-09-04,serbia,2014090458,Group Play,201458
9,Serge Ibaka,14,1,4,0,1,0,0,2,4,0,0,1,1,3,2,spain,2014-09-04,serbia,2014090458,Group Play,201458
10,Felipe Reyes,7,0,1,0,1,3,4,0,5,1,0,0,0,3,3,spain,2014-09-04,serbia,2014090458,Group Play,201458
11,Alex Abrines,4,1,3,0,1,0,0,1,1,0,1,0,0,0,2,spain,2014-09-04,serbia,2014090458,Group Play,201458
12,Victor Claver,3,0,1,0,1,0,0,0,0,0,0,0,1,2,0,spain,2014-09-04,serbia,2014090458,Group Play,201458
13,Totals,,28,59,8,23,25,28,7,34,16,10,3,17,25,89,spain,2014-09-04,serbia,2014090458,Group Play,201458
