,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Pooh Jeter,28,5,16,2,5,1,2,2,4,2,1,0,2,4,13,ukraine,2014-09-04,united-states,2014090459,Group Play,201459,fiba-world-cup
1,Oleksandr Lypovyy,27,3,6,0,3,0,0,2,2,1,2,1,6,3,6,ukraine,2014-09-04,united-states,2014090459,Group Play,201459,fiba-world-cup
2,Viacheslav Kravtsov,26,5,7,0,0,5,7,1,4,0,0,1,1,2,15,ukraine,2014-09-04,united-states,2014090459,Group Play,201459,fiba-world-cup
3,Maxym Kornienko,25,1,6,0,2,2,2,0,6,0,1,0,0,1,4,ukraine,2014-09-04,united-states,2014090459,Group Play,201459,fiba-world-cup
4,Dmytro Zabirchenko,17,2,3,2,2,1,2,0,2,1,0,0,1,3,7,ukraine,2014-09-04,united-states,2014090459,Group Play,201459,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ukraine,2014-09-04,united-states,2014090459,Group Play,201459,fiba-world-cup
6,Olexandr Mishula,25,2,10,1,7,1,2,1,1,4,0,0,3,2,6,ukraine,2014-09-04,united-states,2014090459,Group Play,201459,fiba-world-cup
7,Igor Zaytsev,17,4,6,2,3,1,2,0,3,0,0,0,0,2,11,ukraine,2014-09-04,united-states,2014090459,Group Play,201459,fiba-world-cup
8,Kyryl Natyazhko,12,2,3,0,0,2,2,0,2,0,0,0,1,2,6,ukraine,2014-09-04,united-states,2014090459,Group Play,201459,fiba-world-cup
9,Sviatoslav Mykhailiuk,11,1,4,1,2,0,0,1,2,0,0,0,2,0,3,ukraine,2014-09-04,united-states,2014090459,Group Play,201459,fiba-world-cup
10,Maksym Pustozvonov,11,0,1,0,0,0,0,0,4,0,1,0,1,2,0,ukraine,2014-09-04,united-states,2014090459,Group Play,201459,fiba-world-cup
11,Sergey Gladyr,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ukraine,2014-09-04,united-states,2014090459,Group Play,201459,fiba-world-cup
12,Artem Pustovyi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ukraine,2014-09-04,united-states,2014090459,Group Play,201459,fiba-world-cup
13,Totals,,25,62,8,24,13,19,7,30,8,5,2,17,21,71,ukraine,2014-09-04,united-states,2014090459,Group Play,201459,fiba-world-cup
0,James Harden,24,7,12,0,3,3,5,2,3,5,2,0,2,2,17,united-states,2014-09-04,ukraine,2014090459,Group Play,201459,fiba-world-cup
1,Kenneth Faried,24,5,6,0,0,0,0,2,8,1,0,2,0,2,10,united-states,2014-09-04,ukraine,2014090459,Group Play,201459,fiba-world-cup
2,Anthony Davis,21,6,9,0,0,0,0,2,6,1,1,1,1,3,12,united-states,2014-09-04,ukraine,2014090459,Group Play,201459,fiba-world-cup
3,Kyrie Irving,21,4,6,1,1,2,2,0,3,6,4,0,2,2,11,united-states,2014-09-04,ukraine,2014090459,Group Play,201459,fiba-world-cup
4,Stephen Curry,19,3,6,3,4,5,5,0,1,1,1,0,1,3,14,united-states,2014-09-04,ukraine,2014090459,Group Play,201459,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,united-states,2014-09-04,ukraine,2014090459,Group Play,201459,fiba-world-cup
6,Klay Thompson,24,3,7,1,2,0,0,1,5,4,0,2,1,1,7,united-states,2014-09-04,ukraine,2014090459,Group Play,201459,fiba-world-cup
7,Derrick Rose,19,2,9,0,1,0,0,1,4,4,1,0,0,1,4,united-states,2014-09-04,ukraine,2014090459,Group Play,201459,fiba-world-cup
8,DeMarcus Cousins,15,4,8,0,0,3,5,2,3,1,1,1,0,1,11,united-states,2014-09-04,ukraine,2014090459,Group Play,201459,fiba-world-cup
9,DeMar DeRozan,13,1,2,0,0,3,4,0,0,0,0,0,0,2,5,united-states,2014-09-04,ukraine,2014090459,Group Play,201459,fiba-world-cup
10,Rudy Gay,12,1,7,0,1,0,0,1,3,1,2,0,1,1,2,united-states,2014-09-04,ukraine,2014090459,Group Play,201459,fiba-world-cup
11,Mason Plumlee,4,1,1,0,0,0,0,1,2,0,0,0,1,1,2,united-states,2014-09-04,ukraine,2014090459,Group Play,201459,fiba-world-cup
12,Andre Drummond,4,0,0,0,0,0,0,0,2,1,0,0,1,0,0,united-states,2014-09-04,ukraine,2014090459,Group Play,201459,fiba-world-cup
13,Totals,,37,73,5,12,16,21,12,40,25,12,6,10,19,95,united-states,2014-09-04,ukraine,2014090459,Group Play,201459,fiba-world-cup
