,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Nicolas Batum,31,5,13,0,6,4,6,0,2,1,4,1,1,2,14,france,2014-09-06,croatia,2014090660,Round of 16,201460
1,Boris Diaw,27,1,7,1,2,0,0,0,5,5,0,1,5,2,3,france,2014-09-06,croatia,2014090660,Round of 16,201460
2,Mickael Gelabale,26,4,7,3,3,0,0,1,6,0,0,0,3,1,11,france,2014-09-06,croatia,2014090660,Round of 16,201460
3,Thomas Heurtel,24,3,5,1,1,3,4,0,0,4,0,0,3,2,10,france,2014-09-06,croatia,2014090660,Round of 16,201460
4,Joffrey Lauvergne,19,3,6,1,1,1,2,0,2,1,0,0,1,3,8,france,2014-09-06,croatia,2014090660,Round of 16,201460
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,france,2014-09-06,croatia,2014090660,Round of 16,201460
6,Florent Pietrus,21,2,2,0,0,2,2,2,4,0,0,1,0,1,6,france,2014-09-06,croatia,2014090660,Round of 16,201460
7,Evan Fournier,19,5,10,1,5,2,4,0,4,1,0,0,1,1,13,france,2014-09-06,croatia,2014090660,Round of 16,201460
8,Antoine Diot,16,1,3,0,2,0,0,0,2,3,1,0,0,2,2,france,2014-09-06,croatia,2014090660,Round of 16,201460
9,Rudy Gobert,13,1,1,0,0,0,0,0,4,0,0,2,1,2,2,france,2014-09-06,croatia,2014090660,Round of 16,201460
10,Edwin Jackson,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,france,2014-09-06,croatia,2014090660,Round of 16,201460
11,Totals,,25,56,7,22,12,18,3,29,15,5,5,15,16,69,france,2014-09-06,croatia,2014090660,Round of 16,201460
0,Bojan Bogdanovic,36,11,19,3,7,2,4,1,6,1,1,0,0,4,27,croatia,2014-09-06,france,2014090660,Round of 16,201460
1,Krunoslav Simon,28,1,9,1,6,3,4,0,2,2,1,0,0,4,6,croatia,2014-09-06,france,2014090660,Round of 16,201460
2,Dario Saric,27,2,6,0,0,0,0,0,7,0,3,1,3,3,4,croatia,2014-09-06,france,2014090660,Round of 16,201460
3,Ante Tomic,26,7,10,0,0,3,4,3,6,0,1,0,1,1,17,croatia,2014-09-06,france,2014090660,Round of 16,201460
4,Oliver Lafayette,25,1,8,0,3,0,0,2,4,6,0,0,3,4,2,croatia,2014-09-06,france,2014090660,Round of 16,201460
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,croatia,2014-09-06,france,2014090660,Round of 16,201460
6,Damir Markota,17,1,3,1,2,0,0,1,3,0,0,0,1,1,3,croatia,2014-09-06,france,2014090660,Round of 16,201460
7,Damjan Rudez,16,1,6,1,5,0,0,0,4,0,0,0,0,2,3,croatia,2014-09-06,france,2014090660,Round of 16,201460
8,Roko Ukic,15,0,5,0,2,0,0,1,2,1,0,0,0,1,0,croatia,2014-09-06,france,2014090660,Round of 16,201460
9,Luka Zoric,10,1,1,0,0,0,0,0,0,0,0,1,2,1,2,croatia,2014-09-06,france,2014090660,Round of 16,201460
10,Totals,,25,67,6,25,8,12,8,34,10,6,2,10,21,64,croatia,2014-09-06,france,2014090660,Round of 16,201460
