,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Marc Gasol,26,4,4,1,1,0,0,1,6,4,0,4,0,1,9,spain,2014-09-06,senegal,2014090662,Round of 16,201462,fiba-world-cup
1,Pau Gasol,25,8,10,0,2,1,2,1,5,1,0,3,4,1,17,spain,2014-09-06,senegal,2014090662,Round of 16,201462,fiba-world-cup
2,Juan Carlos Navarro,24,1,6,0,5,2,5,1,1,1,0,0,0,1,4,spain,2014-09-06,senegal,2014090662,Round of 16,201462,fiba-world-cup
3,Ricky Rubio,21,2,4,0,0,3,4,0,5,6,5,1,2,2,7,spain,2014-09-06,senegal,2014090662,Round of 16,201462,fiba-world-cup
4,Rudy Fernandez,18,2,5,1,4,0,0,0,0,4,3,0,0,4,5,spain,2014-09-06,senegal,2014090662,Round of 16,201462,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,spain,2014-09-06,senegal,2014090662,Round of 16,201462,fiba-world-cup
6,Sergio Rodriguez,18,2,4,1,1,0,0,0,0,2,1,0,1,1,5,spain,2014-09-06,senegal,2014090662,Round of 16,201462,fiba-world-cup
7,Serge Ibaka,17,4,7,0,1,3,4,3,6,0,0,3,1,4,11,spain,2014-09-06,senegal,2014090662,Round of 16,201462,fiba-world-cup
8,Sergio Llull,15,3,5,1,3,0,3,0,1,1,0,1,1,2,7,spain,2014-09-06,senegal,2014090662,Round of 16,201462,fiba-world-cup
9,Jose Calderon,14,3,4,3,4,2,2,0,1,0,0,0,1,1,11,spain,2014-09-06,senegal,2014090662,Round of 16,201462,fiba-world-cup
10,Felipe Reyes,13,4,6,0,0,3,4,2,4,1,0,1,1,3,11,spain,2014-09-06,senegal,2014090662,Round of 16,201462,fiba-world-cup
11,Alex Abrines,6,1,2,0,1,0,0,0,0,0,0,0,0,1,2,spain,2014-09-06,senegal,2014090662,Round of 16,201462,fiba-world-cup
12,Victor Claver,6,0,2,0,1,0,0,0,2,1,0,0,0,0,0,spain,2014-09-06,senegal,2014090662,Round of 16,201462,fiba-world-cup
13,Totals,,34,59,7,23,14,24,8,31,21,9,13,11,21,89,spain,2014-09-06,senegal,2014090662,Round of 16,201462,fiba-world-cup
0,Gorgui Dieng,27,1,9,0,0,4,6,3,7,2,1,0,3,1,6,senegal,2014-09-06,spain,2014090662,Round of 16,201462,fiba-world-cup
1,Xane D'Almeida,24,2,6,1,2,0,0,1,4,4,0,0,6,4,5,senegal,2014-09-06,spain,2014090662,Round of 16,201462,fiba-world-cup
2,Maleye N'Doye,24,1,5,0,1,0,0,0,0,0,0,0,1,2,2,senegal,2014-09-06,spain,2014090662,Round of 16,201462,fiba-world-cup
3,Hamady N'Diaye,20,2,3,0,0,2,2,2,4,0,0,0,1,3,6,senegal,2014-09-06,spain,2014090662,Round of 16,201462,fiba-world-cup
4,Mouhammad Faye,20,5,7,1,3,1,1,0,2,1,0,0,2,2,12,senegal,2014-09-06,spain,2014090662,Round of 16,201462,fiba-world-cup
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,senegal,2014-09-06,spain,2014090662,Round of 16,201462,fiba-world-cup
6,Pape Badji,22,5,13,0,1,2,2,1,7,0,1,0,0,2,12,senegal,2014-09-06,spain,2014090662,Round of 16,201462,fiba-world-cup
7,Maurice Ndour,20,1,1,0,0,2,2,1,2,0,1,0,1,2,4,senegal,2014-09-06,spain,2014090662,Round of 16,201462,fiba-world-cup
8,Mohamet Diop,16,1,5,0,1,0,0,0,0,0,1,0,1,3,2,senegal,2014-09-06,spain,2014090662,Round of 16,201462,fiba-world-cup
9,Ibrahima Thomas,11,1,4,0,1,0,2,5,7,0,0,0,1,2,2,senegal,2014-09-06,spain,2014090662,Round of 16,201462,fiba-world-cup
10,Thierno Niang,11,2,5,0,2,0,2,0,1,1,0,0,2,2,4,senegal,2014-09-06,spain,2014090662,Round of 16,201462,fiba-world-cup
11,Mamadou Ndoye,5,0,1,0,0,1,2,0,0,1,0,0,2,1,1,senegal,2014-09-06,spain,2014090662,Round of 16,201462,fiba-world-cup
12,Totals,,21,59,2,11,12,19,13,34,9,4,0,20,24,56,senegal,2014-09-06,spain,2014090662,Round of 16,201462,fiba-world-cup
